Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,,,,,,,,
What do you do now that is different from what you thought you would be doing?,Is there something you are doing that is different from what you expected?,Did your job description fit what you are doing?,Are you doing anything you didn't expect?,Are you doing anything different from what you thought originally?,How are things different from when you started?,What do you do that is different from what you expected?,How is your work different from what you expected?,What was unexpected about your job?,,,,,,,,,,,,,,,,,,,,,,
Have you ever been treated unfairly at work?,How were you personally affected by sexism or racism?,Has your job ever treated you unfairly?,Is there unfair treatment in your workplace?,Do you feel there are treatment inequalities at your job?,Have you ever felt like the victim of workplace inequality?,Have you ever felt discriminated against at your job?,Have you experienced unfair treatment at work?,Do you feel like your workplace treats you fairly?,Has there been any discrimination at work?,,,,,,,,,,,,,,,,,,,,,
How has your work been affected by the coronavirus pandemic?,How has your career been affected by COVID?,Has your job been affected by the coronavirus?,How has the coronavirus pandemic affected your work?,Have you had any trouble due to the COVID-19 pandemic?,Have you had any difficulties related to the COVID-19 pandemic?,What have you had to change because of COVID?,Were you impacted by COVID?,Were you negatively affected by COVID?,Did your job get threatened due to COVID?,Was there any impact of corona?,,,,,,,,,,,,,,,,,,,,
Do you have free time to do what you enjoy?,Do you have free time?,Do you have any time for leisure?,Do you have leisure time?,Do you have spare time?,Do you have time off?,Does your job allow you to have free time?,Can you pursue your hobbies?,How much free time do you have?,Do you have a life?,,,,,,,,,,,,,,,,,,,,,
Can you make a living with your pay?,Can you make a living out of your pay?,Is your salary enough to make a living?,Is the pay enough to make a living?,Do you get paid enough to make a living?,Can you get by on your salary?,Can you afford to live off your salary?,Do you make enough to be able to afford rent?,Can you afford a house?,Do you earn enough money to cover living expenses?,Does your salary cover all of your living expenses?,Do you need to take out loans?,Do you earn enough money?,Does your job pay enough?,Do you need food stamps?,Do you need financial assistance?,,,,,,,,,,,,,,,
What is the salary like for your job?,Salary?,How much do you earn annually?,What is a rough estimate of how much you get paid?,How much do you get paid?,What is your annual income?,How much money do you earn?,How much money do you make?,How well does your job pay?,What is your salary range?,,,,,,,,,,,,,,,,,,,,,
What are some struggles you are currently facing in your job?,What have you been struggling with recently?,What is the struggle you still face now?,What is something you still struggle with?,What are things you are struggling with right now?,What are some struggles you face while at work?,What kinds of challenges are you currently experiencing at work?,What do you struggle with right now?,Is there anything you are trying to overcome at work right now?,What kinds of challenges are you facing at work right now?,,,,,,,,,,,,,,,,,,,,,
How happy are you in your job?,Are you where you want to be?,Are you happy?,Are you happy with your career?,Are you happy with your current job?,Would you say you are happy in your job?,Are you content at your job?,How joyful are you at work?,Are you glad you took your job?,,,,,,,,,,,,,,,,,,,,,,
Do you attend any conferences or conventions?,Do you attend conventions for psychologists?,Have you attended any conferences?,Do you usually go to conferences or conventions?,Does your job require you to attend conferences or conventions?,Do you have to present at conferences?,Do you present at conventions?,How often do you go to conferences?,Are you required to go to conferences?,,,,,,,,,,,,,,,,,,,,,,
What do you do at conventions or conferences?,What do people do at conventions or conferences?,What are conventions or conferences like?,What does the itinerary of a convention or conference look like?,What do you expected to do at conventions or conferences?,Can you tell me more about conferences or conventions?,What's a conference?,What do you have to do at conferences?,,,,,,,,,,,,,,,,,,,,,,,
What do you specialize in?,Do you have a specialty?,Do you specialize in a specific field?,What is your specialty?,What field do you specialize in?,What area do you specialize in?,,,,,,,,,,,,,,,,,,,,,,,,,
When will you retire?,How long until you retire?,At what age do you think you'll retire?,What year will you retire?,When do you plan to retire?,Have you started planning for retirement?,Will you retire?,,,,,,,,,,,,,,,,,,,,,,,,
What do you plan to do when you retire?,Do you have any post-retirement plans?,What are you going to do once you retire?,Do you have any plans for when you retire?,What will you do after retirement?,What do you think your retirement will be like?,What comes after retirement?,What are your plans for retirement?,Will you continue to teach after retirement?,Will you continue to do research after retirement?,How do you think your retirement will go?,What do you envision for your retirement?,What do professors do after they retire?,,,,,,,,,,,,,,,,,,
How much money do professors make?,How much money do college teachers make?,What is the average salary of professors?,What is the annual income of a professor?,How much do professors usually make?,What is the salary range for a professor?,Can you give me a sense of how much professors make?,How much money do professors earn?,,,,,,,,,,,,,,,,,,,,,,,
Is Psychology an easy or hard major?,Are Psychology classes supposed to be difficult?,"How do you feel when people say that Psychology is an ""Easy major?""",Is Psychology easy or hard? ,How difficult is being a Psychology major?,Is Psychology a hard major?,Is Psychology an easy major?,Do you think majoring in Psychology is easy?,Is Psychology an easy field to get into?,Is Psychology a hard field to get into?,"If you are looking for an easy major, should you choose Psychology?",Would you say Psychology is easy?,Do you find Psychology easy?,,,,,,,,,,,,,,,,,,
What are the different areas of Psychology?,What fields of psychology can I study?,Does Psychology have different areas?,What different areas does Psychology have?,What different subfields are there in Psychology?,What are the different subfields in Psychology?,What are the different branches of Psychology?,What are some sub-specialties in Psychology?,What types of Psychology specializations are there?,,,,,,,,,,,,,,,,,,,,,,
What is the best area or branch of psychology to study?,What is the best type of psychology to study?,What is the best area of Psychology?,What subfield of Psychology do you recommend?,Which subfield of Psychology is best?,What type of Psychology should I specialize in?,Is there a particular area of Psychology you'd recommend that I study?,What sub-area should I study?,,,,,,,,,,,,,,,,,,,,,,,
How long does it take to finish your degree?,How long does it take to get your degree?,How many years does it take to finish your degree?,How many semesters does it take to finish your degree?,How long does finishing your degree take?,How long does it take to graduate with a degree in Psychology?,How many years does it take to graduate?,How long does a Psychology major take?,How many units do you have to take in order to graduate with a Bachelor's degree in Psychology?,Can you graduate in four years if you study Psychology?,How long does it take to earn a Bachelor's?,,,,,,,,,,,,,,,,,,,,
What's up?,What is up?,What is going on?,What are you up to?,What are you doing?,What have you been up to?,Whazzup,Whaddup,,,,,,,,,,,,,,,,,,,,,,,
How are you?,How are you doing?,Are you well?,How's it going?,How was your day?,How are you feeling?,What is your current state?,How's it?,How's it hanging?,,,,,,,,,,,,,,,,,,,,,,
How's the weather?,What is the weather like?,Is the weather really bad outside?,Is the weather nice there?,What's the weather?,Is it warm outside?,Is it raining?,What is the weather like right now?,What does it look like outside?,What do the skies look like?,What season is it?,Is it sunny?,Is it hot?,Is it cold?,,,,,,,,,,,,,,,,,
Where are you?,Where are you now?,Where do you live?,Which city are you in right now?,Are you in the US?,Are you out of the country?,What environment are you in now?,What is it like where you live?,Where are you recording this?,Are you in Fullerton?,Are you in California?,Do you live in Fullerton?,Do you live in California?,,,,,,,,,,,,,,,,,,
What is your favorite color?,Do you have a favorite color?,Do you have any color preferences?,What color do you like best?,Do you prefer any color?,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your favorite food?,What do you like to eat?,What is your ideal meal?,Do you have a favorite dish ?,What is your preferred cuisine?,"If you could eat one thing, what would it be?",What do you like to eat the most?,What food can you not live without?,What food are you into right now?,What foods do you like?,What would you rather eat?,What's the best thing you've eaten recently?,What is your desert island food?,,,,,,,,,,,,,,,,,,
What is your least favorite food?,is there anything you hate to eat?,What food makes you gag?,What food do you hate?,What food do you like the least?,Is there any food you avoid?,Are you allergic to any food?,What food do you consider yucky?,What food do you wish didn't exist?,What kinds of food do you dislike?,,,,,,,,,,,,,,,,,,,,,
What sports do you play or follow?,Do you play any sports?,Do you follow sports?,Are you a sports fan?,Do you follow any sports team?,Do you like sports?,What's your favorite sports team?,Do you watch any sports?,Did you play any sports in high school or college?,,,,,,,,,,,,,,,,,,,,,,
Who inspires you?,Who inspires you the most?,Who do you find inspirational?,Is there anyone you draw inspiration from?,Who motivates you?,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you need to be good at math or science in order to study Psychology?,Do you need to be good at certain things in order to study Psychology?,Is math or science important to study in Psychology?,How much math do you need to know in Psychology?,Do you need to be good at STEM in order to study Psychology?,Does Psychology have a lot of math classes?,Does Psychology have a lot of science classes?,What if I'm not good at math?,What if I'm not good at science?,How much math or science is involved?,I don't like math.,I don't like science.,Taking math classes makes me nervous.,Taking science classes make me nervous.,,,,,,,,,,,,,,,,,
What are the benefits of studying psychology?,What are the benefits of pursuing this major? ,What's the most rewarding part in studying Psychology?,What are the benefits of choosing this path?,Why study psychology?,What do you get out of being a Psychology major?,What's good about studying psychology?,Why do people like studying psychology?,,,,,,,,,,,,,,,,,,,,,,,
What are the disadvantages of studying psychology?,What are the drawbacks of choosing this path?,What are the disadvantages of studying psychology?,What are the disadvantages of this major?,What's bad about studying psychology?,Why do people say you shouldn't get a Psychology degree?,Why shouldn't you study psychology?,What are some reasons why it's not good to study psychology?,,,,,,,,,,,,,,,,,,,,,,,
How hard is it to get into your field?,How hard is it to get into a particular field in psychology?,How hard is it to get into your specific field?,How difficult is it to get into your field?,Did you have any difficulty pursuing this field?,Is it hard to get into Psychology?,Is a psychology major competitive?,,,,,,,,,,,,,,,,,,,,,,,,
How can I learn more about this field?,How can I gain more knowledge about this field?,How do I get more information on this field?,Where could I find more information about this field?,What's a good way to learn more about this field?,How would you recommend that I learn more about Psychology?,,,,,,,,,,,,,,,,,,,,,,,,,
What kind of jobs can I pursue with a psychology major?,Kinds of jobs?,What are some career options for this major?,What jobs are available?,What are some career plans that I can follow? ,What jobs are out there?,What are some career paths I can take with this major?,What kind of future jobs would be available?,What are the most popular career options for people with my major?,What am I supposed to do with a Psychology degree?,Job opportunities? ,What job options do I have?,What could I do with my psych degree?,What job fields open up with a Psychology degree? ,What careers are possible with a Psychology degree?,What career paths are available for psychology majors?,Which fields can I enter by choosing psychology?,What types of jobs are there in psychology?,Are there jobs in psychology that are medical-related?,What are the possible careers you can pursue with a psych major?,What kinds of jobs do people hold with a Psychology major?,,,,,,,,,,
How easy or hard is it to get a job with a psychology degree?,Is it hard getting anywhere in psychology with a BA?,How hard is finding a job in psychology?,Is it difficult to find a job with this degree?,Are there a lot of job opportunities in Psychology?,Are there jobs out there for this field?,Do a lot of employers hire psychology majors?,Do employers look for psychology majors?,,,,,,,,,,,,,,,,,,,,,,,
How can I make good money in this field?,How do I make a lot of money?,How to make money?,How can i make more money?,How can I succeed financially in psychology?,How do you maximize your salary in psychology?,How can I get the best money with a psychology degree?,What kinds of jobs give you the highest salary in psychology?,,,,,,,,,,,,,,,,,,,,,,,
"Can you give me a sense of how much salary you can earn with Bachelors, Masters, and Doctoral degrees?",How much money can I earn with different Psychology degrees?,What is the difference in salaries between different Psychology degrees?,"What is the average salary that you can earn with Bachelors, Masters, and Doctoral degrees?",What's the average salary for a bachelor's degree?,How much money did you make with your Bachelors Degree?,How much money did you make when you got your Masters?,How much can I make with this degree? ,How much money can you make with a doctorate?,What's the average salary for someone with a master's degree?,,,,,,,,,,,,,,,,,,,,,
How can I be successful in this field?,What can I do to succeed? ,How can I be successful?,What advice would you give me in order to succeed in this path that I am taking?,How to work my way to the top?,What is the best way to be successful?,How can I ensure future success?,What should I do now to be successful in the future?,How can i have a life and be successful?,What is the key to success?,What makes a student successful in psychology?,What can I do to be more successful?,What can I do to succeed? ,How can I be successful academically? ,What steps do I have to take to succeed?,,,,,,,,,,,,,,,,
Are there resources on campus that you'd recommend that I use?,What campus resources should I take advantage of?,What sort of resources are available for students with my major?,What are some resources available in school that can help me?,What resources do you recommend?,Is there any way you could let me know more about the resources on campus?,Should I reach out to the additional resources on campus in order to help my academics?,Can you recommend me some resources to help me figure out what I want to do with my major? ,What are the best resources on campus for students?,,,,,,,,,,,,,,,,,,,,,,
What is the best piece of advice you would give to someone pursuing this field?,What advice would you give to someone pursuing this field?,What advice would you give to someone interested in this field?,What advice would you give if I decide to pursuing this field?,What advice would you give to a psychology major?,What's the most important advice you would give to a student in psychology?,Can you give me your best advice?,"If you could give me one piece of advice, what would it be?",Tips?,If you had to give me one suggestion what would it be?,What is one piece of advice you would give to someone in this field?,"If you could give one piece of advice, what would it be?",What is the best advice that you can give?,What would you tell me that you wish you could have told your younger self?,What do you recommend?,Is their any advice that you would have for me?,What's the best advice you could give?,What advice do you have for someone in my position?,What is your most helpful advice?,,,,,,,,,,,,
Can I pursue careers outside of the field with a psychology degree?,Can you get a job in other fields with a psychology degree?,Can my major help me get different jobs I did not think of? ,Can a Psychology degree allow me to get a job outside of this field?,Can a Psychology degree give me a foundation for other types of jobs?,How flexible are your career options with a psychology degree?,Do you have to work in Psychology if you get a degree in it?,What kinds of non-psychology jobs can I pursue with a Psychology degree?,Do you have to become a psychologist if you get a degree in psychology?,Do psychology majors get jobs outside of psychology?,Can psychology majors get jobs in other fields?,What if I don't want to work in psychology?,,,,,,,,,,,,,,,,,,,
How did you become interested in Psychology?,What drew you to Psychology?,How did Psychology begin to interest you?,How did you get interested in Psychology?,What first interested you in Psychology?,What made you decide to get into psychology?,What got you into psychology?,,,,,,,,,,,,,,,,,,,,,,,,
How did you get started in this field?,How did you start?,How did you start on your path to psychology?,How did you get started in your career?,What is the first thing you did when you decided to get into psychology?,What got you started in your career?,,,,,,,,,,,,,,,,,,,,,,,,,
What inspired you to pursue this career?,What experiences have you had that inspired you to get into psychology?,What inspired you to go into the field that you're in? ,How did you get inspired to pursue psychology?,Where did you get the inspiration to get into psychology?,Did anything inspire you to get into psychology?,What inspired you to become a professor?,,,,,,,,,,,,,,,,,,,,,,,,
How did you know you wanted to pursue this type of work?,How did you know you wanted to do this for the rest of your life?,How did you know this is what you want to do in life?,How did you know you were interested in this line of work?,How did you know what you wanted to do?,How did you decide that this is what you wanted to do?,What let you know that you chose the right career?,How did you know you chose the right career path?,How did you confirm that this is what you wanted to do?,What let you know that this was the right path for you?,What made you realize that this is the right career for you?,What let you know that this kind of work is what you want to do?,How did you decide to become a professor?,When did you realize that you wanted to be a professor?,What let you know that being a professor is what you want to do?,,,,,,,,,,,,,,,,
How did you get to where you are now?,How did you succeed in your field?,How did you get here?,How did you get to the top? ,What did you do to get to your career?,How did you become successful?,How did you get to where you are now?,What did it take to get to where you are today?,How did you land your current role?,How did you get to where you are today?,What was your process or history that got you into the position you are in?,How did you do it?,How did you get where you are today,How did you get to where you are now?,How did you get to this position? ,,,,,,,,,,,,,,,,
How long did it take you to get to where you are now?,How long did it take you to get here?,How many years have you spent getting to this position?,How many years have you studied and worked in this field?,How long has your career been so far?,How many years have you put in so far?,Has it taken you a long time to become a professor?,How long does it take to become a professor?,,,,,,,,,,,,,,,,,,,,,,,
What surprised you the most when you entered the field?,What most surprised you when entering the field?,What about the field surprised you the most?,"When you entered the field, what surprised you the most?",Were you surprised by anything when you got into psychology?,Was anything surprising about studying psychology?,What did you find the most surprising about the field?,Is there anything you found especially surprising about this field?,What caught you off guard when you entered this field?,Was there anything that you did not anticipate about pursuing this career?,What is something you didn't know about the field when you got started?,What took you by surprise when you entered the field?,What did you not see coming when you entered the field?,,,,,,,,,,,,,,,,,,
Did you ever think about changing your major or career?,How often do you rethink your career decision?,Do you ever feel like this major isn't right for you?,Have you ever had doubts about your major?,Did you ever consider a different major or career?,Did you ever want to jump ship?,Have you ever thought about changing majors or careers?,Were you always sure about your major or career?,Did you ever question whether you chose the right major or career?,Did you ever question your major or career choice?,,,,,,,,,,,,,,,,,,,,,
What is the most helpful advice you have gotten?,Is there any advice that was given to you in terms of school that you would be willing to share with me?,Tell me the best advice you've gotten.,What is the best advice you have gotten?,What piece of advice has made the most difference?,What advice do you live by?,What advice do you think is the most helpful?,,,,,,,,,,,,,,,,,,,,,,,,
How long have you been teaching?,How long have you been a teacher?,Did you start teaching a while back?,How long have you had a teaching career?,How many years of teaching experience do you have?,How long ago did you start teaching?,How much teaching experience do you have?,Have you been teaching for a long time?,Have you been a teacher for a long time?,How long have you been a professor?,,,,,,,,,,,,,,,,,,,,,
What made you want to teach?,What interested you in teaching?,What got you into teaching?,What were your motivations for becoming a teacher?,How did you decide to become a teacher?,What made you decide to become a teacher?,What interested you about teaching?,,,,,,,,,,,,,,,,,,,,,,,,
What were you like as a student?,How were you in school?,Were you a good student?,Were you good at studying?,Did you do well in school? ,What were your grades like in school?,Did you get along with your teachers?,How did you study?,What kind of activities were you a part of in school?,What type of student were you?,Tell me about your time as a student.,Were you a straight-A student?,Did you study hard in school?,Were you a strong student?,How studious were you as a student?,Can you describe yourself as a student?,"If I saw you in school, what would I have seen?",Describe yourself as a student.,Were you studious?,Were you a nerd in school?,,,,,,,,,,,
What was your college experience like?,Was your college experience hard?,How'd your college experience go?,How did college treat you?,What was your experience like in college?,Tell me about your college experience.,How was life in college?,What were your college years like?,What was college like for you?,,,,,,,,,,,,,,,,,,,,,,
What was it like to get your PhD?,How was the process of earning your PhD?,What is the Ph.D. process like?,What was getting your Ph.D. like?,Did you have a difficult time getting your PhD?,How were your PhD years?,How was grad school for you?,Was it hard getting your PhD?,What did you do as a PhD student?,,,,,,,,,,,,,,,,,,,,,,
How long did it take to get your PhD?,How long did it take you to graduate from graduate school?,How long was the Ph.D. process?,How long did it take for you to complete your thesis and graduate?,How long did it take you to earn your PhD?,How many years did you take to finish your PhD?,How many years was your PhD program?,How old were you by the time you finished your PhD?,Did it take you a long time to finish your PhD?,How many years did you spend in school to get a PhD?,,,,,,,,,,,,,,,,,,,,,
What were some difficulties you experienced while pursuing your PhD?,Were there any difficulties with pursuing your Ph.D.?,What aspects of the Ph.D. process were the most difficult?,What difficulties did you face while pursuing your Ph.D.?,What challenges did you encounter while pursuing your PhD?,What kind of hardship did you experience during grad school?,What was the hardest part about getting your PhD?,Did you ever think about leaving your PhD program?,What were some obstacles you encountered on your way to getting your PhD?,Did you experience any setbacks while getting your PhD?,What made getting a PhD so difficult for you?,Were you ever discouraged in grad school?,,,,,,,,,,,,,,,,,,,
Did you work while you were in school?,Did you work during college? ,Did you work while you were in school?,Did you work while you completed your doctorate?,Did you have any jobs while you went to school?,Did you have to work to pay for school?,Did you work while in graduate school?,Did you work during college?,How many jobs did you work while going to school?,Were you employed while you were going to school?,Did you have to hold any jobs while going to school?,How did you make money when you were a student?,Did you do any work-study during college?,Did you have to work in order to put yourself through school?,,,,,,,,,,,,,,,,,
Did you participate in any extracurriculars?,What were your extracurriculars?,What extracurriculars did you participate in?,Did you have any extracurriculars?,What kinds of extracurricular activities were you involved in?,Did you participate in any student organizations?,Did you participate in any clubs when you were in school?,Did you have any time to pursue extracurriculars when you were going to school?,How many extracurriculars were you involved in?,,,,,,,,,,,,,,,,,,,,,,
What was the hardest class you have ever taken?,What was the most difficult course you have taken?,Which course was hardest to take?,Was there a class that was particularly difficult?,Did you ever fail any classes?,Were there any classes you struggled in?,What class challenged you the most?,What was the class you performed the worst in?,What subject was the hardest for you?,In what class did you earn the lowest grade?,Were there any classes that brought down your GPA?,What subject was the hardest for you to learn or study?,,,,,,,,,,,,,,,,,,,
What was the best class you have ever taken?,What has been one of the best courses that you have taken? ,What is the best class you have ever taken?,What was your favorite class?,What class did you enjoy the most as a student?,What class gave you the best learning experience?,What class gave you the best training?,Which class did you like the most?,What course was the best?,,,,,,,,,,,,,,,,,,,,,,
What was the worst class you have ever taken?,What was your least favorite class?,What class did you dislike the most?,What course was the worst?,What class gave you the worst learning experience?,What course did you hate the most?,Were there are any courses that gave you a horrible experience?,What course would you never want to take again?,Are there any courses you wish you never had to take?,,,,,,,,,,,,,,,,,,,,,,
