Question,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
Were you worried about starting college?,What were some of your fears entering college and your career?,"One of the biggest fears that I had joining college was that I wasn't good enough. When I started going to Berkeley, I just barely started computer science. So, I was a noob. I was just a very new person with computer science and during the orientation, there's is this guy that's, you know, kind of, explaining what the campus is like, what life is going to be like, what you can expect from the liberal campus and I was sitting in the computer science group and to my left and right were two of my newest friends. To my left, there was a Java programmer, he'd been programming for eight years, he was an expert in this field, he'd, you know, made several programs and, like, he explained all of this to me and I'm like, ""Okay, we're going to be going to the same class, alright"" and to my right, there was somebody very very similar. He was, like, accepted to Stanford and he went to Berkeley because it's cheaper but, he had been programming since he was twelve, when he made his first computer, you know, like, blah blah blah and I was like, ""Okay, so this is the average people going to my university and we're going to be taking the, all right, I got some work for me to do."" So, that was what was on my plate when I first started going. For the military, I would say that something similar was going, I felt was going to happen. I joined the nuclear technology side of the Electrician's mate course and I had never liked engineering things at all, at all. I was the opposite. I liked driving my car but if you told me to change my oil, I would say, ""I don't think so. I'm going to take it in to Midas."" I don't like grease, I didn't like screw drivers. The biggest accomplishment I'd done, as far as, like, mechanical type things was, I had put shingles on a house and yeah, I was outside and yeah, you know, the air smelled fine but those mechanical type jobs, I just didn't feel at that time was for me. So, that's one of the reasons I actually joined the nuclear side of the Electrician's Mate. It's because, I actually wanted to challenge myself in that. I wanted to, kind of, see what that side was like, so. But when I joined, I'm pretty sure everybody there had a big head start over me that I had to overcome.",Did you have fears going into college or your career?,,,,,,,,,,,,,,,,,,,,,,,
What is your favorite color?,do you have a favorite color?,do you have any color preferences?,"other than Navy blue, what colors do you like?",Are you high up in the Navy?,What is your position in the military?,,Are you a boss in the Navy?,,,,,,,,,,,,,,,,,,,
What is your favorite food?,what do you like to eat?,what is your ideal meal?,do you have a favorite dish ?,How will you be spending your time at work,"At work, how will you be spending your time",,"At work, what will you be doing",,,,,,,,,,,,,,,,,,,
Can I be in a relationship in the military?,Can you have a boyfriend in the military?,Can you have a girlfriend in the military?,Can you have a girlfriend in the Navy,Will you be making a lot of decisions?,What are some examples of decisions you will make?,,What are some examples of decisions you make?,,,,,,,,,,,,,,,,,,,
How do relationships last in the military?,How can relationships last in the military?,What do you have to do to keep a relationship in the military?,What can you do to keep a relationship in the Navy?,What benefits are there to joining the Navy?,Is this work any good?,,Is this a good profession?,What do you like about the Navy?,,,,,,,,,,,,,,,,,,
Where were you commissioned?,Where did you commission?,What place did you commission?,,Can you tell me anything negative about being a pilot?,Why shouldn't I be a pilot?,,,,,,,,,,,,,,,,,,,,,
How much money do you earn working for the Navy?,What is your pay?,What is Navy pay?,What is your salary?,,,,,,,,,,,,,,,,,,,,,,,
Do you recommend I apply for the ROTC program?,Should I join ROTC?,Why should I join ROTC?,Do you suggest that I join ROTC?,,,,,,,,,,,,,,,,,,,,,,,
When do you sign your service commitment?,When are you contracted?,Do you sign for commitment?,,Will your job be safe?,Are pilots safe from unemployment?,,Is there a chance that you get unemployed?,What are the chances that you get unemployed?,,,,,,,,,,,,,,,,,,
What's the minimum commitment of service for the Navy?,What's the minimum number of years that I have to serve?,How long do I have to serve?,How many years of service do you owe?,Do you suffer from stress in the Navy?,How many Navy people suffer from stress?,,,,,,,,,,,,,,,,,,,,,
What's the minimum commitment of service for aviation?,How many years do you owe for aviation?,Do pilots have different required years of service?,Do pilots serve longer?,,,,,,,,,,,,,,,,,,,,,,,
Are you scared of the commitment of service for aviation?,Are you scared of serving?,Are you scared of the commitment?,Are you hesitant about serving?,How did you join JROTC?,What pushed you to join ROTC?,,What pushed you to join JROTC?,,,,,,,,,,,,,,,,,,,
How do I apply for the ROTC program?,How do I join ROTC?,Tell me about ways I can join ROTC?,Where do I sign up for ROTC?,Tell me about JROTC?,,,,,,,,,,,,,,,,,,,,,,
What is your biggest takeaway from ROTC?,Tell me about ROTC,What's a lesson you've learned from ROTC?,What have you learned from ROTC?,,,,,,,,,,,,,,,,,,,,,,,
How do I succeed in school?,How do I do well in school?,What are some tips on how to do well in school?,How can I do better in school?,,,,,,,,,,,,,,,,,,,,,,,
Do you reccommend studying abroad?,Should I study abroad?,What are some reasons why I should study abroad?,What do I gain from studying abroad?,,,,,,,,,,,,,,,,,,,,,,,
How can I study abroad?,What should I do if I want to study abroad?,Who do I talk to about studying abroad?,What do I have to do to study abroad?,,,,,,,,,,,,,,,,,,,,,,,
Have you ever felt discriminated in a male dominated field?,Do you feel discriminated?,Have you ever felt discriminated?,Are people sexist?,,,,,,,,,,,,,,,,,,,,,,,
How do you deal with your cowokers in a male dominated field?,How do you work in a male dominated field?,How do you cope with working in a male dominated field?,How do you work with being a female in a male dominated field?,Do you build relations in ROTC?,,,,,,,,,,,,,,,,,,,,,,
"If you had the chance to do school over, what would you do differently?",What would you change about your experience with school?,Would you change anything about school if you could?,,What were you afraid of before you went to college?,Were you worried about anything when you were entering college or your career?,,What concerns did you have prior to entering college and your career?,What were you fearful of before beginning college and your career?,,,,,,,,,,,,,,,,,,
What have you done that you are most proud of?,What is your greatest accomplishment?,What are you most proud of?,Tell me about your proudest accomplishment?,,,,,,,,,,,,,,,,,,,,,,,
What kind of people do not do well in your line of work?,What type of people fail in your field,What kind of people fail in your field,Which kind of people fail in your field,,,,,,,,,,,,,,,,,,,,,,,
What was your biggest failure and how did you learn from it?,What failures make you the most upset?,What defeat makes you the most distressed?,Tell me about your most upsetting shortcoming.,Can you have a boyfrined in the Navy?,Can you be married?,,Can you be married in the military,Can you be married in the Navy?,,,,,,,,,,,,,,,,,,
What kind of risks do you need to take in your field?,What are some risks you take?,Do you take risks?,How often do you take risks?,,,,,,,,,,,,,,,,,,,,,,,
What courses in college have you found to be the most useful so far?,What are the most applicable courses?,What courses translate to Navy?,What are some useful courses?,,,,,,,,,,,,,,,,,,,,,,,
When is breaking the rules okay?,When is okay to break rules?,Is it okay to  break rules?,Is it ever ethical to break rules?,How much money do you make?,How much money do people make in the Navy?,,Will the Navy pay me enough?,,,,,,,,,,,,,,,,,,,
What were some of the most diffucult courses you had to take in college?,What was your hardest course?,What is the hardest course you took?,What class was the most difficult?,,,,,,,,,,,,,,,,,,,,,,,
How has your job affected your lifestyle,How does Navy influence your lifestyle?,Does the military affect your lifestyle?,Does the military change your lifestyle?,,,,,,,,,,,,,,,,,,,,,,,
What was a pivitol moment in your life?,What moment changed your life?,What has been a life changing moment for you?,,,,,,,,,,,,,,,,,,,,,,,,
What is important when choosing a college?,What factors into college decision making?,What things should I consider when choosing a college?,What should I consider when choosing a college?,How does aviation affect your service time?,,,,,,,,,,,,,,,,,,,,,,
How might your job change over the next 10 years?,Will your job change in the future?,Will your job be changed in the future?,Can your job change in the future?,Are you worried about serving?,Are you worried about the service you owe?,,,,,,,,,,,,,,,,,,,,,
What are you really passionate about in your career?,What are you interested in?,What is your passion,What interests you?,Where can I go to sign up for ROTC?,,,,,,,,,,,,,,,,,,,,,,
How much do you use Math in your job?,Do you use a lot of math?,How applicable is math?,Is math heavily involved in your job?,,,,,,,,,,,,,,,,,,,,,,,
How can you change careers?,How do you switch careers?,Can I switch careers?,What if I don't like my job?,,,,,,,,,,,,,,,,,,,,,,,
Who are you and what do you do?,What do you do?,What is your history?,I want to know everything about you?,Explain your background.,what is a deployment?,Tell me about yourself,Who are you?,what's deployment?,,,,,,,,,,,,,,,,,,
When is your birthday?,What date were you born?,In what month were you born?,What's your sign?,Is it your birthday?,When is your date of birth?,,,,,,,,,,,,,,,,,,,,,
Tell me about your childhood.,What was your childhood like?,What was it like for you growing up?,How were you raised?,"When you were young, what was your family like?",Were you a good kid?,Were you a bad kid?,What kind of kid were you?,What happened when you were young?,did you get along with your parents?,did your parents encourage you to join the navy?,were your parents okay with you joining the army?,,,,,,,,,,,,,,,
Tell me about your family.,What is your family like?,What is your relationship with your family?,How well do you get along with your folks?,Who were your parents?,Do you like your parents?,how are your parents?,how is your family?,Are you close with your parents?,Do you like your family?,do you get along with your dad and mom?,,,,,,,,,,,,,,,,
Can you tell me more about Michigan?,How was your time spent in Michigan?,What impact did Michigan have on your childhood?,Did you become who you are because of where you grew up?,How is Detroit?,How is Michigan?,What is Michigan like?,what's michigan like?,,,,,,,,,,,,,,,,,,,
What kind of student were you?,How were you in school?,Were you a good student?,What are your study habits like?,Did your teachers like you?,Did you work hard in school?,Did you get good grades in school?,Did you get good grades?,how were you in high school?,Did you have a high GPA?,did you do well in school?,,,,,,,,,,,,,,,,
"Besides LA, what other places in California have you lived in?",Where have you lived in California?,Where else in California have you been?,Did you ever live in San Diego?,Did you ever live in San Francisco?,Do you live on the West Coast?,,,,,,,,,,,,,,,,,,,,,
What was it like being in war? What did you do?,What is war like?,Have you fought in a war?,What do you do in a war?,What was it like being in war?,Is being in a war scary?,Did you fight in the Iraq war?,Were you in Vietnam?,How has combat changed you?,How has war changed you?,Have you had to face combat?,Have you had to been in battle?,,,,,,,,,,,,,,,
I want to join the Navy but I'm afraid of going into battle...,Is the military scary?,Do I have to fight in battles if I join the military?,Do I have to risk my life to serve my country?,Will I have to go into battle if I join?,Have you been in battle?,I don't want to die.,I am scared of going into battle.,the military scares me.,"Let's switch course, how has combat changed you?",,,,,,,,,,,,,,,,,
"Though you were an Electrician's Mate, did you work on other things besides electronics?",Is your position the only thing you do?,What other things do you do besides what you do with technology?,"What are duties that everyone in the Navy has to do, regardless of position?",Are electronics the only thing you worked on?,Was everything you did in the Navy about technology?,Did you do different things in the Navy?,,,,,,,,,,,,,,,,,,,,
What is the training progression and what is it like?,What is the training process?,What is the required training?,How is training?,Is training long?,Is training difficult?,Do they teach you a lot in the Navy?,Do you need to practice a lot in the Navy?,,,,,,,,,,,,,,,,,,,
What does EMC stand for?,What is an EMC?,What does the abbreviation EMC mean?,What does EMC mean?,What's EMC?,What does EMC stand for?,,,,,,,,,,,,,,,,,,,,,
Are you an officer?,Do you have a high rank?,Are you a Captain?,Are you in charge on the ship?,Do you have a leadership role?,,,,,,,,,,,,,,,,,,,,,,
"You have a college degree, so why aren't you an officer?",Why aren't you an officer?,Shouldn't you be an officer?,Do you want to be an officer?,Do you get to be an officer if you're in the military a long time?,Why don't you want to be an officer?,,,,,,,,,,,,,,,,,,,,,
What is the difference between an officer and an enlisted person?,What makes an officer different?,How are officers and enlisted persons different?,Is being an officer easier or harder than being an enlisted person?,What is enlisted?,What is an officer?,How does the E ranking system work?,what does an officer do?,,,,,,,,,,,,,,,,,,,
How do you spend most of your time on deployment?,What do you do on deployment?,What is your role on deployment?,How is work different on deployment?,What are your responsibilities on deployment?,What's deployment life like?,what is it like to be on a ship?,what is deployment like?,tell me about deployment or being on a ship.,,,,,,,,,,,,,,,,,,
What did you do during your off time while deployed?,What do you do in your free time while deployed?,What do you do for fun while deployed?,What do you do when you aren't working while deployed?,How is life when deployed?,On a ship what is there to do for fun?,What do you do for fun in the middle of the ocean?,How do you entertain yourself on a ship?,Is there anything to do on a ship?,Does it get boring on a ship?,Is there anything to pass the time in the ocean?,,,,,,,,,,,,,,,,
How do you spend most of your time off deployment?,What is work like off deployment?,What is your role off of deployment?,What are your duties off deployment?,How is work different off deployment?,,,,,,,,,,,,,,,,,,,,,,
Describe the work you do on a typical day.,What is a regular day like?,What is a typical day like in the Navy?,What do you do on a normal day?,What are you daily responsibilities?,Is the work the same every day?,Is every day the same?,tell me about your job in the navy.,what was your job like in the Navy?,What's your day-to-day?,,,,,,,,,,,,,,,,,
What are you doing now that you aren't active duty Navy?,What are you doing now?,What are you doing now that you are out of the Navy?,What is life like out of the Navy?,How has your life changed out of the Navy?,,,,,,,,,,,,,,,,,,,,,,
How much do you earn working for the Navy?,What is your pay?,What is Navy pay?,What is your salary?,How much money do you make?,How much money do people make in the Navy?,Will the Navy pay me enough?,,,,,,,,,,,,,,,,,,,,
How many hours do you work in a typical day?,What are your hours like?,What are your work hours?,How much do you work while in the Navy?,How many hours do you work?,What does an average day in the navy look like?,,,,,,,,,,,,,,,,,,,,,
What types of problems do you deal with on a daily basis?,What are problems you solve?,How do you solve problems at work?,What are the issues you have to resolve being in the Navy?,What problems do you see regularly?,Do you run into problems?,,,,,,,,,,,,,,,,,,,,,
What kind of issues are there with alcohol in the Navy?,Is alcohol an issue?,Can you drink in the Navy?,Are there alcoholics in the Navy?,Do Navy sailors drink a lot?,What happens when sailors get too drunk?,,,,,,,,,,,,,,,,,,,,,
What is the Navy doing to combat heavy alcohol use?,How is alcohol regulated?,How does the Navy deal with alcohol abuse?,What does the Navy do about alcohol?,,,,,,,,,,,,,,,,,,,,,,,
How much did your friends impact where you ended up in your career?,Did your friends impact your career?,How do you choose friends in the Navy?,What were your friends like in the Navy?,How did your Navy friends affect your experience?,,,,,,,,,,,,,,,,,,,,,,
What are the major benefits of doing this kind of work?,What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,What benefits are there to joining the Navy?,Is this work any good?,Is this a good profession?,What do you like about the Navy?,Tell me something you like about the navy.,why do you like your job?,why should I join the Navy?,what is good about going into the Navy?,what are the benefits of being in the navy?,i want to know about the navy,what's your job in the navy like?,,,,,,,,,,,,
What do most people do after leaving active duty?,What happens when you get out of the Navy?,How do people transition out of the Navy?,What happens when you leave the Navy?,Is it hard to get a job after leaving the military?,What is the future for Navy Vets?,Do Navy vets do well in civilian life?,,,,,,,,,,,,,,,,,,,,
What are the major negatives of doing this kind of work?,What are the cons of serving in the Navy?,Are there negatives to the Navy?,What bad things are there in the Navy?,Why shouldn't I join the Navy?,What can happen in the Navy that is a bad thing?,What is the worst thing about doing your job in the Navy?,tell me what you don't like about the Navy.,Is there anything you don't like about your job?,What do you like least about the Navy?,What did you sacrifice for the Navy?,so you didn't like the Navy?,What did you sacrifice for the military?,,,,,,,,,,,,,,
Was it worth it?,Would you do it again?,Do the ends justify the means?,Do difficulties make you want to quit?,Does looking back make you sad?,Are there times you are sorry you did this in the Navy?,On balance did the good times outweigh the bad?,,,,,,,,,,,,,,,,,,,,
What are the main things that new employees must learn and adjust to?,What do you have to adjust to when joining?,Is it difficult to adjust to the Navy lifestyle?,How do you adjust to a Navy career?,Is adjustment to the Navy way easy or hard?,What did you have to get used to in the Navy?,Are new skills required to survive in a STEM field in the Navy,Was adjusting to the Navy tough?,Was the first year hard?,,,,,,,,,,,,,,,,,,
How much travel did you do during active duty?,How much do you travel while serving?,Does the Navy allow you to travel?,Do you get to see other countries if you join the Navy?,How often do you get to travel in the Navy?,Did you get tired of traveling?,Do you want more travelling or less?,Do active duty people travel more than reserves?,Do Navy personnel complain about travelling?,Can you get out of travelling?,,,,,,,,,,,,,,,,,
What countries did you visit on Port Calls?,What countries did you visit?,Where did the Navy take you?,Where did you go on your ship?,What countries have you been to?,What ports have you been to?,What ports have you seen?,why did you go to Australia?,,,,,,,,,,,,,,,,,,,
How much travel do you do now that you're out of the Navy?,Do you travel now that you are out of the Navy?,Is it easier to travel outside of the Navy?,Do you travel a lot in your life?,"Since being out of the Navy, do you do a lot of traveling?","As a Civlilian, do you travel a lot?",,,,,,,,,,,,,,,,,,,,,
What lifestyle changes does being in the Navy involve?,How does the Navy impact your lifestyle?,Does the Navy largely affect the way you live?,Is the Navy lifestyle difficult?,How is the Navy lifestyle different?,How's Navy life different?,What's Navy life like?,,,,,,,,,,,,,,,,,,,,
Did you like wearing the same uniform?,Do you like your uniform?,How was it wearing a uniform?,Does the uniform get old?,Do you have to wear the same uniform daily?,Are you bored of wearing the same uniform everyday?,Do you like wearing your uniform every day?,do you like the uniforms?,do you like blue? do you like black?,,,,,,,,,,,,,,,,,,
Who are the most important people in the Navy?,Who are the highest Navy officials?,Who is important in the Navy?,Who are your superiors?,Who is the highest ranking in the Navy?,,,,,,,,,,,,,,,,,,,,,,
How much do you understand the overall goals of what you are doing?,Do you understand the goals of your work?,Are the goals of your work clear?,Does your work further an overall goal?,What is the overall goal of your work?,How does your work support the mission?,How does your work support the Navy?,,,,,,,,,,,,,,,,,,,,
How much of your private time is spent doing your job?,Does your work take away your personal life?,Does your work affect your private time?,Do you take work home with you in the Navy?,Is your free time dedicated to the Navy?,How much free time do you use for your Navy work?,Is being in the Navy a 24/7 job?,Are you always on call in the Navy?,How often did you get to go home?,,,,,,,,,,,,,,,,,,
"Off of active duty, do you still take work home with you?","In civilian life, do you take work home with you?",Does a computer scientist take work home with him?,Do you have to work at home now that you are out of the Navy?,What are your work hours like being in the Navy Reserve?,Do you work less now that you are in the Navy Reserve?,Is being in the Navy Reserve like a nine to five job?,,,,,,,,,,,,,,,,,,,,
How much turnover is there in the Navy?,Does the Navy have a high turnover rate?,Do people usually leave the Navy after their term has ended?,Do people often leave the Navy?,Do people like to stay in the Navy?,Do people extend their stay in the Navy?,How many people extend their Navy contracts?,,,,,,,,,,,,,,,,,,,,
How stable is employment in the Navy?,Is Navy employment stable?,Does the Navy offer job security?,Can you get fired from the Navy?,Will I have to worry about job security in the Navy?,Will I always have a job if I'm in the Navy?,Can I get fired from the Navy?,,,,,,,,,,,,,,,,,,,,
What opportunities do you have to alter your own work schedule?,Can you work your own hours in the Navy?,Can you choose when to work in the Navy?,Can you design your own work schedule in the Navy?,"Can you decide what to do, when to do in the Navy?",Do I get to choose how to do my job in the Navy?,Do I get to choose my own tasks?,,,,,,,,,,,,,,,,,,,,
How many Navy members have high stress symptoms?,Is a Navy career stressful?,Are Navy members stressed?,How stressful is the job?,Do you suffer from stress in the Navy?,How many Navy people suffer from stress?,,,,,,,,,,,,,,,,,,,,,
What happens if I don't like this line of work?,What if I don't like it?,What if I don't want to stay in the Navy after I get in?,What happens if I hate my Navy position?,Am I allowed to leave the Navy?,How do I get out?,How can I quit the Navy?,What if I don't want to stay in the Navy after I get in?,,,,,,,,,,,,,,,,,,,
What opportunities do you have to change career field?,Can you change positions in the Navy?,Will I have the choice to pivot careers?,Is my position set in stone in the Navy?,Can I switch positions in the Navy?,Can I switch careers?,,,,,,,,,,,,,,,,,,,,,
What experiences do you have with nukes?,Have you dropped a nuke?,What have you learned about nuclear bombs?,Do you know how nuclear bombs work?,What do you know about nuclear technology?,What did you learn about nukes?,,,,,,,,,,,,,,,,,,,,,
What is the role of nuclear technology in the Navy?,How is nuclear technology used in the Navy?,How is nuclear technology important to the Navy?,What makes nuclear technology important?,Why do you need nuclear technology in the Navy?,Did you work with nukes?,Have you seen a nuclear bomb?,,,,,,,,,,,,,,,,,,,,
What does your startup do?,What is your startup?,What work does your startup do?,Are you in a startup?,What are you building in your startup?,how did you get into your startup?,how did you get hired?,does your startup make games?,what kind of games does your startup make?,Tell me more about the game you created,tell me about the game you are making?,are you working on a game?,What kind of games do you make?,,,,,,,,,,,,,,
Do you speak any other languages?,What languages do you speak?,Do you know a lot of languages?,How many languages do you speak?,Do you speak languages other than English?,,,,,,,,,,,,,,,,,,,,,,
Describe a particular technical issue you've had to solve on the job.,What is an example of a technical solution you've found?,Have you solved technical problems?,What technical issues do you solve?,Can you give an example of a technical problem you solved?,Do you have to be a technical expert?,,,,,,,,,,,,,,,,,,,,,
How much of your time is spent with people versus with technology?,Do you spend all of your time with machines?,Do you stare at a screen all day?,Do you get to talk to people?,Is it boring working on only technology?,,,,,,,,,,,,,,,,,,,,,,
What's up?,What is up?,What is going on?,What are you up to?,What are you doing?,how's it hanging?,,,,,,,,,,,,,,,,,,,,,
How is the weather?,What is the weather like?,Is it really bad outside?,Is it nice there?,What's the weather?,Is it warm outside?,Is it raining?,What is the weather like right now?,,,,,,,,,,,,,,,,,,,
How are you?,How are you doing?,Are you well?,How's it going?,How was your day?,are you happy?,how do you do?,,,,,,,,,,,,,,,,,,,,
Where are you?,Where are you now?,Where do you currently live?,Which city are you in right now?,Are you in the US now?,,,,,,,,,,,,,,,,,,,,,,
What are your hobbies?,What do you do for fun?,What are you interested in?,What do you do in your spare time?,What do you like to do?,do you play video games?,do you have any hobbies?,,,,,,,,,,,,,,,,,,,,
How did you get into archery?,Why archery?,When did you learn archery?,What made you do archery?,,,,,,,,,,,,,,,,,,,,,,,
What is a chief?,What does Chief mean?,Who is a Chief?,Is Chief Petty Officer and Chief the same?,,,,,,,,,,,,,,,,,,,,,,,
"What does ""in port"" mean?","What is ""in port""?",What does it mean to be in port?,When are you in port?,What is a port call?,What does port call mean?,,,,,,,,,,,,,,,,,,,,,
What is a rate?,What does rate mean?,What does the Navy call specialities?,What's the way to tell what a sailor does?,,,,,,,,,,,,,,,,,,,,,,,
What experience do you have with nuclear bombs?,Do all people like you work on A-Bombs?,Do you often work on A-Bombs?,Are you afraid of atom bombs?,Did you work on nuclear bombs?,Have you seen nuclear bombs?,Does your position involve creating nuclear bombs?,Did you build nuclear bombs?,Did you build nukes?,,,,,,,,,,,,,,,,,,
How often have you been deployed?,When do you get deployed?,How many deployments do you go on?,Are you always deployed?,How many times do you go on deployment?,how long are deployments?,how long do deployments last?,how long are you on a ship for at a time?,have you been on a ship?,,,,,,,,,,,,,,,,,,
What was 9-11 like for you?,Did 9-11 make an impact on you?,How did 9-11 affect you?,How was 9-11 for you?,Were you serving during 9-11?,Did you fight in a war after 9-11?,Do you remember 9-11?,Where were you when 9-11 happened?,Did you know anyone affected by 9/11?,Do you remember 9-11 as it affected your career?,Was your career affected by 9-11?,Where were you on 911?,,,,,,,,,,,,,,,
Why do you love your job?,What makes you love your job?,Why do you like what you do?,Why do you enjoy what you do?,What is good about what you do?,What do you love about the Navy?,what do you like about the Navy?,do you like what you do?,,,,,,,,,,,,,,,,,,,
What gets romanticized about your career field that really isn't that great?,What is exaggerated about the Navy?,What do people think is good about your job that really sucks?,How is your job worse than what people think?,,,,,,,,,,,,,,,,,,,,,,,
What makes the Navy different than other branches of the military?,"How does the Navy differ from the Army, Air Force and Marines?",Are the other services like the Navy?,Do the other services compare with the Navy?,How is the Navy different from other services?,what's the difference between the navy and the army?,what is the difference between the navy and the army?,,,,,,,,,,,,,,,,,,,,
What are some of the common misconceptions about your field?,How are people fooled about what you do for a living?,Do people get the wrong idea about what you do?,What are the myths about what you do?,Do the movies and TV portray your job well?,Is you work as stressful as it is shown on TV?,can you swim?,Do you know how to swim?,,,,,,,,,,,,,,,,,,,
What are some of the common misconceptions about working in nuclear technologies?,Is working on nuclear power well understood by others?,What do people get wrong about nuclear technologies?,What do most people get wrong about the nuclear field?,What don't people know about the nuclear field?,What do people think of that is incorrect about the nuclear field?,,,,,,,,,,,,,,,,,,,,,
What do you do in the Navy that is different from what you expected?,Were you disappointed by your preconceived notions about the Navy?,Did your recruiter tell you something that was not true?,Did you know you'd be doing this kind of work?,How is your work different from what you expected?,Did the Navy job meet your expectations?,Did you ever go to Iran or Iraq?,What was unexpected about the military?,You never went to Iran or Iraq?,,,,,,,,,,,,,,,,,,
How did your work day change over your career?,Compare you day now to when you started?,Is you work day different now?,Did you like the way your work day used to be?,How has your work day changed over a period of time?,Has your work day changed over the years?,,,,,,,,,,,,,,,,,,,,,
How has your view of this line of work changed over time?,"Have you changed your opinion about this line of work and if so, how?",Has your opinion of your job altered?,What about your attitude change concerning your profession?,Has your view of this work changed and how?,,,,,,,,,,,,,,,,,,,,,,
"Where did you have to move in your career, and how did that change things each time?",Tell me about you being transferred?,Is change of station tough?,Do orders to a new command disrupt your life?,,,,,,,,,,,,,,,,,,,,,,,
What do you find unique about your career field?,Is your job different from others?,Do other jobs seem like yours?,Why is your job special?,,,,,,,,,,,,,,,,,,,,,,,
Are great practitioners in this field made or born?,Can I do this work?,Who can't do their job?,Can one be trained to do this well?,,,,,,,,,,,,,,,,,,,,,,,
