Questions,Sub-Topic
How happy are you in your job?,Personal Experience
How hard is it difficult to work while in graduate school?,Financial
How hard is it to find a teaching job in Psychology?,Employment
How hard is it to get into your field?,Discipline
How has your work been affected by the coronavirus pandemic?,Challenges
How important are extracurriculars in helping you get a job or go to graduate school?,Preparation
How is graduate school different from college?,General
How long did it take to get your PhD?,Education
How long did it take you to get to where you are now?,Trajectory
How long does it take to finish your degree?,Education
How long have you been in your job?,Professional Background
How long have you been teaching?,Teaching
How long is graduate school?,General
How many hours do you work in a typical day or week?,Job Specific
How many minors can you have?,Education
How much debt or loans do students incur for graduate school?,Financial
How much does it cost to attend graduate school?,Financial
How much money do professors make?,Job Specific
How old are you?,Personal
How satisfied are you with your job or career?,Job Specific
How should I choose my graduate program?,Advice
How should I choose my major?,Education
How should I choose the area of Psychology to study?,Education
How should I choose writers for my letters of recommendation?,Application
How should I look for jobs?,Career
"How welcoming, affirming, or supportive is this field of LGBTQ students?",Diversity
How's the weather?,Conversation
I need help understanding my TDA. Who can help me with that?,Advising
I've heard that you can get paid to go to graduate school. Can you talk about that?,Financial
"If I don't get into the graduate programs I want (or didn't get into any), should I reapply to the same program(s) the next cycle?",Application
"If you could change one thing about your job, what would it be?",Challenges
"If you could try out any job for a day, what would it be?",Personal
Is Psychology an easy or hard major?,Discipline
Should I get a Master's or a doctorate?,Advice
Should I go to graduate school?,Advice
Should I pursue a minor?,Education
Should I pursue a specialization?,Education
Should I switch majors?,Major
Should I take a gap year before going to graduate school?,Advice
Should I take advanced statistics?,Education
Should I take on loans or work during graduate school?,Financial
Tell me a funny story.,Personal
Tell me about your childhood.,Personal
Tell me about your family.,Personal
What advice do you have for job interviews?,Career
What advice do you have for job searching?,Career
What are some of the common misconceptions about your profession?,Job Specific
What are some struggles you are currently facing in your job?,Challenges
What are the benefits of studying psychology?,Discipline
What are the best graduate programs?,Advice
What are the different areas of Psychology?,Discipline
What are the different degress you can get in graduate school?,General
What are the different types of professors?,Employment
What are the different ways you can pay for your graduate education?,Financial
What are the disadvantages of studying psychology?,Discipline
What are you doing to support Black students?,Diversity
What are you doing to support minority students?,Diversity
What are your hobbies?,Personal
What are your job responsibilities?,Job Specific
"What challenges did you struggle with, and how did you overcome them?",Challenges
What classes should I take?,Education
What clubs or organizations should I join?,Experience
What culture(s) do you most identify with?,Personal
What did you do during your training that contributed the most to your success?,Trajectory
What did you want to be when you were growing up?,Personal
What do you do at conventions or conferences?,Job Specific
What do you do now that is different from what you thought you would be doing?,Personal Experience
What do you do?,Professional Background
What do you enjoy the most about your job?,Job Specific
What do you find the most interesting about your job?,Job Specific
What do you like the least about your job?,Job Specific
What do you look for in a research assistant?,Training
What do you plan to do when you retire?,Personal
What do you recommend that I avoid doing?,Experience
What do you specialize in?,Professional Background
What do you wish you had known while you were in school?,Challenges
What gives you a sense of purpose?,Reflection
What GPA do you need to get into graduate school?,Preparation
What inspired you to pursue this career?,Trajectory
What is a class you wish you took?,Education
What is a good GRE score?,Preparation
"What is a GRE, and how can I do well on it?",Preparation
What is a minor?,Education
What is a thesis?,Education
What is an average day like on the job?,Job Specific
What is graduate school?,General
What is happiness?,OffTopic
What is it like teaching at Fullerton when you are an alum who graduated from the same university?,Professional Background
What is it like to go to graduate school?,General
What is life?,OffTopic
What is normal or abnormal?,OffTopic
What is one thing you cannot live without?,Personal
What is the best area or branch of psychology to study?,Discipline
What is the best piece of advice you would give to someone pursuing this field?,Career
What is the best way to approach a professor?,Interpersonal
What is the biggest risk you've taken in your career?,Challenges
What is the most difficult part of your job?,Job Specific
What is the most helpful advice you have gotten?,Influence
What is the most rewarding part of your job?,Job Specific
What is the most rewarding thing about being a teacher?,Reflection
What is the salary like for your job?,Job Specific
What is the socioeconomic demographic of the psychology field?,Diversity
What is your biggest accomplishment?,Reflection
What is your educational background?,Education
What is your favorite color?,Personal
What is your favorite food?,Personal
What is your least favorite food?,Personal
What is your name?,Personal
What keeps you motivated?,Professional
What kind of jobs can I pursue with a psychology major?,Employment
What kind of preparation do I need to go to graduate school?,Preparation
What kind of professors would you recommend or not recommend?,Education
What kinds of experiments do you do?,Research
What lab(s) should I take?,Education
What made you want to teach?,Teaching
What mistakes have you made?,Challenges
What other majors did you consider?,Education
What person do you most admire and why?,Personal
What programs or resources are there for us to get extra training or preparation to go to PhD programs?,Preparation
What range of GPA should I aim for?,Education
What should I be asking during my advising session?,Advising
What should I do if I do not get into a graduate program that I want?,Advice
What should I do if I feel discriminated against by a professor?,Diversity
What should I do if I feel discriminated against by others?,Diversity
What should I do if my GPA is not the highest?,Advice
What should I look for in a graduate program?,Advice
What should you do when you don't get along with your mentor?,Interpersonal
What skills are most important to develop in this field?,Training
What sports do you play or follow?,Personal
What surprised you the most when you entered the field?,Experience
What type of internship should I pursue?,Training
What was it like to get your PhD?,Experience
What was the best class you have ever taken?,Education
What was the hardest class you have ever taken?,Education
What was the hardest experience in this field?,Challenges
What was the worst class you have ever taken?,Education
What was your college experience like?,Experience
What was your job search like after graduation?,Trajectory
What was your worst experience in this field?,Challenges
What were some difficulties you experienced while pursuing your PhD?,Challenges
What were some of your fears entering college and your career?,Challenges
What were you like as a student?,Experience
"What would you do differently, if you had a chance to do things over again?",Challenges
What year were you born?,Personal
What's it like to be a psychologist?,OffTopic
What's the difference between M.A. and M.S. degrees?,General
What's the difference between Ph.D. and Psy.D. degrees?,General
What's up?,Conversation
What's wrong with me?,OffTopic
What’s your favorite book of all time? Why?,Personal
What’s your favorite movie of all time? Why?,Personal
When should I pursue internships?,Training
When should I start looking for jobs?,Career
When will you retire?,Personal Experience
Where are you?,Personal
Where did you grow up?,Personal
Where do you find inspiration?,Reflection
Where do you see yourself in 5 years? 10 years?,Professional
Where should I apply for graduate school?,Advice
Where were you born?,Personal
Who gave you the best advice about your career?,Influence
Who has influenced you the most?,Influence
Who inspires you?,Personal
Who is your role model?,Influence
Who were your mentors in Psychology?,Influence
Why are there so few minority professors / professors of color?,Diversity
Why did you choose this career?,Professional Background
Why did you go to school at Fullerton?,Education
,Interpersonal
