Questions,Topics
Tell me about your family.,
What advice do you have for job interviews?,
What advice do you have for job searching?,
What are some of the common misconceptions about your profession?,
What are some struggles you are currently facing in your job?,
What are the benefits of studying psychology?,
What are the best graduate programs?,
What are the different areas of Psychology?,
What are the different degress you can get in graduate school?,
What are the different types of professors?,
What are the different ways you can pay for your graduate education?,
What are the disadvantages of studying psychology?,
What are you doing to support Black students?,
What are you doing to support minority students?,
What are your hobbies?,
What are your job responsibilities?,
"What challenges did you struggle with, and how did you overcome them?",
What classes should I take?,
What clubs or organizations should I join?,
What culture(s) do you most identify with?,
What did you do during your training that contributed the most to your success?,
What did you want to be when you were growing up?,
What do you do?,
What do you do at conventions or conferences?,
What do you do now that is different from what you thought you would be doing?,First Steps|JobSpecific
What do you enjoy the most about your job?,
What do you find the most interesting about your job?,
What do you like the least about your job?,
What do you look for in a research assistant?,
What do you plan to do when you retire?,
What do you recommend that I avoid doing?,
What do you specialize in?,
What do you wish you had known while you were in school?,
What gives you a sense of purpose?,
What GPA do you need to get into graduate school?,
What inspired you to pursue this career?,
What is a class you wish you took?,
What is a good GRE score?,
"What is a GRE, and how can I do well on it?",
What is a minor?,
What is a thesis?,
What is an average day like on the job?,
What is graduate school?,
What is happiness?,
What is it like teaching at Fullerton when you are an alum who graduated from the same university?,
What is it like to go to graduate school?,
What is life?,
What is normal or abnormal?,
What is one thing you cannot live without?,
What is the best area or branch of psychology to study?,
What is the best piece of advice you would give to someone pursuing this field?,
What is the best way to approach a professor?,
What is the biggest risk you've taken in your career?,
What is the most difficult part of your job?,
What is the most helpful advice you have gotten?,
What is the most rewarding part of your job?,
What is the most rewarding thing about being a teacher?,
What is the salary like for your job?,
What is the socioeconomic demographic of the psychology field?,
What is your biggest accomplishment?,
What is your educational background?,
What is your favorite color?,Miscellaneous
What is your favorite food?,Miscellaneous
What is your least favorite food?,Miscellaneous
What is your name?,Background
What keeps you motivated?,
What kind of jobs can I pursue with a psychology major?,
What kind of preparation do I need to go to graduate school?,
What kind of professors would you recommend or not recommend?,
What kinds of experiments do you do?,
What lab(s) should I take?,
What made you want to teach?,
What mistakes have you made?,
What other majors did you consider?,
What person do you most admire and why?,Miscellaneous|Motivation
What programs pr resources are there for us to get extra training or preparation to go to PhD programs?,
What range of GPA should I aim for?,
What's it like to be a psychologist?,
What's the difference between M.A. and M.S. degrees?,
What's the difference between Ph.D. and Psy.D. degrees?,
What's up?,Miscellaneous
What's wrong with me?,
What's your favorite book of all time? Why?,Miscellaneous
What's your favorite movie of all time? Why?,
What should I be asking during my advising session?,
What should I do if I do not get into a graduate program that I want?,
What should I do if I feel discriminated against by a professor?,
What should I do if I feel discriminated against by others?,
What should I do if my GPA is not the highest?,
What should I look for in a graduate program?,
What should you do when you don't get along with your mentor?,
What skills are most important to develop in this field?,
What sports do you play or follow?,
What surprised you the most when you entered the field?,
What type of internship should I pursue?,
What was it like to get your PhD?,
What was the best class you have ever taken?,
What was the hardest class you have ever taken?,
What was the hardest experience in this field?,
What was the worst class you have ever taken?,
What was your college experience like?,
What was your job search like after graduation?,
What was your worst experience in this field?,
What were some difficulties you experienced while pursuing your PhD?,
What were some of your fears entering college and your career?,
What were you like as a student?,
"What would you do differently, if you had a chance to do things over again?",
What year were you born?,Background
When should I pursue internships?,
When should I start looking for jobs?,
When will you retire?,
Where are you?,Miscellaneous
Where did you grow up?,Background
Where do you find inspiration?,
Where do you see yourself in 5 years? 10 years?,
Where should I apply for graduate school?,
Where were you born?,Background
Who gave you the best advice about your career?,Career Mentoring
Who has influenced you the most?,Career Mentoring
Who inspires you?,
Who is your role model?,
Who were your mentors in Psychology?,
Why are there so few minority professors / professors of color?,
Why did you choose this career?,
Why did you go to school at Fullerton?,
