Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
"Military, Navy",,juliannenordhagen,What is your current rank and duty position now?,My current rank is an ensign in the United States Navy and my current duty position is that I am a Student Naval Aviator so I'm learning to fly planes.,"Right now, I'm a Chief. In the pay grade scale, that's an E7. There are E1 through E9 pay grades for enlisted and it's on the seventh level of that.",What are you currently ranked?,What is your position in the Navy?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,How will you spend most of your time at work?,"So a normal work day for me will be making sure that I am checking the weather, checking everything that I need to know for my flight. making sure that my plane is up to date, making sure that maintenance is all clear and go and then we’ll take off, we’ll fly, we’ll land and then we'll debrief for about an hour and we'll go over everything every single step that we went over everything that I did and then I'll probably go home read a good book, pass out.",What will you be doing during work,What do you have to do for work,How will you be spending your time,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,What kind of decisions will you be making?,"So some decisions that I might be making with like while I'm out in the fleet are is it proper weather to fly , is my aircraft in the air crew are they all ready to fly because the most important thing is that you're not taking off unless you are one hundred percent sure that everything will run smoothly. ",What decisions will you have to make,What choices will you have to make,What are some decisions that you will have to make,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,What are the major benefits of doing this type of work?,"Being paid to fly is probably the coolest thing ever, I would highly recommend this as a job.",What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What are the negatives about being a Navy pilot?,So the negatives about being a navy job is probably it's a lot of studying and like you really have to love to fly to be able to put in all the hours to commit to the work ups and then the debriefs and making sure that everything is perfect. ,What's bad about being a pilot?,What is bad about your job?,What are the drawbacks of being a pilot?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,How much do Navy pilots travel in a year?,Navy Pilots travel a lot they're constantly flying from different states to maybe on and off ships and then back to their home ports and then maybe just doing quick take offs and landings just practicing all the time so it includes a ton of flying. ,Do you travel a lot?,Do pilots travel a lot?,,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,To what extent will you understand the overall goals of the work you are doing?,The main goal of the Navy is to protect and defend the United States and being a pilot I may not see like every single piece of action and being able to protect the United States and you know like every calling that they ask but being able to participate as a group of strong men and women defending our country is exactly what this job entails. ,Can you see the bigger picture,Do you understand the bigger picture,Will you feel important,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,How stable is the employment of your job?,"My job is pretty stable, the Navy could definitely use me at any time and any place. ",Tell me about your job security,How stable is being in the navy,Is your job safe?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific, Lifestyle",,juliannenordhagen,Do you know members of your job that have high stress syndromes or problems?,"Being a Navy pilot, it's a lot of effort and a lot of work but it's better than some of the other communities because you have to get rest so maybe on a surface ship you won't be sleeping as much but Navy pilots, they're mandated sleeping hours. ",Is a Navy career stressful?,Are Navy members stressed?,How stressful is the job?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What if someone finds out that they do not like being a pilot?,So let's say you go through the entire pipeline and you start flight school and you get there and everything's great and then you actually start flying and you're like you get vertigo and you get sick and you just realize this isn't for you you can ask to transfer and the navy might put you on a ship or thet may use you in intel so the possibility of moving if you don't like it is there.,What if I don't like pilot school?,What if I no longer want to be a pilot?,What happens if I don't want to be a pilot?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,How did you come to join JROTC and ROTC?,"My time in the ROTC program started actually when I was in high school and I joined the JROTC program and my time in the JROTC program started when I accidentally enrolled into it.  So I was choosing classes and it was my freshman year and I didn't know what classes I wanted to take but I am more of like a science person, like an engineer and so I saw this class and it said nautical science and I said, ah, like another science class like that would be cool so I signed up for it and my dean comes up to me later and she was like, “Congratulations Julianne you've just joined the JROTC program” and I was like, “I'm sorry I'm a cheerleader I don't really do those things,” but I ended up falling in love with the program in high school and got picked up for a full ride scholarship to USC through the NROTC program to go to the University of Southern California and that's how I ended up in the NROTC program. ",What made you join ROTC?,What made you join JROTC?,How did you join ROTC,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What is JROTC?,"The JROTC is a community high school club, that's kind of how I would describe it.  It's a place where students can go and they will do community service and they'll learn how to drill so it's like also disciplinary but then also you're like doing academics in your learning how to orientier through a forest you're learning how but how to read weather maps.  It really encompasses all of, like everything that you learn in the military, but in more ofa relaxed environment in a way to give back to the community.  In high school, in the JROTC program you'll definitely wear your uniform but probably just once.",What exactly is JROTC?,What is JROTC like?,Can you tell me about JROTC?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What is ROTC?,the NROTC program is a program that's been used to train and educate young men and women in not only school but also in the military service and then to commission them as military officers in the navy ,Tell me about ROTC,Can you tell me about ROTC?,What exactly is ROTC?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What does NROTC stand for?,NROTC stands for Naval Reserve officers training corps.,What does NROTC mean?,What do you mean by NROTC?,,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What does JROTC stand for?,JROTC stands for junior reserve officers training corps.,What do you mean by JROTC?,Does JROTC stand for anything?,,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What is the different between JROTC and ROTC?,"The difference between NJROTC and JROTC is that, 1. the JROTC program is meant for high school students and after you finish the program you don't commission as military officers, you don't have any sort of military obligation, it is purely just a community program.  In NROTC, the program is meant to train and educate military, I mean train and educate college students to then commission as military officers where you will have an obligation to serve.",Can you tell me the difference between ROTC and JROTC?,What is the difference between JROTC and ROTC?,Compare JROTC and ROTC,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What does a typical day in ROTC look like?,"A typical day in NROTC program at USC probably looks like waking up at Six AM to go and work out with all of your friends at ROTC and then going showering, changing into normal clothing, and heading to classes just like any other student. Sometimes we may have to go drill or may have to go to some leadership laboratories otherwise I am a normal student and I do normal things like go to club meetings, have other activities meet up with friends for lunch, may go play sports in the afternoon and go play some volleyball.  It's beautiful blend between being a normal college student and having the ROTC commitment. ",What is a typical day for ROTC?,What do you do if you are in ROTC?,How do you spend your time in ROTC?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,Is there a sense of community within ROTC?,The NROTC program definitely creates a sense of community so some of the friends that I've made in this program are going to be my friends not only just for college but also for life because I'm gonna be working out and sleep with them they're gonna be by my side traveling all over the world flying helicopters or driving ships or driving some rings it's gonna be incredible.,How do people in ROTC treat each other?,What's the environment like in ROTC?,Is there bonding in ROTC?,,,,,,,,,,,,,,,,,,,,,,,
"Education, Challenges",,juliannenordhagen,Were you worried about starting college?,"I think I was a little nervous when I moved all the way from Florida to California for college and I was really worried about who I was going to be friends with like am I even going to make friends, like how do you make friends but as soon as I got to ROTC it just created the sense of community and family and I immediately and had some of the best friends that I still have today.",What were some of your fears entering college and your career?,"One of the biggest fears that I had joining college was that I wasn't good enough. When I started going to Berkeley, I just barely started computer science. So, I was a noob. I was just a very new person with computer science and during the orientation, there's is this guy that's, you know, kind of, explaining what the campus is like, what life is going to be like, what you can expect from the liberal campus and I was sitting in the computer science group and to my left and right were two of my newest friends. To my left, there was a Java programmer, he'd been programming for eight years, he was an expert in this field, he'd, you know, made several programs and, like, he explained all of this to me and I'm like, ""Okay, we're going to be going to the same class, alright"" and to my right, there was somebody very very similar. He was, like, accepted to Stanford and he went to Berkeley because it's cheaper but, he had been programming since he was twelve, when he made his first computer, you know, like, blah blah blah and I was like, ""Okay, so this is the average people going to my university and we're going to be taking the, all right, I got some work for me to do."" So, that was what was on my plate when I first started going. For the military, I would say that something similar was going, I felt was going to happen. I joined the nuclear technology side of the Electrician's mate course and I had never liked engineering things at all, at all. I was the opposite. I liked driving my car but if you told me to change my oil, I would say, ""I don't think so. I'm going to take it in to Midas."" I don't like grease, I didn't like screw drivers. The biggest accomplishment I'd done, as far as, like, mechanical type things was, I had put shingles on a house and yeah, I was outside and yeah, you know, the air smelled fine but those mechanical type jobs, I just didn't feel at that time was for me. So, that's one of the reasons I actually joined the nuclear side of the Electrician's Mate. It's because, I actually wanted to challenge myself in that. I wanted to, kind of, see what that side was like, so. But when I joined, I'm pretty sure everybody there had a big head start over me that I had to overcome.",Did you have fears going into college or your career?,,,,,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,What is your favorite color?,My favorite color is yellow because I love sunflowers and have them in my eyes and I love the sunshine because I'm from Florida it's literally the sunshine state and I think yellow just means happiness.,do you have a favorite color?,do you have any color preferences?,"other than Navy blue, what colors do you like?",Are you high up in the Navy?,What is your position in the military?,,Are you a boss in the Navy?,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,What is your favorite food?,"My favorite food is tacos easily.  They're so good.  Add some cheese, lettuce, always have some beans on there.  Quality time.",what do you like to eat?,what is your ideal meal?,do you have a favorite dish ?,How will you be spending your time at work,"At work, how will you be spending your time",,"At work, what will you be doing",,,,,,,,,,,,,,,,,,,
"Military, Navy, Culture",,juliannenordhagen,Can I be in a relationship in the military?,"In the military you can definitely have relationships.  So far, I’ve had one but it hasn't done very well, but that's not because of the military thing.",Can you have a boyfriend in the military?,Can you have a girlfriend in the military?,Can you have a girlfriend in the Navy,Will you be making a lot of decisions?,What are some examples of decisions you will make?,,What are some examples of decisions you make?,,,,,,,,,,,,,,,,,,,
"Military, Navy, Culture",,juliannenordhagen,How do relationships last in the military?,"I have a lot of friends who are able to stay in active relationships even when they're deployed overseas.  So one of my friends for instance like a nice way that he gets to keep up with his girlfriend is that she sends him letters or like care packages that have like his favorite candy bars and food and like a nice note inside of it.  Sometimes she even flies out to where the ship docks, so like they just landed in Rota Spain and so she had a fun trip out to Spain to go see him.",How can relationships last in the military?,What do you have to do to keep a relationship in the military?,What can you do to keep a relationship in the Navy?,What benefits are there to joining the Navy?,Is this work any good?,,Is this a good profession?,What do you like about the Navy?,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,Where were you commissioned?,"So I was commissioned on the steps of PED at the University of Southern California and it was in December, because I was a December graduate not a normal May graduate and my family was there and my teachers are there, my friends were there and it was really special because they were able to come and pin my ensign on me. ",Where did you commission?,What place did you commission?,,Can you tell me anything negative about being a pilot?,Why shouldn't I be a pilot?,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, Money",,juliannenordhagen,How much money do you earn working for the Navy?,"One of the things that the Navy marine corps and really the US government does really well is that what you're paid is based on how long you've been in and what your rank is.  So I’m an 01 and you can find my salary online, just type in “01 navy normal pay” and you'll be able to see how much I make as well as what every single other rank makes.",What is your pay?,What is Navy pay?,What is your salary?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, Advice",,juliannenordhagen,Do you recommend I apply for the ROTC program?,"If you're thinking about applying for that an ROTC program I one hundred percent, highly, definitely yes, hundred percent suggest that you should absolutely apply for it because 1.  You don't know if you're gonna be picked up or not you might as well just apply.  2. If you are picked up for it, you have a full year free of tuition and that means that there is zero commitment to military service if you absolutely don't like it after your first year.",Should I join ROTC?,Why should I join ROTC?,Do you suggest that I join ROTC?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,When do you sign your service commitment?,"Your commitment in the military starts when you start your second year of college.  So the day I started my sophomore year I signed a paper that said, “Yes I am willing to take up the military to take on this monetary fine of my college for me to serve a minimum of five years.”",When are you contracted?,Do you sign for commitment?,,Will your job be safe?,Are pilots safe from unemployment?,,Is there a chance that you get unemployed?,What are the chances that you get unemployed?,,,,,,,,,,,,,,,,,,
"Military, Navy",,juliannenordhagen,What's the minimum commitment of service for the Navy?,The minimum requirement of service after you receive that NROTC scholarship is five years active duty.,What's the minimum number of years that I have to serve?,How long do I have to serve?,How many years of service do you owe?,Do you suffer from stress in the Navy?,How many Navy people suffer from stress?,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,What's the minimum commitment of service for aviation?,The service commitment for aviation is longer than other communities and service commitment because the navy really needs pilots and they’re gonna invest two years for you to do flight school and become a certified pilot so they expect you to serve longer so for the navy and its eight years after you wing  for aviation and flight school to get your wings is two years so that's a total of a ten year commitment.,How many years do you owe for aviation?,Do pilots have different required years of service?,Do pilots serve longer?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific, Challenges, Risk",,juliannenordhagen,Are you scared of the commitment of service for aviation?,Am I scared of this commitment?  Yeah kind of especially because right now I'm twenty two and the first time I could even think about getting out of the Navy is when I'll be thirty two but I know that like what I'll be doing is something that I absolutely love.  And most people don't like their first job right after college and what I get to do is I not only get to do what I love which is fine but I also get to serve our country.,Are you scared of serving?,Are you scared of the commitment?,Are you hesitant about serving?,How did you join JROTC?,What pushed you to join ROTC?,,What pushed you to join JROTC?,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific",,juliannenordhagen,How do I apply for the ROTC program?,"You can apply for the Navy ROTC program if you just Google “Navy ROTC” and you'll be able to click on the first link and there's a whole application process.   I, if I had to give some insight tips I'd probably say that you should really consider being an engineer because the military is highly interested in hiring engineers.   I also think that you should start it earlier rather than later because it's a rolling application so make sure you get on it right away.",How do I join ROTC?,Tell me about ways I can join ROTC?,Where do I sign up for ROTC?,Tell me about JROTC?,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, Recognition",,juliannenordhagen,What is your biggest takeaway from ROTC?,"One of the biggest takeaways I have from ROTC is discipline and commitment.  You have to really be committed to studying, not only for school, but like also being committed to you know working out and like being the best person that you can be and like short periods of times because you have to be able to schedule yourself well because you're going to be booked all the time especially in college.  So I wake up PT then class then I'm going to go study for an hour at the library before I have lunch with friends still making time for yourself and then you have more class and then you might have like evening meetings and then you want to make sure it like you're able to that might have some downtime like just for yourself so like maybe watch a TV show or maybe just relax and read a book.  So in order to have a lifestyle like this like you need to be committed to like taking care of yourself and making sure that you’re always on time and scheduling yourself properly.",Tell me about ROTC,What's a lesson you've learned from ROTC?,What have you learned from ROTC?,,,,,,,,,,,,,,,,,,,,,,,
"Education, Advice",,juliannenordhagen,How do I succeed in school?,"The number one tool for success in college is to have a personal relationship with your teacher and TAs.  Make sure that you go to their office hours and you're able to sit down and discuss with things that you don't understand, things that you like aren't tracking in class and like maybe you’ve falling behind in the subject and they're able to like sit down and work through it with you personally one on one.",How do I do well in school?,What are some tips on how to do well in school?,How can I do better in school?,,,,,,,,,,,,,,,,,,,,,,,
"Education, Advice",,juliannenordhagen,Do you reccommend studying abroad?,"One of the best advantages that I took advantage of while I was in college and in the ROTC program was studying abroad.   I studied abroad twice.  I did once in London for a summer program, so two months and then I did once a full semester in South Africa Cape Town and so that was six months over there. And while you go to school you're gonna learn a lot about yourself but once you start traveling, for me personally, I was really able to like find my strengths and weaknesses like find what I really like to what I didn't like and I like kind of found this new energy and like this new love for, for, life and for culture and for trying new things and so I highly highly recommend studying abroad.",Should I study abroad?,What are some reasons why I should study abroad?,What do I gain from studying abroad?,,,,,,,,,,,,,,,,,,,,,,,
"Education, Advice",,juliannenordhagen,How can I study abroad?,USC has so many different opportunities to study abroad you can do a May master where you only go at the end of the semester to a place that you've been studying all semester or you can do a full semester or if you do a summer semester.  There's also plenty of internship opportunities overseas so make sure to check out and talk to the overseas studies.,What should I do if I want to study abroad?,Who do I talk to about studying abroad?,What do I have to do to study abroad?,,,,,,,,,,,,,,,,,,,,,,,
Challenges,,juliannenordhagen,Have you ever felt discriminated in a male dominated field?,"Being a woman in a male dominated field not only in engineering but also in the military, well, you know it's been a bit of a struggle it's been more of a growth for me and for those that I've interacted with.  I think a lot of my friends are males and they've been able to lift me up to who I am today and if I'm ever in the situation where I feel like something's not right I say something and that's the most important thing you can do is absolutely say something.",Do you feel discriminated?,Have you ever felt discriminated?,Are people sexist?,,,,,,,,,,,,,,,,,,,,,,,
Challenges,,juliannenordhagen,How do you deal with your cowokers in a male dominated field?,"I think the best way to deal with males like the ones that you interact with every single day in the ones that you're always that you know like at work or at school like whatever it is especially in engineering and in the military.  Like you know like yeah I'm the minority like I'm one of the only females but like why should that make a difference, they're all gonna be my friends like male or female like if you're a great person and if you want to do fun things if you're creative and if you're smart and if you’re like driven like just like that's the person that I want to be surrounded with and I'm gonna be friends with that person no matter their gender and if there's anything that ever said, you know that's maybe that might be a little bit discriminatory towards me being the only female, I say something and I can say something because I'm friends with all of them and I know it's like as a friend that they will accept me.",How do you work in a male dominated field?,How do you cope with working in a male dominated field?,How do you work with being a female in a male dominated field?,Do you build relations in ROTC?,,,,,,,,,,,,,,,,,,,,,,
"Education, Advice",,juliannenordhagen,"If you had the chance to do school over, what would you do differently?",if I had the chance to do school over I would probably take more time to talk one on one with my teachers and spend time with my TAs just so that I could really make sure that I understood what the class was like what was happening in the class and make sure that my teacher knew like where I was at in the class and just make sure that we had better communication on all levels.,What would you change about your experience with school?,Would you change anything about school if you could?,,What were you afraid of before you went to college?,Were you worried about anything when you were entering college or your career?,,What concerns did you have prior to entering college and your career?,What were you fearful of before beginning college and your career?,,,,,,,,,,,,,,,,,,
Growth/learning,,juliannenordhagen,What have you done that you are most proud of?,I'm most proud of being able to pay for college totally on my own.  I guess not really on my own because it was an ROTC scholarship but I am most proud of being able to be completely financially independent of my parents.,What is your greatest accomplishment?,What are you most proud of?,Tell me about your proudest accomplishment?,,,,,,,,,,,,,,,,,,,,,,,
Background,,juliannenordhagen,What kind of people do not do well in your line of work?,"People that don't do well in my line of work are probably people who don't schedule them, like don't schedule their time correctly.  You have to be able to prioritize and make sure that everything is set to the schedule and stick to it.",What type of people fail in your field,What kind of people fail in your field,Which kind of people fail in your field,,,,,,,,,,,,,,,,,,,,,,,
"failure, Recognition",,juliannenordhagen,What was your biggest failure and how did you learn from it?,"My biggest failure was probably not applying for a position that I really wanted to have and what I learned from it was that I should always apply to everything no matter what, like doesn't mean it doesn't matter if I don't get it, like as long as I applied for it I know that I don't ever have to hold that over myself again.",What failures make you the most upset?,What defeat makes you the most distressed?,Tell me about your most upsetting shortcoming.,Can you have a boyfrined in the Navy?,Can you be married?,,Can you be married in the military,Can you be married in the Navy?,,,,,,,,,,,,,,,,,,
"Risk, Recognition",,juliannenordhagen,What kind of risks do you need to take in your field?,So the risks involved with being a naval aviator are honestly in life and death and you need to be able to think thoroughly and think about the big picture because everyone onboard your aircraft is depending on you to make like to make the best decision.,What are some risks you take?,Do you take risks?,How often do you take risks?,,,,,,,,,,,,,,,,,,,,,,,
"Education, Advice",,juliannenordhagen,What courses in college have you found to be the most useful so far?,I'm actually not quite sure I haven't gone that far just yet.,What are the most applicable courses?,What courses translate to Navy?,What are some useful courses?,,,,,,,,,,,,,,,,,,,,,,,
Advice,,juliannenordhagen,When is breaking the rules okay?,"People always say, “Never break the rules.”  You know people say a lot of things and you know while you should follow the rules and while they are important to follow and you know, that's why we have them here, I think in certain circumstances you might find a rule or to that is meant to be broken.",When is okay to break rules?,Is it okay to  break rules?,Is it ever ethical to break rules?,How much money do you make?,How much money do people make in the Navy?,,Will the Navy pay me enough?,,,,,,,,,,,,,,,,,,,
"Education, Advice, Challenges",,juliannenordhagen,What were some of the most diffucult courses you had to take in college?,Some of the hardest courses I took in college were probably my physics and my applied math courses and some of the other courses that just like took real life and like you how to apply hard science to them.,What was your hardest course?,What is the hardest course you took?,What class was the most difficult?,,,,,,,,,,,,,,,,,,,,,,,
"Military, Navy, JobSpecific, Lifestyle",,juliannenordhagen,How has your job affected your lifestyle,My job in the Navy has affected my lifestyle in the sense that I wake up at 5 AM every day now including weekends because now my circadian rhythms just starts really early.,How does Navy influence your lifestyle?,Does the military affect your lifestyle?,Does the military change your lifestyle?,,,,,,,,,,,,,,,,,,,,,,,
background,,juliannenordhagen,What was a pivitol moment in your life?,So a pivotal moment in my life is probably when I decided to take the ROTC scholarship and go against what my parents had asked me to do which is go to a totally different school.  I think I really grew from the experience because I was able to establish myself in a new place and totally on my own.,"A pivotal moment for me was the first time that I was accepted to UC Berkeley. Obviously it's a great school and anybody would be really proud to go there but until that time, I felt, even though I was in the nuclear navy and you're allowed to have a really good job at the end, I knew that that job, being a nuclear-trained operator in the civilian world or even as a navy person, that wasn't for me, so it's kind of, like, I had to start fresh, and I did. After the military, I decided to be a computer scientist and I wasn't the best computer scientist around but I did have the good work ethic and it was obvious that I was trying really hard but I didn't really have a strong sense of my own confidence until Berkeley said that they were accepting me. That's when I knew, ""Hey, you know what? There are people that have been trying their whole entire lives to try to get into this school. There are people with 4.0s, with perfect SAT scores that are trying to get into this school"" and for them to accept me, that's kind of, validation for me. I know going to university isn't validation, any type of university isn't validation but it's something that I was trying really hard to do and I was successful at it. So, I consider that maybe one of my first major successes. Being in the navy was one of them and getting the UC Berkeley acceptance was another one.",What moment changed your life?,What has been a life changing moment for you?,,,,,,,,,,,,,,,,,,,,,,,
"Education, Advice",,juliannenordhagen,What is important when choosing a college?,"The things that are important in choosing which college you want to go to, are the programs that each college offers.  While the school might be a great school overall it may not have exactly what you want to do or like may not have the field that you want to study so really like look into the programs and see what kind of opportunities they offer because they differ totally completely from school to school.",What factors into college decision making?,What things should I consider when choosing a college?,What should I consider when choosing a college?,How does aviation affect your service time?,,,,,,,,,,,,,,,,,,,,,,
"Opportunities, JobSpecific",,juliannenordhagen,How might your job change over the next 10 years?,"So my job in the navy will change and the next ten years in the sense that all start off as a student, I can learn how to fly and be learning like all all this night the small steps of the navy, and then as I progress I’ll start being able to fly off ships and like I’ll start be doing more operations for the Navy, and then as they hit my ten year mark I might be transitioning more into an administrative job where I’m making policy in deciding on, you know, where we’re gonna fly and what kind of missions we want to do.",Will your job change in the future?,Will your job be changed in the future?,Can your job change in the future?,Are you worried about serving?,Are you worried about the service you owe?,,,,,,,,,,,,,,,,,,,,,
Job Specific,,juliannenordhagen,What are you really passionate about in your career?,I think what I'm most passionate about is when I see something that's wrong I have to stand up for what's right and if I don't I think that's that's just what eats me alive.  I know that I have to say something.,What are you interested in?,What is your passion,What interests you?,Where can I go to sign up for ROTC?,,,,,,,,,,,,,,,,,,,,,,
"STEM, JobSpecific",,juliannenordhagen,How much do you use Math in your job?,In aviation you'll use mental math a lot so be prepared for that.  But the calculus part?  I don't know so much about that.,Do you use a lot of math?,How applicable is math?,Is math heavily involved in your job?,,,,,,,,,,,,,,,,,,,,,,,
JobSpecific,,juliannenordhagen,How can you change careers?,"In my field of work I'm super lucky because I know that as soon as I get out, I'll definitely be able to have a job with any sort of private airline or if I want to get out as well like there's so many veteran opportunities and you know like across every single company and industry could possibly imagine.",How do you switch careers?,Can I switch careers?,What if I don't like my job?,,,,,,,,,,,,,,,,,,,,,,,
