Situation,Mentor,Utterance/Prompt
_OFF_TOPIC_,leadership_anderson-clint_cpo,excuse me.
_PROMPT_,leadership_anderson-clint_cpo,How are you?
_PROMPT_,leadership_anderson-clint_cpo,Good morning.
_PROMPT_,leadership_anderson-clint_cpo,good afternoon.
_PROMPT_,leadership_anderson-clint_cpo,good evening.
_PROMPT_,leadership_anderson-clint_cpo,good night.
_REPEAT_,leadership_anderson-clint_cpo,I may have said this before.
_FEEDBACK_,leadership_anderson-clint_cpo,no.
_FEEDBACK_,leadership_anderson-clint_cpo,maybe.
_FEEDBACK_,leadership_anderson-clint_cpo,perhaps.
_FEEDBACK_,leadership_anderson-clint_cpo,of course.
_FEEDBACK_,leadership_anderson-clint_cpo,always.
_FEEDBACK_,leadership_anderson-clint_cpo,sometimes.
_FEEDBACK_,leadership_anderson-clint_cpo,never
_FEEDBACK_,leadership_anderson-clint_cpo,often.
_FEEDBACK_,leadership_anderson-clint_cpo,I do.
_FEEDBACK_,leadership_anderson-clint_cpo,I don't.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I have no idea.
_FEEDBACK_,leadership_anderson-clint_cpo,I don't think so.
_PROMPT_,leadership_anderson-clint_cpo,here is something you should really know.
_OFF_TOPIC_,leadership_anderson-clint_cpo,"That's a good question, but I want to make sure to tell you something."
_PROMPT_,leadership_anderson-clint_cpo,Hello.
_FEEDBACK_,leadership_anderson-clint_cpo,it is nice to meet you.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I don't really have an opinion on that.
_FEEDBACK_,leadership_anderson-clint_cpo,I hope so.
_FEEDBACK_,leadership_anderson-clint_cpo,I'm sorry.
_FEEDBACK_,leadership_anderson-clint_cpo,I'm sorry to hear that.
_PROMPT_,leadership_anderson-clint_cpo,I see you did not answer anything there.
_PROMPT_,leadership_anderson-clint_cpo,you've got to ask me something to get a response.
_FEEDBACK_,leadership_anderson-clint_cpo,Thank you.
_FEEDBACK_,leadership_anderson-clint_cpo,I understand that.
_FEEDBACK_,leadership_anderson-clint_cpo,I went through something similar.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I am not sure.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I can't hear you.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I don't understand.
_PROMPT_,leadership_anderson-clint_cpo,Can you repeat that?
_OFF_TOPIC_,leadership_anderson-clint_cpo,I don't have an answer for that.
_PROMPT_,leadership_anderson-clint_cpo,Can you ask me something else?
_OFF_TOPIC_,leadership_anderson-clint_cpo,it would help if you can keep the questions short and simple.
_OFF_TOPIC_,leadership_anderson-clint_cpo,Can you rephrase the question?
_FEEDBACK_,leadership_anderson-clint_cpo,I cannot predict the future.
_FEEDBACK_,leadership_anderson-clint_cpo,I do not want to speculate about the future.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I don't know what that is.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I don't know who that is.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I'm not going to talk about that.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I'm not here to talk about that.
_PROFANITY_,leadership_anderson-clint_cpo,Can you refrain from the use of profanity?
_PROFANITY_,leadership_anderson-clint_cpo,"you might have heard about swearing like a sailor, but it might hurt your career."
_PROMPT_,leadership_anderson-clint_cpo,anything else.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I don't have enough information to talk about that.
_OFF_TOPIC_,leadership_anderson-clint_cpo,I do not have an answer for that.
_OFF_TOPIC_,leadership_anderson-clint_cpo,"That's a great question. Unfortunately, I never recorded an answer for that."
_OFF_TOPIC_,leadership_anderson-clint_cpo,That's a great question. I wish I would have thought of that.
_OFF_TOPIC_,leadership_anderson-clint_cpo,"That's a great question. Unfortunately, I do not have an answer right now."
_OFF_TOPIC_,leadership_anderson-clint_cpo,"Unfortunately, I was never asked that question."
_OFF_TOPIC_,leadership_anderson-clint_cpo,you might have to ask me something else.
_PROMPT_,leadership_anderson-clint_cpo,What do you want to talk about?
_PROMPT_,leadership_anderson-clint_cpo,What would you like to ask me?
_PROMPT_,leadership_anderson-clint_cpo,What do you want to know?
_PROMPT_,leadership_anderson-clint_cpo,What do you want to know about me?
_PROMPT_,leadership_anderson-clint_cpo,What do you want to know about leadership?
_PROMPT_,leadership_anderson-clint_cpo,you could ask about tips for your first month as a leader.
_PROMPT_,leadership_anderson-clint_cpo,you could ask me about my go to leadership strategy.
_PROMPT_,leadership_anderson-clint_cpo,you could ask about getting your life set up after a big move.
_PROMPT_,leadership_anderson-clint_cpo,"you could ask me about serious problems like sexual harassment, suicide risk."
_PROMPT_,leadership_anderson-clint_cpo,you could ask me about my job in the Navy.
_PROMPT_,leadership_anderson-clint_cpo,you could ask me about my background.
_PROMPT_,leadership_anderson-clint_cpo,"go ahead, asked me who gave me the best advice about my career."
_REPEAT_,leadership_anderson-clint_cpo,I might have covered this already.
_PROMPT_,leadership_anderson-clint_cpo,this change is pretty quickly. So what I tell you today might not be true. Tomorrow I suggest that you talk to someone local who might be able to give you more information.
_PROMPT_,leadership_anderson-clint_cpo,"I did a lot of technical training in the Navy, so you can ask me about what skills I learned."
_PROMPT_,leadership_anderson-clint_cpo,I haven't always made perfect decisions. You can ask me about any of the failures I've had.
_INTRO_,leadership_anderson-clint_cpo,"Well, my name is M C. Clint Anderson. Ian stands for electrician's mate. I've been the Navy for about 20 years in the Navy Reserve right now. Um, for the first six years of my naval career, I've been on lots of different tours. Aircraft care, USS John C. Stennis, start off with a nuclear power school. So, um, the first tour that I had was working in the nuclear engine room in the propulsion plants, fixing electrical lights, um, working with other people, trying toe repair pumps, repair valves, um, moving the throttles on this ship toe provide propulsion. I had a lot experience with that. Um, there's a lot of clean that went on, but for the most part, it was satisfactory tour that I spent in South Carolina in New York. Um, um, the most recent place was Washington. And after that, that initial six year tour actually extended for two more years to have a total of eight years, two years of school, six years on the ship, and then I actually got out. I didn't want to get out of the Navy. Um, completely actually started joining the Naval Reserve. And I've been in the Navy Reserve. Um, for the last 10 years, for that whole 10 years, I've actually been in school, working on and off. But for the most part, I, um I got to see a lot more of the world through the Navy reserves than I did ever on the ship. They take me toe all the all the different states. Washington, Hawaii, New York again. Norfolk, Virginia, San Diego. Um, yeah. Every single year, actually. Do something with the Navy for about this summer. We go and we we go to a shipyard and we repair some things or they give us some kind of training. Um, outside of the navy, I've been in school, I've been in, um, I've been going to USC, and I got my masters there for computer science. Before that, I was an undergrad at UC Berkeley, and currently I'm at the Naval Postgraduate School in Monterey, California. So for the last 20 years, I've had a a wide range of experiences from, you know, touring overseas. Um, the first time I joined the Navy was right after, um, 9 11 happened, So I was really involved with wars, and I got to see a lot of things that most people would never see. So I'd say that the Navy has been been pretty good, and I'm looking forward to my next tour."
