Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
Background,,dandavis,Are you an officer?,"virtually everyone in the military is an officer of one kind or another. After you go through your first three pay grades E-1 through three the next pay grade is either noncommissioned officer in the ground forces or petty officer in the naval forces. Above that we have a warrant officers who are technical specialists who rate between a non commissioned officers and commissioned officers, and then you have commissioned officers. I am a commissioned officer now but served for eight years six in the marine corps and two in the navy as a non commissioned officer or petty officer",Do you have a high rank?,Are you a Captain?,Are you in charge on the ship?,Do you have a leadership role?,are you the boss in the military?,What is your position in the Navy?,Do you have an officer role?,,,,,,,,,,,,,,,,,,
Background,,dandavis,How did you get to your current rank/position?,"After being elevated from lance corporal to a corporal in the marine corps I was considered a non commissioned officer and my reporting seniors thought that I had excellent potential and wrote good fitness reports for me. When I got in the reserves I was cross service from them and E-6 staff sergeant the marine corps to E-6 cryptologic technician first class in the navy. After serving there for two years I took the chief's exam and I passed the chief's exam which meant I would be promoted to chief petty officer when that position became available. But a program came about called the direct commissioning program where experienced people like myself were offered a chance for a commission so I was a direct commission based on my previous service and activities and became commission at that time as an ensign O-1, and then after that was promoted regularly based again on reviews from my seniors",how did you become an officer?,how did you get to this rank?,how much work did you have to put in to get this rank?,is it hard to get a good rank?,what was your career path like?,Did you elevate in rank over time?,What did you do to go up in your career?,What does it take to reach to the position you are now?,,,,,,,,,,,,,,,,,
"Background, Combat",,dandavis,What was it like being in war?,My experience in Vietnam during the combat action there was very rewarding and other number of the men who served with me there with whom I still correspond regularly on the email circuit also said it was one of the best years in their life. It was the most involved and committed duty I've every done and I really have to say the year I spent in Vietnam was the best year of my life,What is war like?,Have you fought in a war?,What do you do in a war?,What was it like being in war?,Is being in a war scary?,Did you fight in the Iraq war?,Were you in Vietnam?,What did you do in Vietnam?,,,,,,,,,,,,,,,,,
"Background, Combat",,dandavis,What is the day to day life being in war?,"The thing that most civilians don't realize that even in a combat zone most of the military personnel are not assigned to weapons duty but have other kinds of duties as a cryptologist. My day was broken up into eight hours on watch using my linguistic capabilities to further the effort, then on off duty time I had time to take care of my gear, eat, sleep, and do maintenance on the trench line in defensive positions around our particular area. On occasion, quite regularly actually we would get hit by mortars and rockets at which point even if you were on watch you went to the trench line in the special crew took over your watch duties, while you may have that trench line in case the attack was more than just rockets. When I was at CON TN and we had people in the wire, that is trying to get into our compound, one time but other than that it was pretty much just doing your technical job and taking care review defensive position and taking care of yourself",how is life during war?,is it different during war?,what do you do during a war?,is it different during a war?,What do civilians not realize?,Do most people fight?,Do most people handle weapons?,How many cryptologists are there?,,,,,,,,,,,,,,,,,
"Background, Combat",Navy,dandavis,"""I want to join the Navy but I'm afraid of going into battle...""","Every person has to learn to face fears they have, and it's much easier to face those fears if you're with a group of people that you love and who care for you. I was worried like everyone else was, but when the first rounds came in the very first night we got hit, I found that I was in the company of people who were supportive, and I had had the advice of the senior sergeant who said ""When you first get hit when there's first incoming, just remember what your job is and focus on I've got to do my job"" and I followed that advice and it got me through every event we went through, and I can never tell you that I was abnormally frightened. I was alarmed sometimes but I was never in panic or afraid and and you just gotta get through it because the people around you were getting through it with you and I think that the group means everything in a case like this.",Is the military scary?,Do I have to fight in battles if I join the military?,Do I have to risk my life to serve my country?,Will I have to go into battle if I join?,Have you been in battle?,I don't want to die.,I am scared of going into battle.,the military scares me.,I’m scared of fighting.,Are you fearful of the military?,Are people supportive in the military?,,,,,,,,,,,,,,
Background,,dandavis,"Though you were a cryptologist, did you work on other things besides that?","The marine corps has a tradition that every member of the chorus is an infantryman of heart so I carried an M 60 machine gun head to my duty station, and when we got called to the trench lines if we thought we might get attacked my job was to get my machine gun and my ammunition and be ready to repel the attack. That never happened while I was there, but I had other duties, such as manning the outside perimeter where a sergeant of the guard from time to time, or building up our defenses by digging trenches and new bunkers and the like. But basically my time in Vietnam was spent doing my cryptologic duties",Is your position the only thing you do?,What other things do you do besides what you do with cryptology?,"What are duties that everyone in the Navy has to do, regardless of position?",Is cryptology the only thing you worked on?,Was everything you did in the Navy about technology?,Did you do different things in the Navy?,Do you have to build trenches?,What kind of work did you do outside cryptology?,,,,,,,,,,,,,,,,,
Training,,dandavis,What is the training progression and what is it like?,"One of the things that I think the military is very good as training I had excellent training when I was in the service- both basic infantry training and the technical training I had. I spent almost a year in Washington DC learning Vietnamese. I spent six months in Pensacola learning how to do Morse code so I could do that as well and then I had good training before I went to Vietnam which they called staging training, where they get you prepared to to fight if that's required of you. Training beyond that, had I stayed in, would have been excellent as well but when I got in the reserves I got good training every time I went on my two week duty or my weekend duty",What is the training process?,What is the required training?,How is training?,Is training long?,Is training difficult?,Do they teach you a lot in the Navy?,Do you need to practice a lot in the Navy?,Did you not feel prepared?,how much do you train?,,,,,,,,,,,,,,,,
Background,Navy,dandavis,Why should I join the Navy?,"I don't know whether you should join the navy I'm not here to try to talk you into joining the navy but I can tell you there's some really good things about doing the navy. And one of those is to travel, the other is getting to know different people, finding out things about yourself you might not find out if you are challenged by something like duty in the navy. And more than anything else the camaraderie of being with a group of men devoted to doing one task whether it's driving a ship or being in a submarine or doing an intelligence action like I'd spent my time doing.",What are the major benefits of doing this kind of work?,What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,What benefits are there to joining the Navy?,Is this work any good?,Is this a good profession?,What do you like about the Navy?,Tell me something you like about the navy.,why do you like your job?,why should I join the Navy?,what is good about going into the Navy?,what are the benefits of being in the navy?,i want to know about the navy,,,,,,,,,,,
Background,Navy,dandavis,Why shouldn't I join the Navy?,"If you're considering joining the navy I think you need to think very carefully about it. Remember it's not something you can decide to do today and quit doing it tomorrow, it does involve you signing up for a period of time but I've known people who joined the navy for a million different reasons and a lot of them found out that the navy did not satisfy the need they thought it was going to satisfy, but it did bring about some change in them that was a good positive change that they were anticipating. But I think the main thing is is when you go sign on the dotted line with the recruiter knowing that you've signed on the dotted line to serve that many years and they're not gonna wanna let you go.",What are the major negatives of doing this kind of work?,What are the cons of serving in the Navy?,Are there negatives to the Navy?,What bad things are there in the Navy?,What can happen in the Navy that is a bad thing?,What is the worst thing about doing your job in the Navy?,tell me what you don't like about the Navy.,Is there anything you don't like about your job?,What do you like least about the Navy?,What did you sacrifice for the Navy?,so you didn't like the Navy?,What did you sacrifice for the military?,,,,,,,,,,,,,
Jargon,,dandavis,What is the difference between an officer and an enlisted person?,"every military organization needs to have a control structure. And we got from historical bases, a class of people considered commissioned officers who seemed Ringling news here you dition intelligence and education that would allow them to be in charge of enlisted people those winds are blowing these days when I was in Vietnam we were very proud of the fact that our intelligence field required higher test scores than the officer candidate school required so those are blurring and so frequently a lot of your technical direction comes from senior NCOs and not from officers but officers are required because their commission by the US government and that commission allows them to do things like administering oaths or citing certain pieces of paper they sign incidently would you become a commissioned officer you swear to a different oaths in the enlisted people so there is a difference between them but not much should be made of that if you're considering a military career",What makes an officer different?,How are officers and enlisted persons different?,Is being an officer easier or harder than being an enlisted person?,What is enlisted?,What is an officer?,How does the E ranking system work?,what does an officer do?,What are the duties of your position in the Navy?,,,,,,,,,,,,,,,,,
Jargon,,dandavis,What does NCO stand for?,An NCO or petty officer in the navy is a non commissioned officer and that means there are people who have certain responsibilities in leadership but people who have not gotten a commission from the president of the United States. So they are the kind the middle managers of the military organization. Typically the word flows down from the admirals the generals chief of staff through the senior commissioned officers to junior commissioned officers who who then pass the word on to the chiefs and senior sergeants who then pass the word on to the enlisted personnel,tell me more about NCO,what does NCO mean,what is the NCO?,who are NCOs?,who are petty officers?,Are there middle managers?,who are above enlisted personnel?,Can you explain an NCO?,,,,,,,,,,,,,,,,,
Background,Navy,dandavis,Is the Navy a good place to have a career?,"I think the military these days is in excellent place for acareer. You get better training, better travel, better stability and a chance to test your own medals. One thing that is true about the service is it will show you that you have strengths that you did not know you had before you went in",What are the major benefits of doing this kind of work?,What are the positives of the Navy?,is the navy a good career option?,compared to other careers is navy a good career option?,Should I join the Navy?,Is having a career in the Navy a good idea?,What kind of career is being in the military?,Do you think that working for the Navy is a right choice?,,,,,,,,,,,,,,,,,
JobSpecific,,dandavis,Describe the work you do on a typical day.,"A typical day for a cryptologist is to spend eight hours of that day on what they call watch, which means your duty station would be to go into your office or your facility or your bunker and you would have some duties of analyzing data that you had received in producing reports. You would do that for eight hours without break, if you needed to have food the food would be brought to you on station and then at the end of that eight hours you would have typically sixteen hours off. But in most combat or other kinds of emergency situations you would work up to twelve hours a day doing your technical job. When your state side, your duty would probably be like four to six hours today with a lot of off time a lot of slack time to make up for the extra time we had to put in when you were in a combat situation or deployed overseas",What is a regular day like?,What is a typical day like in the Navy?,What do you do on a normal day?,What are you daily responsibilities?,Is the work the same every day?,Is every day the same?,tell me about your job in the navy.,what was your job like in the Navy?,What do cryptologists do?,,,,,,,,,,,,,,,,
"Background, Lifestyle",,dandavis,What are you doing now that you aren't active duty Navy?,"Right now I'm semi-retired from doing academic research in high performance computing and I still consult and do some part time work with the University of Southern California on projects looking in using computers to help the D. O. D. the Department of Defense, train and counsel people who were in the military or looking at going into the military",What are you doing now?,What are you doing now that you are out of the Navy?,What is life like out of the Navy?,How has your life changed out of the Navy?,What do you do after the Navy?,How is it being retired?,Are you retired?,,,,,,,,,,,,,,,,,,
Money,Navy,dandavis,How much money do you earn working for the Navy?,"The navy pays a lot better than the civilian population thinks about. The best way to find out what people are in the navy is you can go to computer online and look up the navy pay scales. But navy pay is comparable to civilian pay in almost every one of their levels of of competence, which means when you first joined up a you're getting a decent living wage and by the time you retire you're making as much as your civilian counterparts are. So like a navy captain is is making you know order a hundred thousand dollars a year.",How much do you earn working for the Navy?,What is your pay?,What is Navy pay?,What is your salary?,How much money do you make?,How much money do people make in the Navy?,Will the Navy pay me enough?,Will I get rich in the Navy?,,,,,,,,,,,,,,,,,
Money,Navy,dandavis,What was your salary progression throughout your Navy service?,"Because I enlisted in the marine corps fifty years ago now it's been, the pay scales back then were much lower. So you had it basically enough just to take care of a clothing maybe save up enough to go home for Christmas on a plane or something. But all everything else too provided by the marine corps, that is they gave you food every day they give you a place to live you give your clothes to wear, so you didn't need much money. Then you know you got more and more senior you got better pay. You certainly did not make his mouth when you enlisted to support a family but that's changed now. People who list today can support a family very early on in their careers. They used to say in the marine corps of if the marine corps wanted you to have a spouse they would have issued you want in your seabag. And they didn't do that. But now the progression up to the senior ranks of the either enlisted or the commission officer ranks, very good pay all the way up in good allowances for housing and the like.",what's the pay like?,how much have you earned?,can I see what people get paid in the Navy?,what do sailors get paid?,how much does the military pay?,do you make a lot of money?,what is the average salary?,do officers get paid more than regular people?,Do people get paid more now?,How much salary did you get back then?,,,,,,,,,,,,,,,
JobSpecific,,dandavis,How many hours do you work in a typical day?,"On a typical day the hours you work in the military vary depending on the kind of duty you're serving. If you're serving overseas, especially in the combat zone, obviously in your in active combat you may be serving twenty four hours a day. But even in a combat zone doing technical work you're probably going to be working almost half of every day seven days a week. But then when you get back state side you're given kind of easy duty, a lot of slack time, and you might only work part time during the day. And then there's a lot of leave that you can take so even in Vietnam, we were given an opportunity to take what they call 'basket leave' that is done charge leave of of the week every couple of months. You could take some time off and there were times when they would stand out to you where it would just have time. So it varies all over the place and that's of one of the benefits of one of the problems with the military is it isn't steady, sometimes it is working all day and sometimes it it's take it easy.",What are your hours like?,What are your work hours?,How much do you work while in the Navy?,How many hours do you work?,What does an average day in the navy look like?,How long do you work?,What’s your work time like?,how long do you have to yourself?,,,,,,,,,,,,,,,,,
JobSpecific,,dandavis,What types of problems do you deal with on a daily basis?,"During the stateside duty, the problems you dealt with largely were the boredom and the tedium of training and the like. And keeping your team together and keeping morale up. In a combat or deployed situation problems were just existing in doing your job which was vital in compelling, and everything else kind of shrank beyond the necessity of doing the best job you could because you knew everything you did would make a difference as to whether someone lived or died",What are problems you solve?,How do you solve problems at work?,What are the issues you have to resolve being in the Navy?,What problems do you see regularly?,Do you run into problems?,Is the military every boring?,What are the different kind of challenges you face in your line of work?,What are the different hurdles you face on a day to day basis?,,,,,,,,,,,,,,,,,
"Lifestyle, Culture",Navy,dandavis,What kind of issues are there with alcohol in the Navy?,the reading of history indicates that alcohol has been an issue with military people since time immemorial and it is still a problem today to some degree but it is the eve important part of the military experience in my own take on of the history of of the military and it is surprising to me that even though the people I knew in the military drank proficiency amounts of liquor and beer and wine when they got all the military went back to family life of very few of them had any problems with alcohol so the word alcoholics per se but they resist used to drinking a lot in the military so I think is there no more problems with drink in the military than there are civilian life,Is alcohol an issue?,Can you drink in the Navy?,Are there alcoholics in the Navy?,Do Navy sailors drink a lot?,What happens when sailors get too drunk?,Is alcoholism bad?,Can I drink a lot?,Can you have booze in the military?,,,,,,,,,,,,,,,,,
"Lifestyle, Colleagues",Navy,dandavis,How much did your friends impact where you ended up in your career?,"I think my relationship with my friends in the military was the most critical factor in my life ever, and it had the biggest impact on how well I was able to do in the military, and is continue to have an impact after I've got off active duty and retired. Every week I will hear an email from one of my military buddies guys I was in Vietnam with or served in the navy reserve with, we're still in contact with each other, those friendships seem to last forever",Did your friends impact your career?,How do you choose friends in the Navy?,What were your friends like in the Navy?,How did your Navy friends affect your experience?,,,,,,,,,,,,,,,,,,,,,
Travel,Navy,dandavis,Do you get to travel a lot during active duty?,"From the time I enlisted in the marine corps in 1967 until I retired in 2003 from the navy reserve, I would say I flew someplace in the nation or overseas twice to three times every year. So there's quite a bit of travel involved in it. I like travel so that was a good thing, but there are other jobs it didn't travel quite as much as I did, and some jobs of course where you're flying all the time",How much travel did you do during active duty?,How much do you travel while serving?,Does the Navy allow you to travel?,Do you get to see other countries if you join the Navy?,How often do you get to travel in the Navy?,Did you get tired of traveling?,Do you want more travelling or less?,Do active duty people travel more than reserves?,Do Navy personnel complain about travelling?,Can you get out of travelling?,,,,,,,,,,,,,,,
"Travel, Jargon",Navy,dandavis,What countries did you visit on Port Calls?,"Because I was in the Cryptologic service I did not do a port call per se, because most cryptologists don't spend a lot of time at sea. So I would tell you that it over my career I spent time in San Diego, camp Pendleton, Washington DC, Pensacola, Florida, several tours at fort Meade. Overseas I have been places like Hong Kong, Taiwan, Vietnam, Thailand, London in the UK, Naples, Italy, I stopped once in France. So quite a few visits to varying places. Another classic port call because it wasn't because my ship was stopping there but because I was traveling. I also spent time in Japan Australia, Okinawa Hawaii been been all over had good times every place",What countries did you visit?,Where did the Navy take you?,Where did you go on your ship?,What countries have you been to?,What ports have you been to?,What ports have you seen?,why did you go to Australia?,,,,,,,,,,,,,,,,,,
"Lifestyle, Military, Culture",Navy,dandavis,What types of uniforms do you wear?,"As an enlisted man in the marine corps, I spent about half my time in the work uniform which was called utilities which were the green rough cloth uniforms that were worn in combat areas, or combat fatigues which we wore in Vietnam. But then about half the time I was in dress uniform like when I was in language school in Washington DC we wore dress uniforms all the time, which was the green coat during the winter months, or the khakis during summer months. When I got in the navy I start out wearing the bell bottom enlisted uniform but almost immediate with god in the officer ranks where I wore dress blues in the winter or summer whites in the summer, with full dress whites which were the choker whites uniforms, during that time. But almost always the dress uniform, although I had work uniforms the navy for when I went to the range to qualify and was a range officer, for instance for marksmanship instruction",What are the uniforms like?,How are the Navy uniforms?,How would you describe the uniforms of the military?,What uniforms do you have to wear?,Do you have to wear the same uniform every day?,Are the uniforms comfortable?,Do you wear a lot of different uniforms everyday?,,,,,,,,,,,,,,,,,,
Lifestyle,Navy,dandavis,Did you like wearing the same uniform?,"One of the things they really convince you is true in the marine corps and I don't think I've ever met a marine who didn't believe it, was wearing the uniform as a matter of great pride. So the marines put that in me and it's been in me ever since and I've really enjoyed wearing the uniform. But I did have one commanding officer who like to wear the uniform so much that would we'd fly with some place in the reserve for the weekend, when we came back from that trip, he would always make sure we waited till the last minute, so we didn't have changed it a time to change into our civilian clothes before we got on the plane so we always fly home in our summer whites, which your white shoulder boards with the ribbons and everything because he loved to fly wearing uniform. We always got good comments from the people on the plane",Do you like your uniform?,How was it wearing a uniform?,Does the uniform get old?,Do you have to wear the same uniform daily?,Are you bored of wearing the same uniform everyday?,Do you like wearing your uniform every day?,do you like the uniforms?,do you like blue? do you like black?,,,,,,,,,,,,,,,,,
"JobSpecific, STEM","Navy, Positive",dandavis,What are the major benefits of doing this kind of work?,I think a major benefit that I always felt in the service was the sense that you're doing something that was vital and worth while and you're doing it with a group of people who were very close to you. You weren't just alone you work with the people around you who made this whole group dedicated to one thing and you knew that was a vital thing it wasn't just killing time,What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,What benefits are there to joining the Navy?,Is this work any good?,Is this a good profession?,What do you like about the Navy?,Tell me something you like about the navy.,why do you like your job?,why should I join the Navy?,what is good about going into the Navy?,what are the benefits of being in the navy?,i want to know about the navy,what's your job in the navy like?,,,,,,,,,,,
"STEM, JobSpecific","Navy, Negative",dandavis,What are the major negatives of doing this kind of work?,"Cryptology both in the civilian realm and in the military realm is filled with pressure. There is pressure to get the intelligence quickly, correctly, and to forward it on. There's the knowledge that you may have insights which is so vital to the nation that any failure on your part could have drastic consequences. As is so often true in life, that's also one of the pluses to doing this kind of work is knowing you're doing something worthwhile. But knowing that you have to do it right or someone will literally die can be a pressure that can get to you over a period time, and I've seen people he rocked emotionally because they've rendered such pressure so often for so long a time",What are the cons of serving in the Navy?,Are there negatives to the Navy?,What bad things are there in the Navy?,What can happen in the Navy that is a bad thing?,Is there anything you don't like about your job?,What do you like least about the Navy?,so you didn't like the Navy?,,,,,,,,,,,,,,,,,,
JobSpecific,Negative,dandavis,What is one thing you would change about your career?,"People sometimes ask me considering the time you spend in the military what would you have done differently or what should you have done instead of what you did do, and I'm reminded of the story of General Alexander and Anthony Eden who went to Winston Churchill's funeral, and they were talking about their wartime experiences in World War Two, on the steps of Saint Paul's after the service. And one of them said to the other, and I can't remember which way it went, 'don't you wish we had it all to do over again' and the other would responded 'no we might not do half so well the next time,' and that's the way I feel about my military career. My military career has been such a joy to be and has gone so well that had I all the do it over again I'd say now just let me do it just the way it worked out. I enjoyed it just the way it worked out, I wouldn't change a damn thing","If you could change one thing about your job, what would it be?",is there anything you would like to change about your career?,What’s wrong about your career?,"If you had to do your job over again, what would you do?",What would you do differently?,"If given a chance, what would you change about your career?",,,,,,,,,,,,,,,,,,,
Future,Navy,dandavis,What do most people do after leaving active duty?,"What people do after the get off active duty depends on the experiences they had when they were on active duty. Some people, at least temporarily, are so bitter about it that they don't want anything to do with the service and want to get as far away from it as they can, and what they try to do is find a complete new way of life. People who enjoyed it or stayed with it all the whole time that they finally retired from it, frequently go into duty that has something that's related back to their military service. In my case I wound up doing military simulation work for all the universities I worked with",What happens when you get out of the Navy?,How do people transition out of the Navy?,What happens when you leave the Navy?,Is it hard to get a job after leaving the military?,What is the future for Navy Vets?,Do Navy vets do well in civilian life?,Is going back to civilian life hard?,,,,,,,,,,,,,,,,,,
Decisions,Navy,dandavis,Was joining the Navy worth it?,"The happiest day of my life, when I look back on it, was the day I enlisted in the service. In this case in the marine corps and then later got over into the navy and I think of all the good things that have happened to ,me almost all of it flowed from my time in the service. And that goes all away from my checkered academic record before I was in the service to my stellar academic record after I got back, all the way through to the fun I've had through the years.",was all of this worth it?,is the navy worth joining?,do you like working for the navy?,tell me the happiest moment of your life,what is the happiest day of your life,best day of your life?,How did you enlist in the service?,How was joining the navy?,,,,,,,,,,,,,,,,,
"Decisions, Military",Navy,dandavis,"If you could do it all over, would you choose this career again?","I think one of the most important things in your life is making a choice about where you want to go and then pursuing that. But I've seen so many people pursue the wrong goal in their life and wind up in something they were a very good at. In my case when I joined the marine corps had no idea that I wanted to go in cryptology, but looking back on it, the marine corps knew better than I did about which way I was going. And now that I know what I know about myself I just hit the stand in awe of the fact that they somehow knew that about me better than I did and so I think there are times when you have to listen to what other people are telling you about, 'you know you'd really fit very well in that area not here you've picked out for yourself'.",if you were starting over would you make the same choices about your career?,do you regret choosing this career path?,do you any regrets about choosing this profession?,did you miss out on anything by joining the Navy?,what do you give up for the Navy?,what negative consequences have come from your work?,do you regret anything from going to the navy?,,,,,,,,,,,,,,,,,,
"Fit, Culture, Military",Navy,dandavis,What are the main things that new military members must learn and adjust to?,"New members of the military first have to get used to the fact that they are no longer the center of the universe, and that what they owe is is a debt of allegiance to their immediate buddies in their unit and that their buddies will take care of them but they have to take care of their buddies, and that's a different mindset. I think people who've gone through team athletics have that mindset and can pick it up very rapidly, but a lot of people who are new to the military don't get that you have to learn that you're not as important as everybody else is together you have to learn that kind of cohesiveness and camaraderie that keeps going and part of that is the group needs to be responsive to leadership, and once you've learned that cohesive group and responsive to leadership then your life is golden in the military.",What are the main things that new employees must learn and adjust to?,What do you have to adjust to when joining?,Is it difficult to adjust to the Navy lifestyle?,How do you adjust to a Navy career?,Is adjustment to the Navy way easy or hard?,What did you have to get used to in the Navy?,Are new skills required to survive in a STEM field in the Navy,Was adjusting to the Navy tough?,Was the first year hard?,,,,,,,,,,,,,,,,
