Situation,Mentor,Utterance/Prompt
"If you have trouble listening well, what strategies can help you listen well?",lcdr-barnhl,"if you have a hard time listening Two people, whether their peers or subordinates or even superiors. Hopefully, that's not the case. Um, you know, if you have the luxury of it, one thing you could potentially do you have someone come with you or be with you to listen to these things? Uh, so let's say if a subordinate has a problem, they want to come to you to talk about it. Uh, you might want to bring in your chief for senior chief or whoever works for in that capacity toe. Listen as well. And then maybe you can give the subordinate good answer to begin with. But at least you have someone else who is listening that can give you a different perspective on, Really, Perhaps maybe to understand what they're saying Or, you know, they could put a different framework or something like that. Said it could be one strategy that could help you"
_PROMPT_,lcdr-barnhl,Hello.
_FEEDBACK_,lcdr-barnhl,it's nice to meet you.
_OFF_TOPIC_,lcdr-barnhl,I don't really have an opinion on that.
_FEEDBACK_,lcdr-barnhl,I hope so.
_FEEDBACK_,lcdr-barnhl,I'm sorry.
_FEEDBACK_,lcdr-barnhl,I'm sorry to hear that.
_PROMPT_,lcdr-barnhl,I noticed that you didn't ask anything there.
_PROMPT_,lcdr-barnhl,You got to ask me something in order to get a response.
_FEEDBACK_,lcdr-barnhl,Thank you.
_FEEDBACK_,lcdr-barnhl,I understand that.
_FEEDBACK_,lcdr-barnhl,I went through something similar.
_OFF_TOPIC_,lcdr-barnhl,I am not sure.
_OFF_TOPIC_,lcdr-barnhl,I can't quite hear you.
_OFF_TOPIC_,lcdr-barnhl,I don't understand.
_PROMPT_,lcdr-barnhl,Can you repeat that?
_OFF_TOPIC_,lcdr-barnhl,I don't have an answer for that.
_PROMPT_,lcdr-barnhl,Can you ask me something else?
_OFF_TOPIC_,lcdr-barnhl,it would help if you could keep the questions short and simple.
_OFF_TOPIC_,lcdr-barnhl,Can you rephrase the question?
_FEEDBACK_,lcdr-barnhl,I cannot predict the future.
_FEEDBACK_,lcdr-barnhl,I don't want to speculate about the future.
_OFF_TOPIC_,lcdr-barnhl,I don't know what that is.
_OFF_TOPIC_,lcdr-barnhl,I don't know who that is.
_OFF_TOPIC_,lcdr-barnhl,I'm not gonna talk about that.
_OFF_TOPIC_,lcdr-barnhl,I'm not here to talk about that.
_PROFANITY_,lcdr-barnhl,Can you please refrain from the use of profanity that this was very
_PROFANITY_,lcdr-barnhl,"you might have heard about swearing like a sailor, but I can actually hurt your career."
_PROMPT_,lcdr-barnhl,anything else.
_OFF_TOPIC_,lcdr-barnhl,I don't have enough information to talk about that.
_OFF_TOPIC_,lcdr-barnhl,I do not have an answer for that.
_OFF_TOPIC_,lcdr-barnhl,"That's a great question. Unfortunately, I never recorded an answer for that."
_OFF_TOPIC_,lcdr-barnhl,That's a great question. I wish I'd thought of that.
_OFF_TOPIC_,lcdr-barnhl,"That's a great question, but unfortunately I don't have an answer right now."
_OFF_TOPIC_,lcdr-barnhl,"Unfortunately, I was never asked that question."
_OFF_TOPIC_,lcdr-barnhl,you might have to ask me something else.
_PROMPT_,lcdr-barnhl,What do you want to talk about?
_PROMPT_,lcdr-barnhl,What would you like to ask me?
_PROMPT_,lcdr-barnhl,What do you want to know?
_PROMPT_,lcdr-barnhl,What do you want to know about me?
_PROMPT_,lcdr-barnhl,What do you want to know about leadership?
_PROMPT_,lcdr-barnhl,he could ask for tips about your first month is a leader.
_PROMPT_,lcdr-barnhl,you could ask me about my preferred leadership strategy.
_PROMPT_,lcdr-barnhl,you could ask me about getting your life set up for a big move.
_PROMPT_,lcdr-barnhl,you could ask me about serious problems like sexual harassment or suicide.
_PROMPT_,lcdr-barnhl,you could ask me about my job in the Navy.
_PROMPT_,lcdr-barnhl,you could ask me about my background.
_PROMPT_,lcdr-barnhl,Go ahead. Ask me about who gave me the best advice about my career.
_REPEAT_,lcdr-barnhl,I might have covered this already.
_PROMPT_,lcdr-barnhl,this changes quickly. So what I tell you today might not be true tomorrow.
_PROMPT_,lcdr-barnhl,I would recommend talking to someone local who might know more.
_PROMPT_,lcdr-barnhl,"I did a lot of technical training in the Navy, so you can ask me about what skills I learned."
_PROMPT_,lcdr-barnhl,you can ask me about any failures I've had.
