Situation,Mentor,Utterance/Prompt
_FEEDBACK_,hammen-eric-cdr,often.
_FEEDBACK_,hammen-eric-cdr,I dio.
_FEEDBACK_,hammen-eric-cdr,I don't.
_OFF_TOPIC_,hammen-eric-cdr,I have no idea.
_FEEDBACK_,hammen-eric-cdr,I don't think so.
_PROMPT_,hammen-eric-cdr,here is something that you should really know.
_OFF_TOPIC_,hammen-eric-cdr,"That's a good question, but I want to make sure to tell you something."
_PROMPT_,hammen-eric-cdr,Hello.
_FEEDBACK_,hammen-eric-cdr,it's nice to meet you.
_OFF_TOPIC_,hammen-eric-cdr,I don't really have an opinion on that.
_FEEDBACK_,hammen-eric-cdr,I hope so.
_FEEDBACK_,hammen-eric-cdr,I'm sorry.
_FEEDBACK_,hammen-eric-cdr,I'm sorry to hear that.
_PROMPT_,hammen-eric-cdr,I see you didn't ask anything there.
_PROMPT_,hammen-eric-cdr,You gotta ask me something to get a response.
_FEEDBACK_,hammen-eric-cdr,Thank you.
_FEEDBACK_,hammen-eric-cdr,I understand that.
_FEEDBACK_,hammen-eric-cdr,I went through something similar.
_OFF_TOPIC_,hammen-eric-cdr,I'm not sure.
_OFF_TOPIC_,hammen-eric-cdr,I can't hear you.
_OFF_TOPIC_,hammen-eric-cdr,I don't understand.
_PROMPT_,hammen-eric-cdr,Can you repeat that?
_OFF_TOPIC_,hammen-eric-cdr,I don't have an answer to that.
_PROMPT_,hammen-eric-cdr,Can you ask me something else?
_OFF_TOPIC_,hammen-eric-cdr,it would help if you keep the questions short and simple.
_OFF_TOPIC_,hammen-eric-cdr,Can you rephrase that question?
_FEEDBACK_,hammen-eric-cdr,I can't predict the future.
_FEEDBACK_,hammen-eric-cdr,I don't want to try to predict the future.
_OFF_TOPIC_,hammen-eric-cdr,I don't know that is.
_OFF_TOPIC_,hammen-eric-cdr,I don't know who that is.
_OFF_TOPIC_,hammen-eric-cdr,I'm not gonna talk about that.
_OFF_TOPIC_,hammen-eric-cdr,I'm not here to talk about that.
_PROFANITY_,hammen-eric-cdr,would you talk to your mother like that?
_PROFANITY_,hammen-eric-cdr,you may have heard swearing like a sailor could hurt your career.
_PROMPT_,hammen-eric-cdr,anything else.
_OFF_TOPIC_,hammen-eric-cdr,I don't have enough information to talk about that.
_OFF_TOPIC_,hammen-eric-cdr,I do not have an answer for that.
_OFF_TOPIC_,hammen-eric-cdr,"That is a great question. Unfortunately, I never recorded an answer to that."
_OFF_TOPIC_,hammen-eric-cdr,That is a great question. I wish I thought of that.
_OFF_TOPIC_,hammen-eric-cdr,"That is a great question. Unfortunately, I don't have an answer right now."
_OFF_TOPIC_,hammen-eric-cdr,"Unfortunately, I was never asked that question."
_OFF_TOPIC_,hammen-eric-cdr,you might have to ask me something else.
_PROMPT_,hammen-eric-cdr,What do you want to talk about?
_PROMPT_,hammen-eric-cdr,What would you like to ask me?
_PROMPT_,hammen-eric-cdr,What do you want to know?
_PROMPT_,hammen-eric-cdr,What do you want to know about me?
_PROMPT_,hammen-eric-cdr,What do you want to know about leadership?
_PROMPT_,hammen-eric-cdr,you could ask for tips with your first month as a leader.
_PROMPT_,hammen-eric-cdr,you can ask me about my go to leadership strategy.
_PROMPT_,hammen-eric-cdr,you can ask me about getting your life set up after a big move.
_PROMPT_,hammen-eric-cdr,"you can ask me seriously, problems like sexual assault or suicide risks."
_PROMPT_,hammen-eric-cdr,you can ask me about my job in the Navy.
_PROMPT_,hammen-eric-cdr,you can ask me about my background.
_PROMPT_,hammen-eric-cdr,"Go ahead, ask me who gave me the best advice about my career."
_PROMPT_,hammen-eric-cdr,this changes quickly. So what I tell you today might not be true tomorrow.
_PROMPT_,hammen-eric-cdr,I would recommend talking to someone local who might know more.
_PROMPT_,hammen-eric-cdr,"I've done a lot of professional training in the Navy, so you can ask me what skills I've learned."
_PROMPT_,hammen-eric-cdr,"I haven't always made perfect decisions, and you can ask me about any of the failures that I've had."
_PROMPT_,hammen-eric-cdr,"was my first tour of Afghanistan. There was a group of Marines who were the reservists from the middle of America. They were assigned as generated mechanics and different jobs, and and they got placed in a unit that was responsible for collecting. Uh, they're dead comrades their body parts and then do inventories and place them on a plane back to Dover to their family members. Ah, very difficult thing that they were not expecting to do. They did not have the training for but to understand that they were part of something much bigger, something that was going to be, uh, fruitful for the whole unit fruitful for the families."
