Tags,Helpers,Question,Answer,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
"Background, Travel",,"Besides LA, what other places in California have you lived in?","Besides Los Angeles, I've lived all up and down the coast of California. So, I grew up in Los Angeles that's where I graduated from high school at and then after I did my 8 year tour in the Navy, I went to college in the San Francisco area. My college was Berkeley which is right across the bay. During my Navy stint, they sent me to San Diego. So I've had maybe two or three years in all of those cities. Those are the major cities of California.",Where have you lived in California?,Where else in California have you been?,Did you ever live in San Diego?,Did you ever live in San Francisco?,Do you live on the West Coast?,,,,,
"Background, Combat",Navy,What was it like being in war? What did you do?,"During wartime, the tempo is a lot higher than it normally is. So, I fought in the Iraq war and then in the Afghanistan war and during those times we were in the middle of the ocean and days were pretty long from 6 AM to sometimes midnight very very often. We did so much training. It was a very trying time but is also rewarding because your patience is tested, your drive and your motivation is tested and eventually you fight the war and you do a lot of good things. So, it actually works out.",What is war like?,Have you fought in a war?,What do you do in a war?,What was it like being in war?,Is being in a war scary?,Did you fight in the Iraq war?,Were you in Vietnam?,,,
"Combat, Risk",Navy,I want to join the Navy but I'm afraid of going into battle...,"So, joining the military is a dangerous career. If you want to join the Navy but you're scared of going into battle, then there are obviously jobs for you but you have to inherently realize that being in the military is by definition a dangerous career. So, I was on a ship for the most of the time but they could have sent me anywhere. So, you have to be willing to accept that fact. However, even on the ship, there are dangers. For instance, you could be telling the ships where to go but they say that the top of the aircraft carrier is one of the most dangerous places that you can be, it's one of the most dangerous jobs. Additionally, once you're back home, you're with your family, you have a normal job but they could say, ""Hey, you know what? We need more people out there in the field."" So, they could just call you and you could be with the army people, with the marines people, fighting wars. But for the most part, the air force and the navy, they tend to have supporting roles to the army and the marines.",Is the military scary?,Do I have to fight in battles if I join the military?,Do I have to risk my life to serve my country?,Will I have to go into battle if I join?,Have you been in battle?,,,,,
"JobSpecific, STEM",Navy,"Though you were an Electrician's Mate, did you work on other things besides electronics?","So, my job as an EMC, Electrician's Mate is to fix pumps, to do preventive maintenance, to work on voltage regulators, to have lots of training as well. But the Navy also provides you with releases from your job. If you do the same job the whole entire time, you might get kind of frustrated, so I actually worked in the supply department which is where, for instance, there is the veins in the ship and there's like painting that needs to be done, there's lots of cleaning that has to be done. Some people work in the tech pubs library, which means that there's books for everybody on the ship that has to do their job. So you can work there for a while. So, basically for about six months to a year, you work in your main job and then they kind of give you a break even though you're on the same ship and then you have that cycle. So, you're always doing something different.",Is your position the only thing you do?,What other things do you do besides what you do with technology?,"What are duties that everyone in the Navy has to do, regardless of position?",Are electronics the only thing you worked on?,Was everything you did in the Navy about technology?,Did you do different things in the Navy?,,,,
Training,Navy,What is the training progression and what is it like?,"So, with the Navy, they always give you training. That's something that's going to be ingrained in your heart by the end of your Navy tour. So, the ways that they train you is that they have one of the people in your unit go up and provide something from a book that you probably learn in A school, that you probably learn on the job. So, for instance, the diagram of the reactor and we're supposed to know, for instance, all the valves that are there, we're supposed to know what to do in case of a casualty. For instance, if there's a fire in one of the pumps, we have to say, ""Well, you're supposed to turn off valve A, B and C"", and then call it in and then we'll tell the watch officer and then ask somebody to help and then go back and fight the fire. What happens if there is like, a radiation spill? Are you supposed to, you know, do these things? So, for instance, every time that you have a casualty, which means that there is a problem in the ship, be it a fire, a flood, scram of the reactor, which means it breaks down, then you have to know what each of those steps are. And after being in the Navy for what, a year let's say, if you don't train about it, then you're going to forget it. So, they allow a little bit of forget and then they train on it so you remember it. Then, you have that cycle of training over and over and over.",What is the training process?,What is the required training?,How is training?,Is training long?,Is training difficult?,Do they teach you a lot in the Navy?,Do you need to practice a lot in the Navy?,,,
Jargon,Navy,What does EMC stand for?,"EMC stands for Electrician's Mate Chief. Really, that's Chief Electrician's Mate but they put the C on the end.",What is an EMC?,What does the abbreviation EMC mean?,What does EMC mean?,What's EMC?,,,,,,
Background,Navy,Are you an officer?,"I'm not an Officer. I'm a Chief, which is an E7 for the pay grade. The military is broken up into two portions, enlisted people who actually do the work and officers who basically manage. Now, the enlisted people, after a certain pay grade, E6 or E7, you start to supervise those enlisted people. Officers, from day one, they're automatically in charge of the whole unit.",Do you have a high rank?,Are you a Captain?,Are you in charge on the ship?,Do you have a leadership role?,,,,,,
"Education, JobSpecific",Navy,"You have a college degree, so why aren't you an officer?","I have a college degree and that allows me to apply to be an officer but not everybody who has that degree wants to go that route. So, to be an officer, you have to want to manage people, do lots of paperwork sometimes, to be in charge of the success or the failure of an entire unit and that carries a lot of responsibility. I'm an enlisted person and I do supervise the people that are underneath me. However, an officer's main goal is to become more and more important down the line. So, for instance, if you're a captain or even a commander, you could have 300-400 people underneath you and that's the main goal of most officers. For an enlisted person, you're more technically based. So, even though you have a small unit, that drive to want to lead people is slightly different.",Why aren't you an officer?,Shouldn't you be an officer?,Do you want to be an officer?,Do you get to be an officer if you're in the military a long time?,,,,,,
Jargon,Navy,What is the difference between an officer and an enlisted person?,"So, the difference between an officer and enlisted member, they kind of meld together once you get higher in superiority but the real difference is when you start. An E1 or an E2 seaman or airman, basically their only goal, their only in purpose in life is to do a technical job whereas an officer an insign (insignia), his day one is actually managing a group of people. Obviously, they're both training but the goal of what they're supposed to do is slightly different. As you get higher, as you get to become E5, 6 or 7 for enlisted or you become a lieutenant, that's an O3 for an officer, then you start going into management and supervising people. So, at least on the ship, you would see that the E7s, the Chiefs and O3s, the lieutenants are working side by side, pretty much doing the same thing but in the lower ranks, then enlisted is technical, officers are management.",What makes an officer different?,How are officers and enlisted persons different?,Is being an officer easier or harder than being an enlisted person?,What is enlisted?,What is an officer?,,,,,
JobSpecific,Navy,How do you spend most of your time on deployment?,"So, deployment life can be pretty hard sometimes. Most of the time you're working. I'd say about 75% of most days you're either going to work or coming from work or you know, sitting down preparing to go for work in a few hours. But, there is time to relax. So, many people, they join bands, they watch DVDs from the recreation center that we have there, they sit around and play cards, they kind of just sit and if it's later on at night, then you sleep, although like during the work day, you're not supposed to sleep at all. So, I remember my days would be, I would wake up at about 6:50, I would be in group, in formation at 7. It's only ten minutes I know, but you learn to be very very quick and then you're working until four o'clock. And from that point on, you could stand watch which would be another six hours after that, at least for me. Some people don't stand watch, some people do, its about half-half. Or you could be doing these trainings that come later on that night, they're called General Quarters. We were fighting a war, so they pretend like a bomb hit us or there's some kind of chemical spill or things that make you, that keep you on your feet to make sure that you have all the skills that you need to fight the casualty. So, short answer, you're working pretty much all day.",What do you do on deployment?,What is your role on deployment?,How is work different on deployment?,What are your responsibilities on deployment?,,,,,,
"Lifestyle, JobSpecific",Navy,What did you do during your off time while deployed?,"During your off time, while you're deployed, you have a couple things that you can do. So, I remember, personally I would always go play poker and steal people's money even though you're not supposed to but we'd find some ways to, you know, have fun with each other. We would trade, like coke bottles or trade cigarettes. Some people smoked, I didn't, but I'd still, you know, like be in the middle of trading things for cards. I also watched a lot of DVDs. So, we had an MWR, a morale recreation and welfare program where you have a choice of maybe 200 or 300 DVDs. You just tell them that's the one that you want and then you can watch it on, if you have your own personal DVD player or a laptop. I'd also just go out there on the fantail and just watch the ships go by, you know, ships go by and jets go by and maybe for going along the coast, just look at the beautiful country that we're going beside.",What do you do in your free time while deployed?,What do you do for fun while deployed?,What do you do when you aren't working while deployed?,How is life when deployed?,,,,,,
"Lifestyle, JobSpecific",Navy,How do you spend most of your time off deployment?,"So, when you're not deployed, life is actually pretty good. So, the military comes in waves. Our hard time is when we go on deployment. That's when you give it your all, that's when you're working the hardest but when you come back then they kind of go easy on you. So, well actually, I was living in San Diego. This is an example from when I was down there and our days were pretty early so that we fight the rush hour traffic. I think they began at six and then noon, that's when we normally have our lunch but they just send us home. So, days are cut short at six hours and so you just like, actually it's five hours because the traffic is the thing that cuts most of the morning. So, days are from seven to noon and then you split and go home and go see your family. So, you have a lot more time sometimes when you get off deployment.",What is work like off deployment?,What is your role off of deployment?,What are your duties off deployment?,How is work different off deployment?,,,,,,
JobSpecific,Navy,Describe the work you do on a typical day (on/off deployment),"The work that I tend to do on a typical day actually depends on whether I'm deployed or not deployed. So, on deployment, then you pretty much are working the whole day and it's broken up into chunks. The first part of the day is just getting together, talking about how the rest of the day is going to be, do work orders. We write about the things that we should be doing for, maybe the next week or the next couple of hours or something like that. So the next chunk is we actually go and perform the work. So that's about another three or four hours. The next chunk is we get back and we start doing training, so we make sure that we're ready for casualties that happen, if there's a fire, if there's a flood. Then that's about the time that you get off work and you have a couple of hours just to kind of relax and hang out but later on at night, then you do this thing called General Quarters which means that you come back and the whole ship pretends like there is a big casualty happened to the entire ship. So your days can go into the night. When you are not deployed and you're stationed, you know, stateside, then your days are a lot easier. You have one part of, you know, training what we want to do later on. You have another part of training where you just open up a book and review some electronics or nuclear power things and then you have a small part where you are just doing preventive maintenance, which means that you're working on a pump, make sure that's fine, opening up regulators, making sure you know, nothing's inside and putting new equipment on the ship.",What is a regular day like?,What is a typical day like in the Navy?,What do you do on a normal day?,What are you daily responsibilities?,,,,,,
"Background, Lifestyle",,What are you doing now that you aren't active duty Navy?,"Now that I'm not in the active duty Navy, I joined the US Navy Reserves and I've been there for about the last eight years. So, that job isn't extremely difficult. They say that it's two days per month, two weeks per year and I've actually worked a lot more than that but it's a minimal time in the military. So, I've had a lot of time to do whatever I wanted to. I've split it between working at jobs. For instance, my job is, I'm a Japanese teacher in Japan but also work for the University of Southern California Institute for Creative Technologies and I find little pieces of jobs here and there. So, I'm a part of a start-up. A computer science start-up working with virtual reality. I also go to school. So, I'm a full-time master's student when I'm back in America and I am studying game development.",What are you doing now?,What are you doing now that you are out of the Navy?,What is life like out of the Navy?,How has your life changed out of the Navy?,,,,,,
Money,Navy,How much do you earn working for the Navy?,"So, your paycheck is one of the biggest things that people really love about working for the military. Right now, I'm a Chief, so I make about $4500 per month. Well, I don't make it, I am in the US Navy Reserve but usually on active duty, Chiefs make $4500 per month and they also have this thing called BAH, Basic Allowance for Housing which almost doubles your paycheck. So, you get about like $2500 per month and if you add that up it's about $75000 per year.",What is your pay?,What is Navy pay?,What is your salary?,How much money do you make?,How much money do people make in the Navy?,Will the Navy pay me enough?,,,,
JobSpecific,Navy,How many hours do you work in a typical day?,"The amount of hours that you work in a typical day actually depend on whether you're deployed or not. So, if you're deployed fighting the war, then I'd say 12 hours would probably be the average. On some days you get away with working only eight, that's including Saturdays. Many days, in fact every four days, you're working for a day and a half. So, you stand your eight hours of normal work and then you have your General Quarters, which is actually training at night time for two or three or four hours and then you could have another watch from midnight until six the next day and you could possibly have your normal work day tacked on the end of that. So, you know, some days, if you're really in it, you're working, you know, a day and a half to two. Sundays were my easiest days where I'd only work for six hours and that's like a great day for me. When you are not deployed, then days are a lot easier. You probably get to work around seven and then you leave around noon so that means your days are only five hours or six hours.",What are your hours like?,What are your work hours?,How much do you work while in the Navy?,How many hours do you work?,,,,,,
"JobSpecific, STEM",Navy,What types of problems do you deal with on a daily basis?,"Problems show up every now and then. When you're on active duty, so it kind of depends on whether you're deployed or not. If you're deployed, that means things happen, you know, with any mechanical equipment. So, pumps could break in the middle of the night and then you get waken up and, you know, you have to go fix it. Sometimes you have people that come in drunk, on the weekends and when we were in port, so you'd have to make sure that, like, to get to their bed safely and that they get disciplined later on. Things like that happen on deployment.  When you are not deployed, then you still hear the drunk people coming in, you know, but because you're not, the ship isn't being used over and over and over every single day in and out, problems with the equipment doesn't happen as much. So, you just do preventive maintenance, which means that even though this pump looks fine, you're just going to open it up and check to make sure that the oil is there, and you know, that is at the right temperature and shut it. So, a lot easier time.",What are problems you solve?,How do you solve problems at work?,What are the issues you have to resolve being in the Navy?,What problems do you see regularly?,Do you run into problems?,,,,,
"Lifestyle, Culture",Navy,What kind of issues are there with alcohol in the Navy?,"So, you probably heard of the term 'drunken sailors' and that's for a good reason. Once you are deployed and you pull into a port, which is like a little city of a new country, then the people are very very angsty and they want to get out and, you know, party a little bit. So, you probably been on the ship, in the middle of the ocean, you haven't seen another, you know, non-military soul for about a month. So, they really want to go out there and, you know, like, you know, do the opposite of what they were doing which is being disciplined. Now, they want to, you know, go be young kids. The military's basically eighteen to twenty four year olds. So, kind of like the college life. So, they go out there and do college level things. They find the first bar, they sit with each other and just, you know, find, you know, the cheapest alcohol and you could find them there the whole entire day and then they come back to the ship. The military knows this, so they have people walking around, checking into the bars, making sure they aren't caught causing fights, which they are, make sure that people aren't, you know, drinking too much which they are, make sure that people can make it home safely, you know, which means that they come back by taxi, which means that they come in handcuffs sometimes but it's all in good fun. By the time we leave, out of five thousand people or sometimes eight thousand people that are there, you only have maybe one or two that actually get into real big trouble. I personally didn't, I personally wasn't involved in that drunk culture so much. I actually liked to go out to the town and explore, you know, the museums and the scenery and things like that but I had a few drinks myself too.",Is alcohol an issue?,Can you drink in the Navy?,Are there alcoholics in the Navy?,Do Navy sailors drink a lot?,What happens when sailors get too drunk?,,,,,
Lifestyle,Navy,What is the Navy doing to combat heavy alcohol use?,"As soon as you join the military, probably your very first week, even though you're at bootcamp, so you have no access to alcohol but from that time,you know, all the way up until you end your career, you're going to be hearing about alcohol, alcohol responsibility, the fact that you can't drink too much, the fact that, you know, alcohol ruins people's lives and it's a very big thing for our culture. So, the Navy takes some strides to kind of change this. We get lots of training. We get, for instance, when we go to ports, when we're on deployment, we have this thing called the 'buddy system', which means that you're not allowed to go out yourself. You actually have to tap one of your friends and the both of you go out to explore this new city. They want to make sure that you don't go out there and get yourself into trouble by drinking too much alcohol and then having a stranger, you know, guide you back to the ship. There are people who would rob you, there are people who will, you know, do harm to you. So, the 'buddy system' is probably the Navy's biggest way to combat alcohol misuse.",How is alcohol regulated?,How does the Navy deal with alcohol abuse?,What does the Navy do about alcohol?,Lifestyle,,,,,,
"Lifestyle, Colleagues",Navy,How much did your friends impact where you ended up in your career?,"So, from the day that you join the Navy, you're going to find that you have similar past to people that are in your same field. So, you know, there are people who are very motivated and want to become the Master Chief of the Navy. You have some people who, maybe were criminals before and joined the military to prevent going to jail, to be given a shot for normal life before they winded up in a bad place. So, you have the whole gamut of people and different career paths, different intelligence, different motivations for being in the military. So, in general, people of a similar quality tend to hang out with the same people. So, people who like to drink all the time, you'll find that they're, you know, have this one house that they always go to, over and over. People that are very very motivated study all the time. You'll find that they probably share a house with people who want to become an officer. So, you also find that that's very apparent in the ports that you go to. So, for me, I didn't want to. I wasn't a drinker at that time. Not, not very much. So I'd go into port and I try to tap people like, ""Hey, do you want to go see some place fun?"", ""Do you want to go climb a mountain or visit a castle? So, once we do that, then there's very limited chance of, that we'd find problems. Some of the people who, like, are really, you know, really eager to have fun, the very first place that they go to is the bar and people similar to them are there and you can get lots of people like that, then probably, you can find yourself into trouble. So, as long as you're aware of that, as long as you're not somebody that drinks all the time and you know, wants to get me in trouble who's just trying to, like, visit ports and one time, even though I don't want to drink all the time, I have to realize that if I visit people that are drinking all the time, then I might get in trouble as well. Like, as long as you can kind of, you're aware of your specific sphere, then you'll have a much better time in the military.",Did your friends impact your career?,How do you choose friends in the Navy?,What were your friends like in the Navy?,How did your Navy friends affect your experience?,,,,,,
"JobSpecific, STEM","Navy, Positive",What are the major benefits of doing this kind of work?,"So, when you do this type of work, you get a lot of benefits. When I joined, I think I was working at McDonald's and the swap meet. Maybe the movie theater too, I think I was working two or three jobs at, you know, all around the year and I didn't have any type of direction. I knew I was smart but I just didn't have enough time to, you know, pay my bills at the time. So, I joined the military and one of their promises, they said that you could have a really high paying job at the end of your career. You know, it's a six year contract. So, I said, ""Okay, well I have these skills"". They taught me math, they taught me physics, thermodynamics, chemistry and by the end of my six year tour, I had enough knowledge to basically become Homer Simpson. I could go out there and work at a nuclear power plant, full of confidence. So, they give you the skills that you need to get a really high paying job or a different job. You know, depends on what you want to do.",What are the positives of the Navy?,What positives came out of your work?,Why is the Navy a good option?,What benefits are there to joining the Navy?,Is this work any good?,Is this a good profession?,,,,
Future,Navy,What do most people do after leaving active duty?,"So, at the end of their active duty tour, you have a lot of options in front of you. Number one, you can try to go back into the military if you like the career. If you wanted to stay in the same field, then you could. So, for instance, the aircraft mechanics. Yes, they were fixing jets and they were working on jets. So, there aren't that many jets that they could work on outside but Boeing is eager to hire those people. You can see how jets and 747s kind of, are the same thing. So, you can find something in your field. For me, personally I didn't actually like my field completely, enough to make a full career out of it. So, I changed. Instead of Electrician's Mate, I became a computer scientist which is something completely different but, all of the basic skills that I received, the math, the physics, the thinking logically about things, they still apply to my computer science.",What happens when you get out of the Navy?,How do people transition out of the Navy?,What happens when you leave the Navy?,Is it hard to get a job after leaving the military?,What is the future for Navy Vets?,Do Navy vets do well in civilian life?,,,,
"STEM, JobSpecific","Navy, Negative",What are the major negatives of doing this kind of work?,"So, for all the benefits that the military job provides you, you can also have a lot of frustration with the job. For most people, I think this might be the hardest that you'll ever work in your life. That's how come the military has young people do it and then, once they leave, they go on to productive careers but they'll always say, ""You know what, I can do anything because I worked so hard for the military."" Along with those long working hours, you're away from your family. That's a part of, having those long working hours. So, for instance, deployment is probably everyone's major reason for getting out. They want to see their kid grow up, they want to spend more time with their wife, they want to actually date and have a social life. So these are things that you have to give up by joining the military.",What are the cons of serving in the Navy?,Are there negatives to the Navy?,What bad things are there in the Navy?,Why shouldn't I join the Navy?,What can happen in the Navy that is a bad thing?,What is the worst thing about doing your job in the Navy?,,,,
Decisions,Navy,Was it worth it?,"For me, personally, joining the military was one of the best things that I could've done. You will work really hard and once you get out and you become a civilian, you realize that what you did was protect the nation. You protected the people around you, the civilians and you can kind of see, even the job that you'll start to have and the jobs that they've always had, you had a large part in making that possible. So, I think it was worth it for the pride that you get for serving your country and the skills that you obtain because I didn't have any of those skills before but from that point on, I had my education paid for and I had a valuable job that, if I ever wanted to, I could flip a coin and then have a really high paying job. So, it was definitely worth it.",Would you do it again?,Do the ends justify the means?,Do difficulties make you want to quit?,Does looking back make you sad?,Are there times you are sorry you did this in the Navy?,On balance did the good times outweigh the bad?,,,,
"Challenges, Fit, Lifestyle",Navy,What are the main things that new employees must learn and adjust to?,"The main thing that a new Navy person has to learn is that you have to be able to follow directions. If you can do that, then you'll be fine. If you've ever seen the movie Forrest Gump, this is a person who had an incredible military career and the only thing that he did was just follow the directions that people give him and that's basically the truth. You won't get in trouble if you follow the directions that people give you. You'll do your job well just by following the procedures that are in front of you and in fact, the main reason that people get in trouble is because they deviate from that. The Chief tells him, ""Hey, go on to the billet and scrub it out"" and then he doesn't feel like it. So, he gets in trouble. The Chief tells him, ""Hey, you know what? Read this procedure A, B, C and D. Don't deviate"" and he thinks that he wants to do it really faster or really quicker or you know and so, it never works out. So as long as you follow directions, you'll be fine.",What do you have to adjust to when joining?,Is it difficult to adjust to the Navy lifestyle?,How do you adjust to a Navy career?,Is adjustment to the Navy way easy or hard?,What did you have to get used to in the Navy?,Are new skills required to survive in a STEM field in the Navy,,,,
Travel,Navy,How much travel did you do during active duty?,"When I was on active duty, we get one month per year. So, that's a lot of travel that I'm allowed to do but I didn't do too much of it. Kind of just stayed at home. There's this thing called the 'military bubble' where you kind of just hang out with the people in your same unit and don't really get out that much. And it's fun for a while. You have a lot of money so you can do lots of things, you can take these things called MAC flights where you can, if you're on leave, you can travel across the country for basically free but I think I was just waiting to become a civilian to actually really enjoy myself. So, I just hoarded all my travel days till the very end.",How much do you travel while serving?,Does the Navy allow you to travel?,Do you get to see other countries if you join the Navy?,How often do you get to travel in the Navy?,Did you get tired of traveling?,Do you want more travelling or less?,Do active duty people travel more than reserves?,Do Navy personnel complain about travelling?,Can you get out of travelling?,
"Travel, Jargon",Navy,What countries did you visit on Port Calls?,"So, when you are on deployment, you can have these things called 'Port Calls', which is where you go to the country, go to their major city and then you can, like have the time of your life. So, places that I've been to, that I really enjoyed were Hong Kong, Malaysia, Singapore. I went to Australia three times. I went to Bahrain, Dubai. I also went to Japan, that's where I am currently working right now. So, I went to about ten or fifteen countries.",What countries did you visit?,Where did the Navy take you?,Where did you go on your ship?,What countries have you been to?,What ports have you been to?,What ports have you seen?,,,,
Travel,,How much travel do you do now that you're out of the Navy?,"Since I became a civilian, I think I travel a lot more than I did in the Navy. With the Navy, you actually get stationed all over the country. Now that I'm civilian, I pretty much stay in California, that's my hometown but I have the opportunity to travel a lot more. So, I take flights to New York, just, if I feel like it. I take drives to Las Vegas, because it's kind of close to Los Angeles and I also still get to travel a lot because of the US Navy Reserve. So, in the US Navy Reserve, they send you to the four corners of America. We go to New Hampshire, to  Virginia, also to Washington and San Diego. So, pretty much every year, they actually send me there. They give you a free car and a free hotel, so it's kind of like, a little mini travel. Work isn't that difficult, so I use that as a way to get out. I was also stationed in Hawaii last year and that was really fun.",Do you travel now that you are out of the Navy?,Is it easier to travel outside of the Navy?,Do you travel a lot in your life?,,,,,,,
Lifestyle,Navy,What lifestyle changes does being in the Navy involve?,"So, some of the lifestyle changes that you can expect: number one, get used to wearing uniform. You're going to be putting this thing on every single day. We have a couple of different styles to choose from. We can put on coveralls if we're on the ship. These are the cammies that we wear when you're walking around a normal city but we also have like, a dress whites and dress blues. They look really nice. Another lifestyle change you can expect is to be following orders. So, if you're working at McDonald's and you have a boss telling you, you know, ""Go to drive thru"", ""Go to make some breakfast in the morning"", so same thing, that's not going to change just because you're the military. In fact, it's going to get a little bit more intense you could say. So, you're going to have, you know, five or six bosses. They have a hierarchy and you're going to hear from one less than the other but you're going to be hearing, you know, what to do every single day.",How does the Navy impact your lifestyle?,Does the Navy largely affect the way you live?,Is the Navy lifestyle difficult?,How is the Navy lifestyle different?,,,,,,
