Situation,Mentor,Utterance/Prompt
_FEEDBACK_,trevitt-jennifer-prof-psych,here's some resource is that you can check out.
_FEEDBACK_,trevitt-jennifer-prof-psych,I cannot predict the future.
_FEEDBACK_,trevitt-jennifer-prof-psych,I don't want to speculate about the future.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't know what that is.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't know who that ISS.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I'm not going to talk about that.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I'm not here to talk about that.
_PROMPT_,trevitt-jennifer-prof-psych,anything else.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't have enough information to talk about that.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't have an answer for that.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,I don't really have an opinion on that.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,"That is a great question, but unfortunately I don't have an answer for that right now."
_OFF_TOPIC_,trevitt-jennifer-prof-psych,That is a great question. I wish I thought of that.
_OFF_TOPIC_,trevitt-jennifer-prof-psych,"That's an interesting question, but I'm here to talk about psychology training."
_OFF_TOPIC_,trevitt-jennifer-prof-psych,"Unfortunately, I was never asked that question."
_OFF_TOPIC_,trevitt-jennifer-prof-psych,you might have to ask me something else.
_PROMPT_,trevitt-jennifer-prof-psych,What do you want to talk about?
_PROMPT_,trevitt-jennifer-prof-psych,What would you like to ask me?
_PROMPT_,trevitt-jennifer-prof-psych,What do you want to know?
_PROMPT_,trevitt-jennifer-prof-psych,I see you didn't ask anything there.
_PROMPT_,trevitt-jennifer-prof-psych,you have to ask me something to get a response.
_PROMPT_,trevitt-jennifer-prof-psych,What do you want to know about me?
_PROMPT_,trevitt-jennifer-prof-psych,What do you want to know about working in psychology?
_PROMPT_,trevitt-jennifer-prof-psych,What do you want to know about being a professor?
_PROMPT_,trevitt-jennifer-prof-psych,What do you want to know about studying psychology?
_PROMPT_,trevitt-jennifer-prof-psych,What kind of advice are you looking for?
_PROMPT_,trevitt-jennifer-prof-psych,you could ask me about my education.
_PROMPT_,trevitt-jennifer-prof-psych,you could ask me about my job.
_PROMPT_,trevitt-jennifer-prof-psych,you could ask me about my background.
_PROMPT_,trevitt-jennifer-prof-psych,"Go ahead, ask me who gave me the best advice about my career."
_REPEAT_,trevitt-jennifer-prof-psych,I might have covered this already.
_PROMPT_,trevitt-jennifer-prof-psych,"Since this can change quickly, I would recommend talking to someone local who might know more."
_PROMPT_,trevitt-jennifer-prof-psych,"Go ahead, ask me what I like about my job."
_PROFANITY_,trevitt-jennifer-prof-psych,"Okay. I'm gonna stop you right there and let you know that in the field of psychology and really in any professional field, uh, the use of profanity is considered unprofessional. So for the purposes of this session, I'm gonna ask that you refrain from using it. If you want me to continue answering your questions."
_PROFANITY_,trevitt-jennifer-prof-psych,"So if you said what I think you just said, I'm guessing that you're not taking this seriously. We don't tend to use profanity and professional settings, and so I'm guessing that your not wanting to do that right now."
