ID,topics,text,question
julianne_A13_1_3,"Military, Navy",so some decisions that I might be making with %HESITATION like while I'm out in the sleet are is it proper whether to fly and is my aircraft in the air crew are they all ready to fly %HESITATION because the most important thing is that you're not taking off unless you are a hundred percent sure that everything will run smoothly ,"What kind of decisions will you be making?
What decisions will you have to make
What choices will you have to make
What are some decisions that you will have to make"
julianne_A14_1_3,"Military, Navy",being paid to fly is probably the coolest thing ever I would highly recommend this as a job ,"What are the major benefits of doing this type of work?
What are the positives of the Navy?
What positives came out of your work?
Why is the Navy a good option?"
julianne_A15_1_3,"Military, Navy, JobSpecific",so the negatives about being a navy job is probably it's a lot of studying and like you really have to love to fly to be able to put in all the hours to commit to the work ups and then the D. briefs and making sure that everything is perfect ,"What are the negatives about being a Navy pilot?
What's bad about being a pilot?
What is bad about your job?
What are the drawbacks of being a pilot?"
julianne_A16_1_3,"Military, Navy, JobSpecific",navy pilots travel a lot they're constantly flying from different states to maybe on and off ships and then back to their home ports and then maybe it's doing quick take offs and landings just practicing all the time so it includes a ton of flying ,"How much do Navy pilots travel in a year?
Do you travel a lot?
Do pilots travel a lot?"
julianne_A17_1_3,"Military, Navy",the main goal of the navy is to protect and defend the United States and being a pilot I may not see like every single piece of action and being able to protect the United States and you know like every calling that they ask but being able to participate as a group of strong men and women defending our country is %HESITATION is exactly what I like this job entails ,"To what extent will you understand the overall goals of the work you are doing?
Can you see the bigger picture
Do you understand the bigger picture
Will you feel important"
julianne_A18_1_3,"Military, Navy",in your job my job is pretty stable the navy could definitely use me at any time and any place ,"How stable is the employment of your job?
Tell me about your job security
How stable is being in the navy
Is your job safe?"
julianne_A19_1_3,"Military, Navy, JobSpecific, Lifestyle",being a navy pilot it's a lot of effort and a lot of work but it's better than some of the other communities because you have to get rest so maybe on a surface ship you won't be sleeping as much but navy pilots they're mandated sleeping hours ,"Do you know members of your job that have high stress syndromes or problems?
Is a Navy career stressful?
Are Navy members stressed?
How stressful is the job?"
julianne_A20_2_1,"Military, Navy, JobSpecific",so let's say you go through the entire pipeline and you start flight school and you get there and everything's great and then you actually start flying and you're like you get vertigo you get sick and you just realize this isn't for you %HESITATION you can ask to transfer and the navy might put you on a ship or the meme use you and Intel's so the possibility of moving if you don't like it is there ,"What if someone finds out that they do not like being a pilot?
What if I don't like pilot school?
What if I no longer want to be a pilot?
What happens if I don't want to be a pilot?"
julianne_A21_2_2,"Military, Navy, JobSpecific",my time in the ROTC program started actually when I was in high school and I joined the JROTC program and my time in the JROTC program started when I accidentally and rolled into it so I was choosing classes and it was my freshman year and I didn't know what classes I want to take but I am more of a like a science person and like an engineer and so I saw this class and said nautical science and I said like another science class like that would be cool so I signed up for it and my dean comes up to me later and she was like congratulations Julianne you've just joined the JROTC program and I was like I'm sorry I'm a cheerleader I don't really do those things %HESITATION but I ended up falling in love with the program in high school and got picked up for a full ride scholarship to USC through than an ROTC program to go to the university of southern California and that's how I ended up in the an ROTC program ,"How did you come to join JROTC and ROTC?
What made you join ROTC?
What made you join JROTC?
How did you join ROTC"
julianne_A22_2_3,"Military, Navy, JobSpecific",the chair to see program is a community high school club that's kind of how I would describe it it's a place where students can go and the like we'll do community service and they'll learn how to drill so it's like also disciplinary but then also you're like doing academics in learning how to orient tear through a forest you're learning how but how to read weather maps and %HESITATION it really encompasses all of I like everything that you learn in the military but in more of a %HESITATION in more of a relaxed environment in a way to give back to the community in high school of the JROTC program you'll definitely wear your uniform but probably just once we ,"What is JROTC?
What exactly is JROTC?
What is JROTC like?
Can you tell me about JROTC?"
julianne_A23_2_4,"Military, Navy, JobSpecific",the NROTC program is a program that's been used to train and educate young men and women in not only school but also in the military service and then to commission them as military officers in the navy ,"What is ROTC?
Tell me about ROTC
Can you tell me about ROTC?
What exactly is ROTC?"
julianne_A24_2_4,"Military, Navy, JobSpecific",NROTC stands for Naval Reserve officers training corps ,"What does NROTC stand for?
What does NROTC mean?
What do you mean by NROTC?"
julianne_A25_2_4,"Military, Navy, JobSpecific",there are two seasons for junior reserve officers training corps ,"What does JROTC stand for?
What do you mean by JROTC?
Does JROTC stand for anything?"
julianne_A26_2_5,"Military, Navy, JobSpecific",the difference between NJROTC NJROTC is that one the JROTC program is meant for high school students and after you finish the program you don't commission as military officers you don't have any sort of military obligation it is purely just a community program and in an RTC the program is meant to train and educate military I mean train and educate college students to then commission as military officers were you will have an obligation to serve ,"What is the different between JROTC and ROTC?
Can you tell me the difference between ROTC and JROTC?
What is the difference between JROTC and ROTC?
Compare JROTC and ROTC"
julianne_A27_2_6,"Military, Navy, JobSpecific",a typical day in an ROTC program at USC probably looks like waking up at six AM to go and work out with all of your friends that are to see and then going home starring changing into normal clothing and had in the classes just like any other student sometimes we may have to go drill or may have to go to some leadership laboratories otherwise I am a normal student and I do normal things like go to club meetings have other activities meet up with friends for lunch %HESITATION may go play sports in the afternoon and go play some volleyball a it's beautiful blend between being a normal college student and having the RTC commitment ,"What does a typical day in ROTC look like?
What is a typical day for ROTC?
What do you do if you are in ROTC?
How do you spend your time in ROTC?"
julianne_A28_2_6,"Military, Navy, JobSpecific",the energy sea program definitely creates a sense of community so some of the friends that I've made in this program are going to be my friends not only just for college but also for life because I'm gonna be working out and sleep with them they're gonna be by my side traveling all over the world flying helicopters are driving ships or driving %HESITATION some rings it's gonna be incredible ,"Is there a sense of community within ROTC?
How do people in ROTC treat each other?
What's the environment like in ROTC?
Is there bonding in ROTC?"
julianne_A29_2_7,"Education, Challenges",I think I was a little nervous when I moved all the way from Florida to California for college and I was really worried about who I was going to be friends with like and I can even make friends like how do you make friends but as soon as I got to RTC it just created the sense of community and family and I immediately and had some of the best friends that I still have today ,"Were you worried about starting college?
What were some of your fears entering college and your career?
One of the biggest fears that I had joining college was that I wasn't good enough. When I started going to Berkeley, I just barely started computer science. So, I was a noob. I was just a very new person with computer science and during the orientation, there's is this guy that's, you know, kind of, explaining what the campus is like, what life is going to be like, what you can expect from the liberal campus and I was sitting in the computer science group and to my left and right were two of my newest friends. To my left, there was a Java programmer, he'd been programming for eight years, he was an expert in this field, he'd, you know, made several programs and, like, he explained all of this to me and I'm like, ""Okay, we're going to be going to the same class, alright"" and to my right, there was somebody very very similar. He was, like, accepted to Stanford and he went to Berkeley because it's cheaper but, he had been programming since he was twelve, when he made his first computer, you know, like, blah blah blah and I was like, ""Okay, so this is the average people going to my university and we're going to be taking the, all right, I got some work for me to do."" So, that was what was on my plate when I first started going. For the military, I would say that something similar was going, I felt was going to happen. I joined the nuclear technology side of the Electrician's mate course and I had never liked engineering things at all, at all. I was the opposite. I liked driving my car but if you told me to change my oil, I would say, ""I don't think so. I'm going to take it in to Midas."" I don't like grease, I didn't like screw drivers. The biggest accomplishment I'd done, as far as, like, mechanical type things was, I had put shingles on a house and yeah, I was outside and yeah, you know, the air smelled fine but those mechanical type jobs, I just didn't feel at that time was for me. So, that's one of the reasons I actually joined the nuclear side of the Electrician's Mate. It's because, I actually wanted to challenge myself in that. I wanted to, kind of, see what that side was like, so. But when I joined, I'm pretty sure everybody there had a big head start over me that I had to overcome.
Did you have fears going into college or your career?"
julianne_A30_2_7,background,my favorite color is yellow because I love sunflowers and have them my eyes and I love the sunshine because I'm from Florida it's literally the sunshine state and %HESITATION I think yellow just means happiness ,"What is your favorite color?
do you have a favorite color?
do you have any color preferences?
other than Navy blue, what colors do you like?
Are you high up in the Navy?
What is your position in the military?

Are you a boss in the Navy?"
julianne_A31_2_8,background,my favorite food is tacos easily they're so good and some cheese lettuce always have some beans on their quality time ,"What is your favorite food?
what do you like to eat?
what is your ideal meal?
do you have a favorite dish ?
How will you be spending your time at work
At work, how will you be spending your time

At work, what will you be doing"
julianne_A32_2_9,"Military, Navy, Culture",in the military can definitely have relationships so far event one but it hasn't done very well but that's not because the military thing ,"Can I be in a relationship in the military?
Can you have a boyfriend in the military?
Can you have a girlfriend in the military?
Can you have a girlfriend in the Navy
Will you be making a lot of decisions?
What are some examples of decisions you will make?

What are some examples of decisions you make?"
julianne_A33_3_1,"Military, Navy, Culture",and a lot of friends who are able to stay in active relationships even when they're deployed overseas %HESITATION so one of my friends for instance like it nice way that he gets to keep up with his girlfriend is that %HESITATION she sends them letters and or like care packages that have like his favorite candy bars here soon %HESITATION and like and I still inside of it sometimes she even flies out to where the ship docks so like they just landed in Russia Spain and so she had a fun trip out to Spain to go see him ,"How do relationships last in the military?
How can relationships last in the military?
What do you have to do to keep a relationship in the military?
What can you do to keep a relationship in the Navy?
What benefits are there to joining the Navy?
Is this work any good?

Is this a good profession?
What do you like about the Navy?"
julianne_A34_3_1,background,so I was commissioned on the steps of P. easy at the university of southern California and it was %HESITATION in December because I was a December graduate not a normal may graduate and my family was there and my teachers are there my friends were there and it was really special because %HESITATION they were able to come in Penn my and sin bars on me ,"Where were you commissioned?
Where did you commission?
What place did you commission?

Can you tell me anything negative about being a pilot?
Why shouldn't I be a pilot?"
julianne_A35_3_1,"Military, Navy, Money",what other things that the navy marine corps and really the US government does really well is that what you're paid is based on how long you've been in and what your rank is so I mean no one and you can find my salary online just type in all one name being her normal pay and you'll be able to see how much I make as well as every single other rank makes ,"How much money do you earn working for the Navy?
What is your pay?
What is Navy pay?
What is your salary?"
julianne_A36_3_1,"Military, Navy, Advice",if you're thinking about applying for that an RTC program I one hundred percent highly definitely yes hundred percent suggest that you should actually apply for it because one you don't know if you're gonna be picked up or not you might as well just supply into if you are picked up for it you have a full year free of tuition and that means that there is zero commitment to military service if you absolutely don't like it after your first year ,"Do you recommend I apply for the ROTC program?
Should I join ROTC?
Why should I join ROTC?
Do you suggest that I join ROTC?"
julianne_A37_3_1,"Military, Navy",your commitment in the military starts when you start your second year of college so the day I started my sophomore year I signed a paper that said yes I am willing to take up like in line for the military to take on this monetary fine of my college in it for me to serve a minimum of five years ,"When do you sign your service commitment?
When are you contracted?
Do you sign for commitment?

Will your job be safe?
Are pilots safe from unemployment?

Is there a chance that you get unemployed?
What are the chances that you get unemployed?"
julianne_A38_3_1,"Military, Navy",the minimum requirement of service %HESITATION it after you receive that an ROTC scholarship is five years active duty ,"What's the minimum commitment of service for the Navy?
What's the minimum number of years that I have to serve?
How long do I have to serve?
How many years of service do you owe?
Do you suffer from stress in the Navy?
How many Navy people suffer from stress?"
julianne_A39_3_1,"Military, Navy, JobSpecific",the service commitment for aviation is longer than other communities yeah service commitment because the navy really needs pilots and their invest two years for you to do flight school and become a certified pilot so they expect you to serve longer so for the navy and its eight years after you wing %HESITATION for aviation and flight school to get your wings is two years so that's a total of a ten year commitment ,"What's the minimum commitment of service for aviation?
How many years do you owe for aviation?
Do pilots have different required years of service?
Do pilots serve longer?"
julianne_A40_3_1,"Military, Navy, JobSpecific, Challenges, Risk",in my spare this commitment yeah kind of especially because right now I'm twenty two and the first time I could even think about getting out of the navy is when I'll be thirty two but I know that like what I'll be doing is something that I absolutely love and most people don't like their first job right after college and what I get to do is I not only get to do what I love which is fine but I also get to serve our country ,"Are you scared of the commitment of service for aviation?
Are you scared of serving?
Are you scared of the commitment?
Are you hesitant about serving?
How did you join JROTC?
What pushed you to join ROTC?

What pushed you to join JROTC?"
julianne_A41_3_2,"Military, Navy, JobSpecific",you can apply for the navy ROTC program if you just Google navy ROTC and and you'll be able to click on the first link and there's a whole application process I if I had to give some insight tips I'd probably say that you should really consider being an engineer %HESITATION because the military is highly interested in %HESITATION hiring engineers and I also think that you should start it earlier rather than later because it's a rolling application so make sure you get on it right away ,"How do I apply for the ROTC program?
How do I join ROTC?
Tell me about ways I can join ROTC?
Where do I sign up for ROTC?
Tell me about JROTC?"
julianne_A42_3_2,"Military, Navy, Recognition",one of the biggest takeaways I have from RTC is discipline and commitment you have to really %HESITATION be committed to studying not only for school but like also being committed to you know working out and like being the best person that you can be and like short periods of times because you have to be able to schedule yourself well because you're going to be booked all the time especially in college so I wake up PT than class then I'm going to go study for an hour at the library for I have lunch with friends still making time for yourself and then you have neck more class and then you might have %HESITATION like evening meetings and then you want to make sure it like you're able to that might have some downtime like just for yourself so like maybe watch a TV show or maybe just relax and read a book so he in order to have a lifestyle like this like you need to be committed to like taking care of yourself and making sure they're always on time and scheduling yourself properly ,"What is your biggest takeaway from ROTC?
Tell me about ROTC
What's a lesson you've learned from ROTC?
What have you learned from ROTC?"
julianne_A43_3_2,"Education, Advice",the number one tool for success in college is to be happens to have a personal relationship with your teacher in TA make sure that you go to their office hours and you're able to sit down and discuss with things that you don't understand things that you like aren't tracking in class and like maybe you falling behind in the subject and they're able to like sit down and work through it with you personally one on one ,"How do I succeed in school?
How do I do well in school?
What are some tips on how to do well in school?
How can I do better in school?"
julianne_A44_3_2,"Education, Advice",one of the best advantages that I took advantage of while I was in college in an RC program was studying abroad I study abroad twice I did once in London for a summer program so two months and then I did once a full semester and South Africa keep town and so that was six months over there and while you go to caught like while you go to school you're gonna learn a lot about yourself but once you start traveling for me personally I was really able to like find my strengths and weaknesses like find what I would really like to what I didn't like and I like kind of found this new energy and like this new love for for life and for culture and for trying new things and so I highly highly recommend studying abroad ,"Do you reccommend studying abroad?
Should I study abroad?
What are some reasons why I should study abroad?
What do I gain from studying abroad?"
julianne_A45_3_2,"Education, Advice",USC has so many different option is to study abroad you can do a may master where you only go at the end of the semester to place that you've been studying all semester or you can do a full semester or if you do a summer semester %HESITATION there's also plenty of internship opportunities overseas so make sure to check out and talk to the overseas studies ,"How can I study abroad?
What should I do if I want to study abroad?
Who do I talk to about studying abroad?
What do I have to do to study abroad?"
julianne_A46_3_2,Challenges,being a woman in a male dominated field and not only in engineering but awful in the military well it you know it's been a bit of a struggle it's been more of a growth for me and for those that I've interacted with %HESITATION I think a lot of my friends are males and they've been able to lift me up to who I am today and if I'm ever in the situation where I feel like something's not right I say something and that's the most important thing you can do is absolutely say something ,"Have you ever felt discriminated in a male dominated field?
Do you feel discriminated?
Have you ever felt discriminated?
Are people sexist?"
julianne_A47_3_2,Challenges,I think the best way to deal with males like the ones that you interact with every single day in the ones that you're always that you know like at work or at school like whatever it is especially in engineering and in the military like you know like yeah I'm the minority like I'm one of the only females but like why should that make a difference they're all gonna be my friends like male or female like if you're a great person and if you want to do fun things if you're creative and if you're smart and if your %HESITATION like driven like just like it that's the person that I want to be surrounded with and I'm gonna be friends with that person no matter their gender and %HESITATION if there's anything that ever said %HESITATION you know that's maybe that might be a little bit discriminatory towards me being the only female I say something and I can say something because I'm friends with all of them and I know it's like as a friend that they will accept me ,"How do you deal with your cowokers in a male dominated field?
How do you work in a male dominated field?
How do you cope with working in a male dominated field?
How do you work with being a female in a male dominated field?
Do you build relations in ROTC?"
julianne_A48_3_2,"Education, Advice",if I had the chance to do school over I would probably take more time to talk one on one with my teachers and spend time with my TA is just so that I could really make sure that I understood what the class was like what was happening in the class and make sure that my teacher knew like where I was out the class and just make sure that we had better communication on all levels ,"If you had the chance to do school over, what would you do differently?
What would you change about your experience with school?
Would you change anything about school if you could?

What were you afraid of before you went to college?
Were you worried about anything when you were entering college or your career?

What concerns did you have prior to entering college and your career?
What were you fearful of before beginning college and your career?"
julianne_A49_3_2,Growth/learning,I'm most proud of being able to pay for college totally on my own and I guess not really on my own because it was an ROTC scholarship but I am most proud of being able to be completely financially independent of my parents ,"What have you done that you are most proud of?
What is your greatest accomplishment?
What are you most proud of?
Tell me about your proudest accomplishment?"
julianne_A50_3_2,background,people that don't do well in my line of work are probably people who %HESITATION don't schedule them like don't schedule their time correctly you have to be able to prioritize and make sure that everything is set to the schedule and stick to it ,"What kind of people do not do well in your line of work?
What type of people fail in your field
What kind of people fail in your field
Which kind of people fail in your field"
julianne_A51_3_2,"failure, Recognition",right biggest failure was probably not applying for a position that I really wanted to have and what I learned from it was that I should always apply that everything no matter what like doesn't mean it doesn't matter if I don't get it like as long as I applied for it I know that I don't ever have to hold that over myself again ,"What was your biggest failure and how did you learn from it?
What failures make you the most upset?
What defeat makes you the most distressed?
Tell me about your most upsetting shortcoming.
Can you have a boyfrined in the Navy?
Can you be married?

Can you be married in the military
Can you be married in the Navy?"
julianne_A52_3_2,"Risk, Recognition",so the risks involved with being in a naval aviator are honestly in life and death and you need to be able to %HESITATION think thoroughly and think about the big picture because everyone on board your aircraft is depending on you to make like to make the best decision ,"What kind of risks do you need to take in your field?
What are some risks you take?
Do you take risks?
How often do you take risks?"
julianne_A53_3_2,"Education, Advice",I'm actually not quite sure I haven't gone that far just yet ,"What courses in college have you found to be the most useful so far?
What are the most applicable courses?
What courses translate to Navy?
What are some useful courses?"
julianne_A54_3_2,Advice,people are say never break the rules you know people say a lot of things %HESITATION and you know while you should follow the rules and while they are important to follow and you know that's why we have them here %HESITATION I think in certain circumstances you might find a ruler to that is meant to be broken ,"When is breaking the rules okay?
When is okay to break rules?
Is it okay to  break rules?
Is it ever ethical to break rules?
How much money do you make?
How much money do people make in the Navy?

Will the Navy pay me enough?"
julianne_A55_3_2,"Education, Advice, Challenges",so the hardest courses I took in college were probably my physics and I applied math courses %HESITATION and so the other courses that just like took like real life and like you how to apply hard science to them ,"What were some of the most diffucult courses you had to take in college?
What was your hardest course?
What is the hardest course you took?
What class was the most difficult?"
julianne_A56_3_2,"Military, Navy, JobSpecific, Lifestyle",my job in the navy has affected my lifestyle in the sense that I wake up at five AM every day now including weekends because now my circadian rhythms just starts really early ,"How has your job affected your lifestyle
How does Navy influence your lifestyle?
Does the military affect your lifestyle?
Does the military change your lifestyle?"
julianne_A57_3_2,background,so pivotal moment in my life %HESITATION this probably when I decided to take the ROTC scholarship and go again so my parents had asked me to do which is go to a totally different school %HESITATION and I think I really grew from the experience because I was able to establish myself %HESITATION in a new place and totally on my own ,"What was a pivitol moment in your life?
A pivotal moment for me was the first time that I was accepted to UC Berkeley. Obviously it's a great school and anybody would be really proud to go there but until that time, I felt, even though I was in the nuclear navy and you're allowed to have a really good job at the end, I knew that that job, being a nuclear-trained operator in the civilian world or even as a navy person, that wasn't for me, so it's kind of, like, I had to start fresh, and I did. After the military, I decided to be a computer scientist and I wasn't the best computer scientist around but I did have the good work ethic and it was obvious that I was trying really hard but I didn't really have a strong sense of my own confidence until Berkeley said that they were accepting me. That's when I knew, ""Hey, you know what? There are people that have been trying their whole entire lives to try to get into this school. There are people with 4.0s, with perfect SAT scores that are trying to get into this school"" and for them to accept me, that's kind of, validation for me. I know going to university isn't validation, any type of university isn't validation but it's something that I was trying really hard to do and I was successful at it. So, I consider that maybe one of my first major successes. Being in the navy was one of them and getting the UC Berkeley acceptance was another one.
What moment changed your life?
What has been a life changing moment for you?"
julianne_A58_3_2,"Education, Advice",the things that are important in choosing which college you want to go to it like are the programs that each college offers while the school might be a great school overall it may not have exactly what you want to do or like may not have the fuel that you want to study so really like it look into the programs and see what kind of opportunities they offer because they differ totally from completely from school to school ,"What is important when choosing a college?
What factors into college decision making?
What things should I consider when choosing a college?
What should I consider when choosing a college?
How does aviation affect your service time?"
julianne_A59_3_2,"Opportunities, JobSpecific",so my job in the navy won't change and the next ten years in the sense that all start off as a student I can we learn how to fly and be learning %HESITATION like all all this night the small steps of the navy and then as I progress also be able to fly off ships and like all star be doing more operations for the navy and then as they hit my ten year mark I might be transitioning more into an administrative job where I making policy in deciding on you know where we gonna fly and what kind of missions we want to do ,"How might your job change over the next 10 years?
Will your job change in the future?
Will your job be changed in the future?
Can your job change in the future?
Are you worried about serving?
Are you worried about the service you owe?"
julianne_A60_3_2,Job Specific,I think what I'm most passionate about is when I see something that's wrong I have to stand up for what's right and if I don't I think that's that's just what you eat me alive right I know that I have to say something ,"What are you really passionate about in your career?
What are you interested in?
What is your passion
What interests you?
Where can I go to sign up for ROTC?"
julianne_A61_3_2,"STEM, JobSpecific",in aviation you'll use mental math a lot so be prepared for that %HESITATION but the calculus part I don't know so much about that ,"How much do you use Math in your job?
Do you use a lot of math?
How applicable is math?
Is math heavily involved in your job?"
julianne_A62_3_2,JobSpecific,so that's good reviews get honestly like one of the issues of Clint's things that clients for pretty long like they're very thorough and they're awesome in that respect but they're also like for the pot for the age range they were dealing with yeah leg people like okay like after his aching engine so important that I get really good at college I think what I think you're very okay %HESITATION because some people like you have to think about it not just being yourself but also like what other people are going to say we could get some other people who like you either technical jobs and they could say communication not important all maybe like I mostly in like you know this day of this thing and they put me there for you know that a lot yeah we'd like a forest ranger like you know like like many cases not really important I'm usually in the feel for six months at a time I don't see a person for a couple months got to write a report that's like this a few of those jobs that are actually like %HESITATION yet just disproportionately some something that actually often consider like personalities or it's like skate so I'd get so it is one that you actually just don't really value having a lot of relationships full so like having that you know and so like for those things like you have been like you know a remote park Rangers like school a case could render it so okay last question %HESITATION yeah it would that makes it tough one %HESITATION %HESITATION it's he said I should I should pick a really hard %HESITATION we went about changing careers like getting up okay save probably give way to phrase that one is %HESITATION %HESITATION like theirs if I leave this what else can I do you know if I did this and then decided like what else can I do in my field of work I'm super lucky because I know that as soon as I get out I'll definitely be able to have a job with any sort of private airline or if I want to get out as well like there's so many veteran opportunities and you know like across every single company and industry could possibly imagine ,"How can you change careers?
How do you switch careers?
Can I switch careers?
What if I don't like my job?"
