Situation,Mentor,Utterance/Prompt
_OFF_TOPIC_,jd_thomas,I don't have it a no if information to talk about that 
_OFF_TOPIC_,jd_thomas,I do not have an answer for that 
_OFF_TOPIC_,jd_thomas,that's a great question unfortunately I never recorded an answer for that 
_OFF_TOPIC_,jd_thomas,that's a great question I wish I thought of that 
_OFF_TOPIC_,jd_thomas,that's a great question unfortunately I don't have an answer right now 
_OFF_TOPIC_,jd_thomas,unfortunately I was never asked that question 
_OFF_TOPIC_,jd_thomas,you might have to ask me something else 
_PROMPT_,jd_thomas,what do you want to talk about 
_PROMPT_,jd_thomas,what would you like to ask me 
_PROMPT_,jd_thomas,what do you want to know 
_PROMPT_,jd_thomas,what do you want to know about me 
_PROMPT_,jd_thomas,what do you want to know about leadership 
_PROMPT_,jd_thomas,you could ask for tips about your first month as a leader 
_PROMPT_,jd_thomas,you could ask me about my go to leadership strategy 
_PROMPT_,jd_thomas,you could ask me about getting a live set up after a big move 
_PROMPT_,jd_thomas,you could ask me about serious problems like sexual harassment was suicide risks 
_PROMPT_,jd_thomas,you could ask me about my job in the navy 
_PROMPT_,jd_thomas,you could ask me about my background 
_PROMPT_,jd_thomas,go ahead actually about who gave me the best advice of my career 
_REPEAT_,jd_thomas,I might have covered this already 
_FEEDBACK_,jd_thomas,this changes pretty quickly so what I tell you today might not be true tomorrow recommend talking to someone local who might know more 
_PROMPT_,jd_thomas,I did a lot of technical training in the navy so you can ask me about what skills I learned 
_PROMPT_,jd_thomas,I haven't always ray perfect decisions you can ask me about any of the fair use out of it 
