Topics,Helpers,Mentor,Question,text,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
"JobSpecific, STEM",Navy,carlosrios,To what extent will I understand the overall goals of the work I am doing?,"So the overall goals of our organization, don't want to say they change but our leadership especially in the government side  is very fluent. Normally the commanding officer, our CEO who is the commanding officer comes in. He's no different than in a company's boss and he gives us the company's goal or re-iterates to previous goals but at the end of day they're always about supporting our customer and they tend to evolve sometimes in our organization as we start learning and and accepting new customers and our line of work.",Do you understand the goals of your work?,Are the goals of your work clear?,Does your work further an overall goal?,What is the overall goal of your work?,How does your work support the mission?,How does your work support the Navy?,,,,,,,,,,,,,,,,,,,
Lifestyle,,carlosrios,How often do you ever take work home with you?,"I don't bring home  work as much as I used to. It's important to be available for your customer and especially in our line of work. My customers in Okinawa Japan due to time difference might call me late at night, I would answer. But I try to balance work with my personal life it is very point we do that.",Does your work take away your personal life?,Does your work affect your private time?,Do you take work home with you in the Navy?,Is your free time dedicated to the Navy?,How much free time do you use for your Navy work?,Is being in the Navy a 24/7 job?,Are you always on call in the Navy?,How often did you get to go home?,,,,,,,,,,,,,,,,,
Opportunities,Navy,carlosrios,How much turnover is there in this job?,"How much turnover in our line of work is dependent on the customers we are bringing in to support. In the government's side there's not a lot of turnover, a lot of people coming to the government and they'll spend thirty years supporting or in the same line of work maybe change offices but at the end of day they're still a government employee. They might turn over in projects I myself have been doing it for about seven years.",Does the Navy have a high turnover rate?,Do people usually leave the Navy after their term has ended?,Do people often leave the Navy?,Do people like to stay in the Navy?,Do people extend their stay in the Navy?,How many people extend their Navy contracts?,,,,,,,,,,,,,,,,,,,
"JobSpecific, Benefits",Navy,carlosrios,How stable is the employment here?,"The line of work that I'm currently in, logistics management supporting the marine corps project is pretty stable. I have been doing it for about seven years.",Is Navy employment stable?,Does the Navy offer job security?,Can you get fired from the Navy?,Will I have to worry about job security in the Navy?,Will I always have a job if I'm in the Navy?,Can I get fired from the Navy?,,,,,,,,,,,,,,,,,,,
"JobSpecific, Opportunities",Navy,carlosrios,What opportunities do you have to alter your own work schedule?,"I have an opportunity in my current line of work, logistics management to tailor my work week by working from home once a week or on Fridays. Some other employees in the government have the opportunity to tell what we call ""tell-a-work"" on more than one day and we use that opportunity of course it saves a little bit on the gas. Also,  the office tends to have a little bit less traffic. And the work I do, I'm always on the phone communicating with my customers and on email so I can do that from home.",Can you work your own hours in the Navy?,Can you choose when to work in the Navy?,Can you design your own work schedule in the Navy?,"Can you decide what to do, when to do in the Navy?",Do I get to choose how to do my job in the Navy?,Do I get to choose my own tasks?,,,,,,,,,,,,,,,,,,,
Lifestyle,"Navy, Negative",carlosrios,How many members of this profession have high stress symptoms?,"In my line of work there are some people that tend to feel they have high stress due to the customer who they're supporting. Again, I support the marine corps and those current marines are serving our country overseas and I always keep it back in my mind that they need that gear today and that they're fighting a war they protect me, this country. They're always are in the back of my mind and how can I get out there faster most of us tend to manage our time well which is very important. Time management would ensure that some of that stress is managed.",Is a Navy career stressful?,Are Navy members stressed?,How stressful is the job?,Do you suffer from stress in the Navy?,How many Navy people suffer from stress?,,,,,,,,,,,,,,,,,,,,
"Fit, Navy",,carlosrios,What happens if I find out I don’t like this line of work?,"So my current position as a logistics manager if I decided that I didn't like doing what I was doing especially in the government, I have an opportunity to move on to another a project. I can support another project,  I can actually do some other work on another a what we call competency I'm currently in the department where we provide logistic support. I can actually move to another department that might do a contracting or does a production so I have that flexibility to do that.",What if I don't like it?,What if I don't want to stay in the Navy after I get in?,What happens if I hate my Navy position?,Am I allowed to leave the Navy?,How do I get out?,How can I quit the Navy?,What if I don't want to stay in the Navy after I get in?,,,,,,,,,,,,,,,,,,
Opportunities,,carlosrios,What opportunity would I have to change careers/fields?,"So the opportunities to change your current work or my current work or our current field is dependent on the level of education that you have a allowed. That you have taken the full advantage on. Throughout my career, again I currently have a bachelor's degree I'm currently working on my next level of certification. The more education the more opportunities.",Can you change positions in the Navy?,Will I have the choice to pivot careers?,Is my position set in stone in the Navy?,Can I switch positions in the Navy?,Can I switch careers?,,,,,,,,,,,,,,,,,,,,
Jargon,Navy,carlosrios,What is an E-1?,"When you first joined the marine corps in my case, you start as a recruit or an E-1. That's the first rank which is called a private and of course you spend some time in that grade during that rank and then you'll eventually be promoted and go to the next one. You got Private, Private First-Class, Lance Corporal, Corporal and goes all the way up to of course General.",Can you tell me more about E-1?,What does E-1 mean?,Does navy has ranks for work and pay?,What is the navy grading system?,What does E-1 in navy signify?,Does E-1 mean anything specific that I should know about?,,,,,,,,,,,,,,,,,,,
"Decisions, Education",,carlosrios,What brought you back into high school?,"So in the eleventh grade I decided that school was not important for me in my current situation. My current climate started taking me in a different direction, within that year again more situations, more on that current climate in Philadelphia. I started seeing friends going to path that something I didn't feel that I would be comfortable with and would cause more pain on my family. So, I met a recruiter a chance of bumping into or talking to a recruiter for the marine corps and he gave me some information and said that I could be a marine. But I would have to go back to school and so I turned around and went back to school, finished eleventh grade then of course twelfth grade and then join the marine corps.",Can you tell the reason for coming back to high school?,Why did you continue high school?,What is the motive of continuing high school?,What made you take the call of continuing your high school?,Is there any specific reason for which you came back to hgh school?,,,,,,,,,,,,,,,,,,,,
"Decisions, Education",,carlosrios,What did you do when you skipped school?,"So during the time that I missed school, I think one year I might have missed sixty days almost two months. What did I do? did what every other kid might do, we played hooky, we hung out at a friend's house. We didn't have Nintendo's or we didn't have iPhones or what not so we just walk downtown, took the train and then came back at the end of day.",What did you skip school for?,What made you skip school?,What did you do when you did not attend school?,Did you do anything after skipping school?,Did you skip school for something?,,,,,,,,,,,,,,,,,,,,
Jargon,Navy,carlosrios,What is logistics?,"So the definition of logistics is providing material or labor. As a logistics manager, I provide services, provide material and I provide labor either myself, or other members in my team to our customers.",Describe logistics?,Can you define logistics?,What do you mean by logistics?,Does logistics mean anything?,I want to know more about logistics?,I don't know what do you mean by logistics?,,,,,,,,,,,,,,,,,,,
Jargon,Navy,carlosrios,What is support?,"Support so you can look at support as if your teacher needed help and you help your teacher. That's exactly what I do, I help instead of my teachers I help my customers.",Describe support?,Can you define support?,What do you mean by support?,Does support mean anything?,I want to know more about support?,I don't know what do you mean by support?,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What other organizations do logistics?,"Other organizations that utilize logistics or provide logistics to the marine corps, we support the marine corps we provide logistic support to the marine corps. They do it to the United States of America they provide not only war fighting capabilities but also logistic support to other organizations within the United States. Walmart provides logistic support, the folks working at Walmart they provide goods or products to the shelves to the different stores throughout the country so you and I can shop and buy our milk bread and coffee.",Who are your competitiors?,Are there any other organizations in to logistics?,Do you compete with other organizations on logistics?,Are you the only organization that does logistics for military?,What are the organizations that are in the same space as you?,List other such organizations that do logistics?,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,What is Puerto Rico like?,"During my childhood, I spend the summers and Puerto Rico. So the interesting thing for me was I'm billingual, I speak Spanish and English. So when I would go to Puerto Rico, I would speak of course Spanish and then when I was home, in the house we spoke Spanish and outside the house we spoke English. I used to joke around with my friends that I was illiterate in two languages because when I was younger I don't think I spoke either of them well. Something I thought was very important as I got older. As I kept getting more education or what not I got better and better and something I ensured that my children understood completely. In fact, my kids actually speak English very well and they work on their Spanish most times. Its important for me and now they're working on their Spanish. But the question as far as Puerto Rico, its a part of me. I still go back every atleast once or every two to three years and I still have family there so it's part of who I am so I go back often.",Tell me something about Puerto Rico?,"I have never been to Puerto Rico, can you tell me more about it?",How is Puerto Rico as a place?,Can you tell me more about this place?,What is unique to Puerto Rico?,Describe Puerto Rico as a place?,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,What is New Haven like?,"So,I left new haven when I was around seven or eight years old and to tell you the truth I don't remember much of that period in my life. Which is yeah I remember glimpses and but most of the memories all are in Philadelphia. There's some memories in new haven and I also have family back there. So we go visit our family out there but I don't have too many memories of new haven.",Tell me something about New Haven?,"I have never been to New Haven, can you tell me more about it?",How is New Haven as a place?,Can you tell me more about this place?,What is unique to New Haven?,Describe New Haven as a place?,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,What is Philadelphia like?,"Philadelphia was like, it's home my mother still lives there. I chose not to retire and go back and take my children to Philadelphia for my own reasons are my childhood we lived in our neighborhood we state our neighborhood the climate that I grew up is something I do want to bring my children into and I had options. When we left Connecticut or new haven and move to Philadelphia because we didn't have a choice but now that I have options I chose to bring my kids south to South Carolina",Tell me something about Philadelphia?,"I have never been to Philadelphia, can you tell me more about it?",How is Philadelphia as a place?,Can you tell me more about this place?,What is unique to Philadelphia?,Describe Philadelphia as a place?,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,Did you have any problems with gangs in Philadelphia?,"So the environment that I grew up in Philadelphia something that I was used to so to me it was the norm. It was normal to see that we stayed in our neighborhood, it was normal to see the relationship between us and the other neighborhoods. Even the relationship between us and and authority figures so they were issues with gangs in Philadelphia but that's something we grew up in",Did you face any problem with gangs in Philadelphia?,Does gang problem in Philadelphia really bad?,Did any gang harass you there?,Are gangs in Philadelphia a thing?,Have you ever faced a problem with gangs in Philadelphia?,,,,,,,,,,,,,,,,,,,,
"JobSpecific, STEM",,carlosrios,What does Amazon do with logistics?,"Amazon is very good at doing logistics it's amazing how I can order something right now on my computer and have it delivered to my door the next day. Amazon prime who does it better? I think no one the ability to be able to see something on a computer know that's what you want and have it delivered straight to your door. That's what other businesses on failed to understand early on and now they are currently learning that and the only way to stay in business is do it like Amazon, that is logistics.",How does Amazon's logistics work?,Can you comment on the logistics used by Amazon?,Do you know what Amazon do for the logistics?,How is Amazon managing logistics?,Do you have an idea of Amazon's logistics?,,,,,,,,,,,,,,,,,,,,
JobSpecific,,carlosrios,What are different jobs that people do in logistics?,"Different jobs that you can do in logistics. I'm currently shipping in and transportation. I provide my customer a product. In this case he wants a drone I provide him, I package it and I ship it to the end user or our customer. That's one job you can do in logistics. Customer relations are being able to talk to a customer to figure out what do they need. Procurement, actually buying products through on internet on another stores Amazon.",Tell me more about the kind of jobs that logistics has to offer?,What kind of roles can logistics provide?,Can you list all the roles that logistics provide?,Does logistics has a lot of roles to offer?,Can you list the kind of jobs logistics have?,,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,How well do you speak Spanish?,I speak Spanish pretty well again my parents are required me to speak Spanish in the house we weren't allowed to my mother spoke Spanish all the time. She speaks English but I rarely heard her speak English unless she was outside but in the house we were all required to speak Spanish so I speak it very well,Do you know Spanish?,Is Spanish your mother tongue?,Are you comfortable speaking Spanish?,Do you count Spanish as your strong language?,Can you communicate well in Spanish?,,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,Can you say something in Spanish?,how may I estoy good also they should put out again you historical you also they they meet posing the seals. Which meant that I am proud of of of my heritage mean Puerto Rican and I'm proud of my wife and my kids.,"Say something in Spanish, please?",Could you say something in Spanish?,How does Spanish sound like?,Can you say a phrase in Spanish?,Speak something in Spanish,,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,Hablas español?,see your father was playing on,Hablas gachupin?,Do you speak Spanish?,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,What's up?,not much just waiting for a question,What is up?,What is going on?,What are you up to?,What are you doing?,how's it hanging?,,,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,How is the weather?,so currently the weather in goose creek or Charleston South Carolina is about seventy five degrees little bit windy but it's very good weather,What is the weather like?,Is it really bad outside?,Is it nice there?,What's the weather?,Is it warm outside?,Is it raining?,What is the weather like right now?,,,,,,,,,,,,,,,,,,
Miscellaneous,,carlosrios,How are you?,I'm doing very well thank you for asking,How are you doing?,Are you well?,How's it going?,How was your day?,are you happy?,how do you do?,,,,,,,,,,,,,,,,,,,
"Miscellaneous, Background",,carlosrios,Where are you?,"I'm currently sitting at home in goose creek South Carolina that's about ten miles from Charleston, South Carolina",Where are you now?,Where do you currently live?,Which city are you in right now?,Are you in the US now?,,,,,,,,,,,,,,,,,,,,,
Background,,carlosrios,What are your hobbies?,"My hobbies are like drones I like flying, I have a DJI which I like flying high. I take it to a lot of my STEM event. I'm starting to learn a little bit about CNC machine which allows me that drill different patterns on material",What do you do for fun?,What are you interested in?,What do you do in your spare time?,What do you like to do?,do you play video games?,do you have any hobbies?,,,,,,,,,,,,,,,,,,,
"JobSpecific, Jargon",Navy,carlosrios,What is a logistics manager?,A logistics manager is someone who provide services or material to any end user or to a customer,What does a logistics manager do?,What is the job of a logistics manager?,Can you tell more about a logistics manager?,I want to know more about the role of a logistics manager?,,,,,,,,,,,,,,,,,,,,,
"Background, Family",,carlosrios,How many children do you have?,I have two children one is nineteen years old currently attending the university of South Carolina and a fifteen year old or sixteen year old about to go on to 11th grade next year,Do you have a children?,How many kids do you have?,Do you have kids?,Do you have a family?,How are your kids?,,,,,,,,,,,,,,,,,,,,
"Decisions, Background, Motivation",,carlosrios,Why did you join the Marines?,I joined the marine corps at that time out of necessity to do something more with my life,tell me why you are in the navy.,did you choose the Navy or was it forced on you?,why are in your current job?,why did you take this career path?,How did you choose the Navy?,what went into choosing your career in the Navy?,why did you join the navy?,was the Navy your first choice?,How did you decide to join the navy?,Why did you choose the military?,Why did you choose the Navy?,How did you decide you wanted to go into the navy?,What is your job today?,why did you choose your current job,,,,,,,,,,,
JobSpecific,Navy,carlosrios,Did you like the Marines?,"being a marine is one of the highlights of my life. Something, the title I'm always going to carry. There's no such thing as a former marine you're always going to be a marine and I enjoyed it and now it's part of who I am today",Did you love your Marine days?,Did you like your time as a Marine?,Did you enjoy being a Marine?,Do you like the job of Marines?,Do you like what a marine does?,,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,Where did you go with the Marines?,"Had opportunity to travel with the marine corps to several places around the world of course Iraq and Afghanistan. I went to Italy, I went went to Okinawa one of my favorite places to go Okinawa, Japan. I've been to Turkey, to Greece, to Rome. I had the opportunity to go see the leaning tower of Pisa. I got to go to Petra. So I've traveled the whole world",What places did you visit as a Marine?,What all places were you deployed at?,What are the place you visited as a Marine?,,What places did you visit as part of duty?,What places did you get to see because of your deployment?,,,,,,,,,,,,,,,,,,,
JobSpecific,,carlosrios,Why do you love your job?,"I love my job, I enjoy my job because I continue to serve the same people I served my whole career even in the marine corps. I served the American, the United States of America",What makes you love your job?,Why do you like what you do?,Why do you enjoy what you do?,What is good about what you do?,What do you love about the Navy?,what do you like about the Navy?,do you like what you do?,,,,,,,,,,,,,,,,,,
Education,,carlosrios,Is education important?,"Education has always been very important and it's amazing what I thought I didn't need I end up using. Math was a good example I remember one of my worst course at classes growing up was math something I focus on now with my children and they're very good at it but I barely was able to do fractions out of high school and then my first job in the marine corps was artillery and I needed to know the difference between quadrants and deflections. How do I get a hundred pound round thirty thousand meters downrange or eighteen miles and hit a target. Luckily for me, that the marine corps reiterated the importance of math in my life and something I've used my whole career from artillery to I have learned how to do predictions as an analyst for the marine corps in the long run.",Do you think education is important?,Why is education said to be important?,Is education needed?,Does being educated help you in life?,Do you think people should be education?,What is your opinion about the importance of education?,,,,,,,,,,,,,,,,,,,
JobSpecific,Navy,carlosrios,What does artillery do?,"Artillery, there are several weapons used in the marine corps and done and the military which allow us to shoot direct or indirect that means line of sight and you can actually see the enemy or you can shoot to a predetermined spot in one case thirty thousand meters or about eighteen miles",What is the job of artillery?,What task does artillery perform?,Why is artillery important?,Can you tell the role of artillery?,What function does artilerry have?,,,,,,,,,,,,,,,,,,,,
Misconceptions,Navy,carlosrios,What gets romanticized about your career field that really isn't that great?,"So in my job you would assume that everything has already been done once especially logistics you're trying to get a solution for your customer. You're trying to get a piece of gear to Afghanistan, to Iraq into we've been out there for so long have we done it every day we do it before and can we do it again? Well we're always out there trying to figure better and faster ways which in the end in itself will cause sometimes confusion, stress but again as we get better what we do we can get it to our customer and that's our lesson learned for the next opportunity",What is exaggerated about the Navy?,What do people think is good about your job that really sucks?,How is your job worse than what people think?,,,,,,,,,,,,,,,,,,,,,,
